evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20200706_2254,-5.69,110.55,535.0,CC.PRLK.,44.21,-121.963,120.213,1523.599,1536.143,1539.862,261.0,4.535,0.481,0.426,0.428,0.436,0.432,0.5,-4.1,0.682,-0.151,4.9,0.669,0.669,4.8,0.749,0.669,4.6,0.771,0.669,4.7,0.769,0.669,4.7,0.771,0.669,1,1.0,41.165
20200706_2254,-5.69,110.55,535.0,BK.PKD.00,35.945,-120.542,124.345,1550.22,1565.48,1570.032,262.0,4.149,0.582,0.537,0.541,0.56,0.554,-1.2,-0.6,0.749,0.741,-1.3,0.684,0.684,-0.9,0.656,0.684,-1.3,0.653,0.684,-1.1,0.655,0.684,-1.1,0.653,0.684,1,1.0,49.715
20200706_2254,-5.69,110.55,535.0,PY.BPH07.,33.608,-116.455,128.318,1575.286,1593.452,1598.911,263.0,5.006,0.442,0.487,0.474,0.474,0.477,-0.9,-1.0,0.86,0.834,-1.6,0.312,0.312,-1.1,0.35,0.312,-1.5,0.35,0.312,-1.3,0.354,0.312,-1.3,0.346,0.312,0,-1.0,50.893
20200706_2254,-5.69,110.55,535.0,CI.HOL.,34.458,-117.845,126.933,1566.61,1583.73,1588.861,264.0,3.675,0.536,0.525,0.519,0.526,0.526,-0.3,-0.3,0.853,0.914,-0.5,0.721,0.721,-0.2,0.757,0.721,-0.5,0.74,0.721,-0.3,0.746,0.721,-0.3,0.743,0.721,1,1.0,50.442
20200706_2254,-5.69,110.55,535.0,LD.CCNY.,42.927,-78.855,141.845,1656.828,1686.831,1696.258,265.0,5.123,0.705,0.719,0.716,0.704,0.703,0.2,0.1,0.923,0.937,-0.8,0.959,0.959,-0.5,0.969,0.959,-0.7,0.968,0.959,-1.0,0.968,0.959,-1.0,0.969,0.959,1,0.0,11.099
20200706_2254,-5.69,110.55,535.0,GT.CPUP.00,-26.331,-57.331,145.892,1680.054,1714.185,1725.056,266.0,3.073,0.272,0.151,0.155,0.15,0.155,-1.1,-1.6,0.631,0.634,-2.1,0.79,0.79,-0.4,0.411,0.79,-0.6,0.403,0.79,11.8,0.389,0.79,-1.0,0.389,0.79,0,-1.0,-160.575
20200706_2254,-5.69,110.55,535.0,BK.FORD.00,36.688,-121.781,123.152,1542.594,1557.038,1561.338,267.0,3.136,0.34,0.284,0.301,0.307,0.307,-1.1,-3.8,0.637,-0.57,-0.5,0.683,0.683,-0.3,0.67,0.683,-0.6,0.653,0.683,-0.5,0.661,0.683,-0.4,0.664,0.683,0,-1.0,49.294
20200706_2254,-5.69,110.55,535.0,NM.FFIL.00,38.381,-88.39,143.069,1663.914,1695.136,1704.987,268.0,5.718,0.731,0.725,0.723,0.725,0.721,0.4,0.5,0.958,0.966,-0.6,0.84,0.84,-0.2,0.844,0.84,-0.4,0.845,0.84,-0.7,0.859,0.84,-0.7,0.858,0.84,1,0.0,24.904
20200706_2254,-5.69,110.55,535.0,CX.PB01.,-21.043,-69.487,153.267,1721.026,1763.274,1777.105,269.0,2.372,0.278,0.216,0.218,0.221,0.219,-4.5,0.7,0.449,0.202,-5.6,0.475,0.475,-5.4,0.455,0.475,-5.5,0.467,0.475,-5.8,0.505,0.475,-5.8,0.501,0.475,0,-1.0,179.924
20200706_2254,-5.69,110.55,535.0,BK.INGL.00,39.529,-123.698,120.766,1527.194,1540.084,1543.909,270.0,4.537,0.505,0.481,0.478,0.48,0.484,0.1,0.3,0.837,0.832,-0.2,0.762,0.762,-0.1,0.769,0.762,-0.1,0.76,0.762,-0.1,0.765,0.762,-0.1,0.767,0.762,1,1.0,46.763
20200706_2254,-5.69,110.55,535.0,AZ.CRY.,33.565,-116.737,128.115,1574.022,1592.034,1597.444,271.0,3.632,0.468,0.479,0.46,0.466,0.466,-0.7,-0.6,0.818,0.826,-1.1,0.405,0.405,-0.7,0.445,0.405,-1.1,0.446,0.405,-0.9,0.448,0.405,-0.9,0.443,0.405,0,-1.0,51.056
20200706_2254,-5.69,110.55,535.0,C1.MG02.,-52.781,-69.224,121.529,1532.136,1545.512,1549.485,272.0,2.736,0.172,0.175,0.179,0.181,0.176,-1.4,-4.6,0.859,-0.879,4.5,0.561,0.561,5.1,0.64,0.561,5.0,0.638,0.561,4.9,0.63,0.561,4.8,0.639,0.561,0,-1.0,-179.84
20200706_2254,-5.69,110.55,535.0,C1.BO03.,-34.496,-71.961,139.744,1644.552,1672.52,1681.246,273.0,1.46,0.048,0.291,0.287,0.262,0.268,1.8,2.1,0.888,0.934,1.9,0.508,0.508,8.4,0.507,0.508,8.4,0.509,0.508,7.8,0.532,0.508,7.9,0.53,0.508,0,-1.0,176.819
20200706_2254,-5.69,110.55,535.0,C1.MT12.,-33.733,-70.549,140.564,1649.358,1678.111,1687.107,274.0,1.631,0.361,0.383,0.38,0.376,0.371,2.2,2.5,0.753,0.674,-1.8,0.833,0.833,-1.1,0.85,0.833,-1.3,0.854,0.833,-1.6,0.867,0.833,-1.6,0.867,0.833,0,-1.0,178.572
