station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
LD.PAL.,41.006,-73.908,144.460,1671.900,1704.538,1714.884,0.000,0.747,0.767,0.774,0.756,0.750
CC.ASBU.,43.821,-121.368,120.762,1527.168,1540.055,1543.879,1.000,0.508,0.360,0.381,0.399,0.401
CI.FOX2.,34.734,-118.240,126.530,1564.072,1580.893,1585.931,2.000,0.522,0.570,0.560,0.561,0.562
CI.BRE.,33.808,-117.981,127.063,1567.427,1584.644,1589.805,3.000,0.192,0.204,0.197,0.189,0.192
CI.BC3.,33.655,-115.454,129.071,1579.983,1598.730,1604.373,4.000,0.549,0.582,0.577,0.578,0.581
BK.BONV.00,38.987,-123.349,121.206,1530.044,1543.213,1547.122,5.000,0.446,0.395,0.389,0.406,0.402
CI.CTW.,33.677,-115.872,128.741,1577.927,1596.420,1601.981,6.000,0.422,0.473,0.453,0.459,0.459
BK.RBOW.00,40.335,-124.111,120.193,1523.467,1535.998,1539.713,7.000,0.144,0.183,0.181,0.180,0.180
BK.KARE.00,36.597,-119.504,124.893,1553.713,1569.356,1574.026,8.000,0.508,0.502,0.489,0.490,0.490
MX.HPIG.,26.937,-105.664,139.522,1643.244,1671.000,1679.655,9.000,0.612,0.571,0.613,0.607,0.596
PY.BPH05.,33.612,-116.455,128.316,1575.276,1593.442,1598.900,10.000,0.462,0.499,0.492,0.492,0.495
PR.EMPR.,18.477,-66.529,166.899,1792.169,1851.399,1871.730,11.000,0.168,0.168,0.162,0.163,0.165
CX.PB11.,-19.761,-69.656,154.548,1727.961,1771.699,1786.090,12.000,0.296,0.268,0.271,0.272,0.269
BK.BABI.00,36.516,-120.853,123.911,1547.449,1562.409,1566.868,13.000,0.021,-0.007,-0.005,-0.004,-0.004
C1.MT18.,-33.463,-70.664,140.830,1650.916,1679.926,1689.011,14.000,0.069,0.095,0.089,0.069,0.075
YB.MOJO.00,34.756,-115.833,128.352,1575.498,1593.690,1599.157,15.000,0.113,0.163,0.165,0.162,0.162
C1.VA01.,-33.023,-71.648,141.231,1653.256,1682.656,1691.876,16.000,0.195,0.291,0.296,0.297,0.290
C1.AC01.,-26.148,-70.599,148.143,1692.745,1729.273,1741.001,17.000,0.149,0.148,0.150,0.172,0.165
GE.BOAB.,12.449,-85.666,162.629,1770.512,1824.170,1842.319,18.000,0.693,0.654,0.630,0.637,0.647
C1.BO01.,-34.392,-71.085,139.889,1645.401,1673.506,1682.280,19.000,-0.042,0.021,0.020,0.017,0.018
CX.PB18.,-17.590,-69.480,156.720,1739.606,1785.918,1801.279,20.000,0.387,0.207,0.216,0.240,0.229
CM.HEL.00,6.191,-75.529,173.933,1826.588,1895.471,1919.732,21.000,0.484,0.438,0.379,0.415,0.438
CI.CLT.,34.093,-117.317,127.473,1570.004,1587.528,1592.785,22.000,0.373,0.318,0.330,0.328,0.330
Y4.VB04.,-39.378,-71.935,134.873,1615.553,1639.068,1646.284,23.000,0.320,0.339,0.340,0.343,0.342
LD.FOR.,40.860,-73.885,144.606,1672.736,1705.526,1715.924,24.000,0.683,0.710,0.715,0.701,0.697
CI.FMP.,33.713,-118.294,126.854,1566.110,1583.171,1588.283,25.000,0.385,0.446,0.446,0.439,0.435
OH.O53A.,40.249,-81.213,143.861,1668.469,1700.494,1710.626,26.000,0.763,0.755,0.763,0.782,0.782
CX.PSGCX.,-19.597,-70.123,154.704,1728.801,1772.722,1787.182,27.000,0.371,0.335,0.342,0.348,0.345
C.GO06.,-39.584,-71.472,134.688,1614.432,1637.786,1644.947,28.000,0.236,0.319,0.313,0.321,0.316
CI.ALP.,34.687,-118.299,126.502,1563.894,1580.695,1585.726,29.000,0.489,0.554,0.532,0.533,0.538
CM.URI.00,11.702,-71.993,173.484,1824.437,1892.685,1916.687,30.000,0.445,0.466,0.446,0.414,0.413
CI.BLY.,33.750,-114.524,129.745,1584.169,1603.441,1609.252,31.000,0.596,0.611,0.593,0.594,0.601
BK.BJES.00,40.544,-123.880,120.285,1524.071,1536.660,1540.393,32.000,,,,,
NM.PBMO.,36.778,-90.430,143.469,1666.216,1697.842,1707.834,33.000,0.712,0.687,0.694,0.696,0.698
LD.PTNY.,44.558,-74.951,140.835,1650.945,1679.960,1689.047,34.000,-0.008,-0.003,-0.004,-0.007,-0.005
CX.PB09.,-21.796,-69.242,152.513,1716.921,1758.303,1771.811,35.000,0.371,0.290,0.294,0.308,0.308
C1.MT01.,-33.864,-71.251,140.409,1648.454,1677.058,1686.004,36.000,0.242,0.426,0.412,0.366,0.376
1P.BONA.,-50.289,-72.027,123.976,1547.867,1562.872,1567.345,37.000,0.205,0.127,0.131,0.154,0.146
1P.ESCR.,-49.959,-73.132,124.260,1549.676,1564.876,1569.410,38.000,0.022,0.016,0.017,0.020,0.019
ZC.REDR.,19.271,-71.712,166.241,1788.870,1847.228,1867.212,39.000,0.140,0.156,0.153,0.146,0.144
CI.AVM.,35.066,-116.615,127.640,1571.048,1588.698,1593.995,40.000,0.596,0.644,0.617,0.629,0.624
BK.PETY.00,40.177,-122.788,121.193,1529.964,1543.125,1547.032,41.000,0.558,0.569,0.560,0.552,0.558
UW.DAVN.,47.801,-118.274,120.898,1528.049,1541.022,1544.872,42.000,0.593,0.572,0.575,0.574,0.575
CX.PB16.,-18.335,-69.508,155.975,1735.625,1781.046,1796.071,43.000,0.138,0.066,0.076,0.102,0.095
CI.CSH.,33.644,-116.596,128.196,1574.524,1592.598,1598.027,44.000,0.610,0.627,0.613,0.618,0.617
BK.YBH.50,41.732,-122.710,120.677,1526.617,1539.450,1543.258,45.000,0.377,0.303,0.310,0.323,0.319
BK.SAO.00,36.764,-121.447,123.377,1544.037,1558.633,1562.980,46.000,0.598,0.655,0.648,0.649,0.655
1P.PTTY.,-50.424,-74.273,123.732,1546.303,1561.140,1565.562,47.000,-0.055,0.138,0.116,0.047,0.051
CI.HEC.,34.829,-116.335,127.944,1572.949,1590.830,1596.199,48.000,0.589,0.566,0.560,0.558,0.561
PY.BPH11.,33.605,-116.452,128.321,1575.308,1593.478,1598.937,49.000,0.454,0.497,0.486,0.490,0.488
BK.HOPS.00,38.993,-123.072,121.405,1531.336,1544.632,1548.581,50.000,0.365,0.412,0.405,0.414,0.416
BK.HULI.00,36.021,-121.236,123.791,1546.685,1561.563,1565.997,51.000,0.489,0.520,0.509,0.502,0.506
LD.NPNY.,41.755,-74.144,143.694,1667.509,1699.363,1709.435,52.000,0.757,0.778,0.782,0.783,0.785
YB.MOJD.00,34.693,-116.115,128.164,1574.323,1592.372,1597.793,53.000,0.437,0.497,0.472,0.472,0.478
BK.BRIC.00,40.112,-123.896,120.423,1524.966,1537.641,1541.400,54.000,0.495,0.445,0.467,0.466,0.467
BK.HATC.00,40.816,-121.461,121.893,1534.489,1548.100,1552.145,55.000,0.493,0.477,0.492,0.500,0.491
CX.PB03.,-22.048,-69.753,152.260,1715.540,1756.632,1770.034,56.000,0.141,0.159,0.157,0.119,0.116
ZC.SODR.00,19.752,-70.576,165.895,1787.127,1845.027,1864.830,57.000,0.300,0.308,0.309,0.306,0.305
PY.BPH02.,33.611,-116.455,128.317,1575.281,1593.448,1598.906,58.000,0.461,0.503,0.491,0.491,0.494
C.GO04.,-30.173,-70.799,144.114,1669.919,1702.203,1712.424,59.000,0.195,0.144,0.141,0.141,0.140
BK.KCC.00,37.324,-119.319,124.760,1552.866,1568.415,1573.057,60.000,0.508,0.450,0.450,0.449,0.450
CM.LCBC.00,8.857,-76.368,172.443,1819.423,1886.212,1909.614,61.000,0.003,0.011,0.010,0.011,0.011
NU.CNGN.,12.500,-86.699,161.669,1765.568,1817.998,1835.677,62.000,0.675,0.657,0.608,0.618,0.643
C1.CO04.,-32.043,-70.975,142.239,1659.113,1689.505,1699.068,63.000,0.250,0.272,0.272,0.264,0.269
BK.WENL.00,37.622,-121.757,122.849,1540.645,1554.885,1559.123,64.000,0.623,0.541,0.558,0.559,0.562
CX.PB07.,-21.727,-69.886,152.580,1717.288,1758.746,1772.283,65.000,0.254,0.192,0.196,0.189,0.183
NM.USIN.,37.965,-87.666,143.724,1667.684,1699.569,1709.652,66.000,0.733,0.660,0.673,0.682,0.679
