evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20200706_2254,-5.690,110.550,535.000,LD.PAL.,41.006,-73.908,144.460,1671.900,1704.538,1714.884,0.000,4.037,0.747,0.767,0.774,0.756,0.750,0.400,0.200,0.926,0.928,-0.600,0.936,0.936,-0.500,0.931,0.936,-0.600,0.930,0.936,-0.900,0.932,0.936,-0.900,0.932,0.936
20200706_2254,-5.690,110.550,535.000,CC.ASBU.,43.821,-121.368,120.762,1527.168,1540.055,1543.879,1.000,3.391,0.508,0.360,0.381,0.399,0.401,1.100,-4.100,0.689,-0.377,-0.100,0.423,0.423,2.500,0.476,0.423,3.100,0.455,0.423,3.000,0.490,0.423,2.900,0.497,0.423
20200706_2254,-5.690,110.550,535.000,CI.FOX2.,34.734,-118.240,126.530,1564.072,1580.893,1585.931,2.000,4.767,0.522,0.570,0.560,0.561,0.562,-0.200,0.200,0.823,0.933,-0.100,0.662,0.662,0.100,0.675,0.662,-0.100,0.659,0.662,0.000,0.663,0.662,0.000,0.659,0.662
20200706_2254,-5.690,110.550,535.000,CI.BRE.,33.808,-117.981,127.063,1567.427,1584.644,1589.805,3.000,1.337,0.192,0.204,0.197,0.189,0.192,1.300,4.600,0.460,-0.676,1.000,0.393,0.393,1.200,0.449,0.393,0.900,0.437,0.393,1.200,0.448,0.393,1.100,0.450,0.393
20200706_2254,-5.690,110.550,535.000,CI.BC3.,33.655,-115.454,129.071,1579.983,1598.730,1604.373,4.000,2.681,0.549,0.582,0.577,0.578,0.581,-0.800,-1.000,0.872,0.847,-0.900,0.598,0.598,-0.500,0.594,0.598,-0.800,0.585,0.598,-0.700,0.590,0.598,-0.600,0.586,0.598
20200706_2254,-5.690,110.550,535.000,BK.BONV.00,38.987,-123.349,121.206,1530.044,1543.213,1547.122,5.000,1.857,0.446,0.395,0.389,0.406,0.402,-0.100,-0.700,0.569,0.377,-0.800,0.585,0.585,-0.100,0.677,0.585,-0.500,0.636,0.585,-0.100,0.670,0.585,-0.200,0.662,0.585
20200706_2254,-5.690,110.550,535.000,CI.CTW.,33.677,-115.872,128.741,1577.927,1596.420,1601.981,6.000,4.735,0.422,0.473,0.453,0.459,0.459,-1.800,-2.700,0.826,0.811,-2.700,0.473,0.473,-2.300,0.491,0.473,-2.600,0.504,0.473,-2.400,0.502,0.473,-2.500,0.495,0.473
20200706_2254,-5.690,110.550,535.000,BK.RBOW.00,40.335,-124.111,120.193,1523.467,1535.998,1539.713,7.000,1.373,0.144,0.183,0.181,0.180,0.180,8.400,4.100,0.573,-0.533,-8.600,0.370,0.370,-7.600,0.365,0.370,-8.100,0.343,0.370,-7.700,0.344,0.370,-7.800,0.346,0.370
20200706_2254,-5.690,110.550,535.000,BK.KARE.00,36.597,-119.504,124.893,1553.713,1569.356,1574.026,8.000,3.668,0.508,0.502,0.489,0.490,0.490,-1.000,-1.500,0.799,0.769,-0.700,0.480,0.480,-0.100,0.473,0.480,-0.900,0.459,0.480,-0.600,0.471,0.480,-0.600,0.463,0.480
20200706_2254,-5.690,110.550,535.000,MX.HPIG.,26.937,-105.664,139.522,1643.244,1671.000,1679.655,9.000,6.261,0.612,0.571,0.613,0.607,0.596,1.400,0.700,0.747,0.551,0.500,0.822,0.822,0.300,0.833,0.822,0.000,0.836,0.822,0.000,0.833,0.822,0.100,0.832,0.822
20200706_2254,-5.690,110.550,535.000,PY.BPH05.,33.612,-116.455,128.316,1575.276,1593.442,1598.900,10.000,5.345,0.462,0.499,0.492,0.492,0.495,-1.000,-1.100,0.870,0.847,-1.600,0.354,0.354,-1.200,0.392,0.354,-1.500,0.392,0.354,-1.300,0.396,0.354,-1.300,0.388,0.354
