station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
GB.HMNX.,50.867,0.336,152.911,1718.371,1760.224,1773.909,200.000,0.618,0.777,0.783,0.764,0.774
IV.RAFF.,37.222,14.362,161.728,1765.149,1817.669,1835.384,201.000,0.262,0.278,0.333,0.333,0.311
GB.KPL.,57.339,-5.653,146.200,1681.082,1715.552,1726.543,202.000,0.723,0.697,0.699,0.702,0.702
IU.KMBO.10,-1.127,37.252,136.017,1621.721,1646.258,1653.821,203.000,0.429,0.454,0.442,0.436,0.441
IV.ATFO.,43.367,12.571,157.817,1744.708,1792.362,1808.228,204.000,0.578,0.650,0.682,0.689,0.682
CZ.MORC.,49.777,17.542,150.585,1705.617,1744.838,1757.548,205.000,0.565,0.565,0.581,0.572,0.573
GR.ZARR.,53.554,10.917,149.094,1697.343,1734.919,1747.027,206.000,0.348,0.346,0.339,0.336,0.337
RO.BANR.,45.383,21.137,152.399,1715.578,1756.844,1770.310,207.000,0.427,0.483,0.510,0.517,0.509
IV.ATVO.,43.382,12.407,157.867,1744.973,1792.688,1808.577,208.000,0.632,0.672,0.705,0.725,0.717
RO.SULR.,44.678,26.253,150.077,1702.807,1741.464,1753.967,209.000,0.269,0.301,0.339,0.345,0.339
GE.MATE.,40.649,16.704,158.032,1745.843,1793.758,1809.723,210.000,0.506,0.564,0.598,0.594,0.589
IV.SNTG.,43.255,12.941,157.767,1744.442,1792.034,1807.877,211.000,0.493,0.554,0.601,0.611,0.600
OE.RETA.,47.487,10.762,154.766,1728.415,1772.423,1786.917,212.000,0.506,0.550,0.601,0.614,0.601
EE.VSU.,58.462,26.735,140.431,1647.865,1676.503,1685.461,213.000,0.721,0.722,0.737,0.737,0.739
KO.KMRS.,37.509,36.900,145.630,1677.852,1711.722,1722.501,214.000,0.694,0.652,0.619,0.634,0.644
IV.FIAM.,42.268,13.117,158.514,1748.387,1796.891,1813.079,215.000,0.375,0.439,0.494,0.511,0.489
NI.ACOM.,46.548,13.514,154.749,1728.324,1772.313,1786.800,216.000,0.328,0.433,0.483,0.505,0.493
DK.ICESG.,69.092,-39.647,128.934,1578.418,1597.069,1602.682,217.000,0.681,0.663,0.680,0.676,0.669
RO.DOPR.,45.967,25.389,149.785,1701.187,1739.521,1751.905,218.000,0.611,0.665,0.718,0.718,0.705
GR.CLNZ.,52.942,10.954,149.661,1700.497,1738.694,1751.029,219.000,0.564,0.573,0.565,0.562,0.561
DK.NOR.,81.605,-16.661,121.800,1533.183,1546.743,1550.773,220.000,0.634,0.576,0.587,0.591,0.585
CH.MUGIO.,45.922,9.042,156.665,1738.589,1784.850,1800.192,221.000,0.516,0.549,0.595,0.630,0.615
RO.LOT.,45.446,23.770,150.989,1707.847,1747.519,1760.395,222.000,0.053,0.056,0.057,0.056,0.057
NR.NE012.,53.152,6.301,150.233,1703.669,1742.499,1755.065,223.000,0.646,0.664,0.653,0.630,0.644
MN.TIP.,39.179,16.758,159.017,1751.033,1800.155,1816.577,224.000,0.417,0.423,0.474,0.478,0.457
II.KIV.00,43.955,42.686,139.773,1644.010,1672.019,1680.761,225.000,0.766,0.784,0.805,0.804,0.797
CH.PLONS.,47.049,9.381,155.530,1732.522,1777.430,1792.263,226.000,0.504,0.562,0.595,0.603,0.597
ZP.ISOK.02,-10.171,32.646,133.357,1605.655,1627.882,1634.665,227.000,0.556,0.529,0.540,0.545,0.542
US.PKME.00,45.264,-69.292,121.000,1528.003,1541.050,1544.923,228.000,0.452,0.429,0.397,0.421,0.426
IV.HLNI.,37.348,14.872,161.345,1763.170,1815.204,1832.732,229.000,0.656,0.681,0.702,0.706,0.696
IV.PLAC.,38.449,16.438,159.690,1754.559,1804.515,1821.253,230.000,0.511,0.523,0.537,0.531,0.533
GT.DBIC.00,6.670,-4.857,162.286,1768.025,1821.259,1839.246,231.000,-0.049,-0.020,-0.013,0.005,-0.003
SX.MULD.,50.412,12.404,151.657,1711.516,1751.939,1765.093,232.000,0.627,0.641,0.664,0.670,0.662
