station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
AF.TEZI.,-15.747,26.016,124.237,1540.739,1556.056,1560.629,0.000,0.300,0.281,0.292,0.303,0.295
AI.SMAI.04,-68.130,-67.106,156.099,1727.324,1773.091,1788.258,1.000,0.594,0.601,0.570,0.574,0.594
YT.SILY.,-77.133,-125.966,139.488,1634.166,1662.061,1670.769,2.000,0.676,0.706,0.675,0.684,0.701
GE.WIN.,-22.569,17.091,134.695,1605.619,1629.137,1636.360,3.000,0.130,0.299,0.299,0.299,0.294
ER.ICE.,-77.552,167.283,131.063,1583.483,1603.954,1610.158,4.000,0.704,0.708,0.757,0.728,0.704
YT.FISH.,-78.928,162.565,132.256,1590.805,1612.253,1618.780,5.000,0.751,0.808,0.813,0.817,0.812
YV.EURO.00,-22.344,40.340,121.076,1520.423,1533.632,1537.557,6.000,-0.083,-0.165,-0.142,-0.139,-0.144
CX.PB11.,-19.761,-69.656,133.361,1597.540,1619.914,1626.750,7.000,0.635,0.679,0.665,0.667,0.666
YT.THUR.,-72.530,-97.561,145.508,1668.963,1702.873,1713.675,8.000,0.730,0.707,0.693,0.708,0.710
AF.WIN.,-22.567,17.100,134.688,1605.579,1629.092,1636.313,9.000,0.138,0.300,0.287,0.287,0.296
GT.LBTB.00,-25.015,25.597,131.828,1588.181,1609.275,1615.685,10.000,0.374,0.227,0.313,0.303,0.235
AF.HVD.,-30.605,25.497,136.070,1613.887,1638.621,1646.257,11.000,0.184,0.157,0.158,0.159,0.158
YT.HOWD.,-77.529,-86.769,147.923,1682.590,1719.067,1730.786,12.000,0.591,0.688,0.677,0.673,0.684
ZJ.LEON.,-73.713,163.328,127.116,1558.946,1576.343,1581.564,13.000,0.653,0.641,0.675,0.657,0.636
YT.WAIS.,-79.418,-111.778,142.891,1653.985,1685.206,1695.064,14.000,0.596,0.522,0.481,0.504,0.517
ZJ.RKST.,-74.201,159.002,127.470,1561.164,1578.828,1584.132,15.000,0.514,0.611,0.583,0.596,0.609
CX.PB10.,-23.513,-70.554,135.955,1613.197,1637.827,1645.428,16.000,0.626,0.563,0.599,0.601,0.602
CX.PB08.,-20.141,-69.153,133.939,1601.052,1623.919,1630.921,17.000,0.760,0.711,0.724,0.724,0.725
IU.SBA.00,-77.849,166.757,131.332,1585.139,1605.829,1612.105,18.000,0.632,0.661,0.674,0.677,0.667
YT.UPTW.,-77.578,-109.037,143.155,1655.506,1686.992,1696.943,19.000,0.637,0.616,0.621,0.623,0.622
YT.DNTW.,-76.451,-107.777,143.264,1656.134,1687.731,1697.720,20.000,0.021,0.000,-0.000,0.000,0.000
ZJ.CASY.,-73.296,159.632,126.583,1555.595,1572.595,1577.692,21.000,0.064,0.059,0.043,0.050,0.057
CX.PSGCX.,-19.597,-70.123,132.980,1595.221,1617.273,1624.001,22.000,0.583,0.677,0.657,0.651,0.660
YT.SWEI.,-86.986,129.361,140.419,1639.626,1668.412,1677.426,23.000,0.578,0.748,0.738,0.745,0.750
C.GO06.,-39.584,-71.472,147.219,1678.631,1714.352,1725.799,24.000,0.346,0.483,0.412,0.431,0.455
ZJ.RAPH.,-73.597,162.288,126.963,1557.983,1575.266,1580.451,25.000,0.745,0.718,0.692,0.709,0.720
CX.MNMCX.,-19.131,-69.596,132.868,1594.539,1616.497,1623.194,26.000,0.595,0.624,0.608,0.607,0.609
XK.B14MH.,-18.295,21.792,128.655,1568.566,1587.136,1592.726,27.000,0.055,0.427,0.410,0.404,0.411
