evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20131001_0338,53.200,152.810,585.500,AF.TEZI.,-15.747,26.016,124.237,1540.739,1556.056,1560.629,0.000,1.280,0.300,0.281,0.292,0.303,0.295,-0.600,-0.400,0.477,0.657,-0.600,0.657,0.657,-0.400,0.528,0.657,-0.600,0.538,0.657,-0.300,0.529,0.657,-0.400,0.534,0.657
20131001_0338,53.200,152.810,585.500,AI.SMAI.04,-68.130,-67.106,156.099,1727.324,1773.091,1788.258,1.000,5.657,0.594,0.601,0.570,0.574,0.594,-1.200,-0.700,0.799,0.751,-1.200,0.663,0.663,-0.800,0.676,0.663,-1.400,0.663,0.663,-1.400,0.664,0.663,-1.000,0.667,0.663
20131001_0338,53.200,152.810,585.500,YT.SILY.,-77.133,-125.966,139.488,1634.166,1662.061,1670.769,2.000,6.514,0.676,0.706,0.675,0.684,0.701,-0.400,-0.300,0.864,0.830,-0.500,0.932,0.932,-0.500,0.873,0.932,-1.000,0.910,0.932,-0.900,0.891,0.932,-0.600,0.880,0.932
20131001_0338,53.200,152.810,585.500,GE.WIN.,-22.569,17.091,134.695,1605.619,1629.137,1636.360,3.000,2.166,0.130,0.299,0.299,0.299,0.294,-2.600,2.800,0.588,0.396,10.800,0.509,0.509,1.600,0.695,0.509,1.100,0.737,0.509,1.100,0.742,0.509,1.200,0.725,0.509
20131001_0338,53.200,152.810,585.500,ER.ICE.,-77.552,167.283,131.063,1583.483,1603.954,1610.158,4.000,10.382,0.704,0.708,0.757,0.728,0.704,1.200,1.500,0.925,0.919,0.900,0.958,0.958,1.000,0.966,0.958,0.400,0.970,0.958,0.700,0.966,0.958,1.000,0.966,0.958
20131001_0338,53.200,152.810,585.500,YT.FISH.,-78.928,162.565,132.256,1590.805,1612.253,1618.780,5.000,6.760,0.751,0.808,0.813,0.817,0.812,0.800,0.800,0.972,0.968,0.400,0.960,0.960,0.400,0.969,0.960,-0.200,0.973,0.960,0.000,0.975,0.960,0.300,0.971,0.960
20131001_0338,53.200,152.810,585.500,YV.EURO.00,-22.344,40.340,121.076,1520.423,1533.632,1537.557,6.000,0.843,-0.083,-0.165,-0.142,-0.139,-0.144,-3.200,-0.100,0.408,-0.230,8.200,0.487,0.487,8.100,0.616,0.487,8.200,0.539,0.487,8.200,0.578,0.487,8.200,0.580,0.487
20131001_0338,53.200,152.810,585.500,CX.PB11.,-19.761,-69.656,133.361,1597.540,1619.914,1626.750,7.000,5.840,0.635,0.679,0.665,0.667,0.666,-0.700,-0.400,0.663,0.685,-1.100,0.743,0.743,-0.500,0.764,0.743,-0.800,0.726,0.743,-0.800,0.734,0.743,-0.800,0.737,0.743
20131001_0338,53.200,152.810,585.500,YT.THUR.,-72.530,-97.561,145.508,1668.963,1702.873,1713.675,8.000,7.443,0.730,0.707,0.693,0.708,0.710,0.100,0.100,0.916,0.934,0.000,0.958,0.958,0.200,0.961,0.958,-0.400,0.957,0.958,-0.300,0.962,0.958,0.000,0.964,0.958
20131001_0338,53.200,152.810,585.500,AF.WIN.,-22.567,17.100,134.688,1605.579,1629.092,1636.313,9.000,2.156,0.138,0.300,0.287,0.287,0.296,-2.600,2.900,0.592,0.404,10.900,0.506,0.506,1.600,0.692,0.506,1.100,0.734,0.506,1.100,0.739,0.506,1.200,0.721,0.506
