station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
PS.PATS.,6.837,158.315,136.580,1621.324,1646.435,1654.196,0.000,0.186,0.156,0.122,0.139,0.176
SC.BYD.,27.810,103.188,163.480,1770.327,1825.182,1843.800,1.000,0.263,0.263,0.261,0.259,0.261
GD.ZHH.,22.271,113.566,172.935,1817.232,1884.815,1908.551,2.000,0.548,0.527,0.530,0.529,0.526
PS.TSK.,36.211,140.110,149.283,1694.605,1732.466,1744.682,3.000,0.181,0.153,0.148,0.155,0.134
QH.LJX.,35.993,101.839,156.283,1732.748,1778.635,1793.841,4.000,0.718,0.748,0.729,0.730,0.744
KN.CHM.,42.999,74.751,136.035,1618.061,1642.681,1650.275,5.000,0.474,0.335,0.364,0.369,0.329
JL.SYZT.,43.539,125.674,150.294,1700.215,1739.191,1751.815,6.000,0.361,0.334,0.348,0.367,0.359
GE.MNAI.,-4.360,102.956,157.080,1736.993,1783.837,1799.403,7.000,0.161,0.177,0.162,0.138,0.176
SC.JLI.,28.179,104.516,163.970,1772.830,1828.320,1847.183,8.000,0.302,0.342,0.327,0.312,0.338
BJ.MIY.,40.467,116.833,154.782,1724.696,1768.804,1783.341,9.000,0.405,0.353,0.361,0.364,0.356
GD.PUN.,23.288,116.136,171.926,1812.362,1878.536,1901.696,10.000,0.272,0.368,0.379,0.391,0.383
FJ.MQDQ.,26.381,118.908,168.295,1794.568,1855.770,1876.901,11.000,0.447,0.445,0.463,0.487,0.468
AH.JIX.,30.699,118.378,164.271,1774.360,1830.239,1849.255,12.000,0.494,0.525,0.527,0.527,0.529
GE.FAKI.,-2.919,132.249,154.915,1725.415,1769.680,1784.276,13.000,0.458,0.507,0.515,0.534,0.496
NX.ZHW.,37.586,105.244,156.159,1732.086,1777.824,1792.975,14.000,0.636,0.573,0.573,0.574,0.574
HN.HEY.,26.920,112.519,168.189,1794.045,1855.106,1876.180,15.000,0.712,0.693,0.693,0.684,0.693
