evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20130524_1456,52.360,151.480,642.400,AI.SMAI.04,-68.130,-67.106,155.880,1716.307,1762.046,1777.217,0.000,5.500,0.592,0.594,0.582,0.572,0.588,-0.600,-0.200,0.789,0.762,-0.700,0.816,0.816,-0.800,0.800,0.816,-1.200,0.843,0.816,-1.100,0.840,0.816,-0.900,0.814,0.816
20130524_1456,52.360,151.480,642.400,YT.SILY.,-77.133,-125.966,138.969,1621.362,1648.965,1657.582,1.000,2.456,0.556,0.561,0.492,0.514,0.547,-0.400,-0.200,0.765,0.830,-0.300,0.967,0.967,-0.700,0.942,0.967,-1.000,0.951,0.967,-1.000,0.950,0.967,-0.800,0.946,0.967
20130524_1456,52.360,151.480,642.400,IU.TRIS.10,-37.068,-12.315,160.950,1742.983,1794.948,1812.479,2.000,1.691,0.066,0.060,0.057,0.061,0.059,-3.100,4.800,0.673,-0.500,10.300,0.382,0.382,-3.800,0.519,0.382,-3.900,0.473,0.382,-3.900,0.426,0.382,-3.800,0.504,0.382
20130524_1456,52.360,151.480,642.400,ER.ICE.,-77.552,167.283,130.285,1568.993,1589.016,1595.079,3.000,15.071,0.775,0.831,0.853,0.839,0.828,1.000,1.000,0.895,0.897,0.700,0.963,0.963,0.400,0.876,0.963,0.000,0.914,0.963,0.200,0.902,0.963,0.500,0.884,0.963
20130524_1456,52.360,151.480,642.400,ZD.FN08.,-11.223,-75.504,124.247,1531.152,1546.633,1551.261,4.000,2.234,0.249,0.262,0.265,0.264,0.264,2.300,1.700,0.317,0.270,1.600,0.284,0.284,1.500,0.383,0.284,1.300,0.404,0.284,1.400,0.411,0.284,1.400,0.410,0.284
20130524_1456,52.360,151.480,642.400,ZD.FS02.,-14.385,-73.961,127.719,1553.049,1571.071,1576.492,5.000,1.876,0.283,0.209,0.207,0.206,0.204,-4.200,-4.000,0.618,0.639,-4.100,0.624,0.624,-4.000,0.696,0.624,-4.300,0.715,0.624,-4.200,0.719,0.624,-4.200,0.717,0.624
20130524_1456,52.360,151.480,642.400,YT.FISH.,-78.928,162.565,131.455,1576.193,1597.161,1603.535,6.000,7.033,0.798,0.720,0.735,0.737,0.728,1.000,1.100,0.911,0.893,0.300,0.856,0.856,0.400,0.680,0.856,-0.300,0.730,0.856,0.000,0.719,0.856,0.200,0.692,0.856
20130524_1456,52.360,151.480,642.400,YT.MECK.,-75.281,-72.185,151.417,1692.152,1732.706,1745.930,7.000,5.490,0.670,0.703,0.744,0.743,0.712,0.700,0.800,0.922,0.904,0.400,0.773,0.773,0.600,0.802,0.773,0.300,0.797,0.773,0.100,0.808,0.773,0.500,0.809,0.773
20130524_1456,52.360,151.480,642.400,ZD.FN13.,-12.042,-75.321,125.033,1536.143,1552.179,1556.979,8.000,0.715,0.414,0.391,0.392,0.389,0.391,7.100,0.300,0.634,0.590,-0.200,0.898,0.898,0.100,0.860,0.898,-0.100,0.866,0.898,0.000,0.868,0.898,0.000,0.868,0.898
20130524_1456,52.360,151.480,642.400,YV.EURO.00,-22.344,40.340,120.315,1505.864,1518.735,1522.560,9.000,1.299,0.088,0.168,0.161,0.161,0.161,-1.100,-4.700,0.796,-0.511,2.900,0.858,0.858,2.900,0.669,0.858,2.800,0.674,0.858,2.800,0.674,0.858,2.800,0.674,0.858
20130524_1456,52.360,151.480,642.400,ZD.FS06.,-13.667,-73.312,127.461,1551.435,1569.260,1574.620,10.000,0.919,0.284,0.343,0.341,0.334,0.335,0.900,4.200,0.692,-0.861,0.000,0.704,0.704,0.300,0.746,0.704,0.100,0.745,0.704,0.100,0.740,0.704,0.200,0.742,0.704
20130524_1456,52.360,151.480,642.400,CX.PB11.,-19.761,-69.656,134.474,1594.570,1618.084,1625.312,11.000,1.363,0.260,0.234,0.214,0.212,0.212,-2.500,-2.600,0.802,0.931,-3.300,0.801,0.801,-2.900,0.762,0.801,-3.100,0.767,0.801,-3.100,0.770,0.801,-3.100,0.772,0.801
20130524_1456,52.360,151.480,642.400,6H.ORPN.,-24.477,31.390,127.356,1550.776,1568.521,1573.856,12.000,0.416,0.018,0.027,0.027,0.027,0.027,9.000,-4.400,0.544,-0.907,-3.100,0.372,0.372,-2.700,0.330,0.372,-2.700,0.343,0.372,-2.700,0.339,0.372,-2.700,0.338,0.372
20130524_1456,52.360,151.480,642.400,ZD.FM06.,-13.350,-74.463,126.586,1545.948,1563.117,1568.270,13.000,1.216,0.128,0.141,0.144,0.142,0.144,0.200,1.100,0.730,0.792,0.800,0.540,0.540,0.800,0.637,0.540,0.500,0.653,0.540,0.600,0.659,0.540,0.600,0.656,0.540
20130524_1456,52.360,151.480,642.400,ZD.FM1A.,-14.120,-75.560,126.640,1546.288,1563.497,1568.663,14.000,1.053,0.275,0.301,0.315,0.310,0.303,1.900,1.900,0.832,0.935,1.600,0.871,0.871,1.900,0.863,0.871,1.700,0.850,0.871,1.700,0.851,0.871,1.800,0.851,0.871
20130524_1456,52.360,151.480,642.400,YT.THUR.,-72.530,-97.561,145.177,1657.292,1691.071,1701.836,15.000,5.116,0.573,0.610,0.547,0.571,0.600,-0.500,-0.500,0.752,0.838,-0.400,0.697,0.697,-0.700,0.679,0.697,-1.300,0.645,0.697,-1.200,0.662,0.697,-0.900,0.677,0.697
20130524_1456,52.360,151.480,642.400,6H.ZINA.,-21.421,33.863,123.555,1526.738,1541.740,1546.220,16.000,0.905,0.162,0.065,0.057,0.059,0.060,1.500,1.700,0.884,0.887,6.600,0.693,0.693,5.900,0.496,0.693,5.300,0.452,0.693,5.500,0.463,0.693,5.500,0.464,0.693
20130524_1456,52.360,151.480,642.400,ZD.FN12.,-11.803,-75.596,124.686,1533.941,1549.731,1554.455,17.000,2.503,0.536,0.482,0.481,0.488,0.485,-4.500,3.100,0.487,-0.713,-0.800,0.461,0.461,-4.000,0.415,0.461,-1.400,0.441,0.461,-1.200,0.441,0.461,-1.300,0.438,0.461
20130524_1456,52.360,151.480,642.400,6H.SUSS.,-19.422,33.292,122.369,1519.136,1533.337,1537.568,18.000,0.689,-0.029,0.180,0.190,0.190,0.191,4.200,-4.200,0.365,-0.575,4.100,0.522,0.522,1.000,0.502,0.522,0.200,0.476,0.522,0.300,0.483,0.522,0.400,0.484,0.522
20130524_1456,52.360,151.480,642.400,6H.BANH.,-22.635,33.264,124.838,1534.903,1550.800,1555.557,19.000,1.106,0.056,0.046,0.123,0.121,0.120,-2.900,-2.800,0.838,0.832,2.500,0.474,0.474,2.300,0.502,0.474,2.100,0.515,0.474,2.100,0.508,0.474,2.200,0.501,0.474
20130524_1456,52.360,151.480,642.400,GT.LBTB.00,-25.015,25.597,131.241,1574.878,1595.671,1601.987,20.000,1.877,0.139,0.113,0.125,0.123,0.122,-4.800,2.300,0.482,-0.835,1.900,0.692,0.692,2.400,0.543,0.692,2.400,0.539,0.692,2.400,0.539,0.692,2.400,0.541,0.692
20130524_1456,52.360,151.480,642.400,YT.HOWD.,-77.529,-86.769,147.413,1669.927,1706.076,1717.686,21.000,9.110,0.662,0.676,0.666,0.674,0.674,0.400,0.500,0.947,0.953,0.200,0.780,0.780,0.500,0.881,0.780,0.200,0.858,0.780,0.200,0.862,0.780,0.400,0.876,0.780
20130524_1456,52.360,151.480,642.400,ZD.FN01.,-11.908,-76.664,124.203,1530.867,1546.317,1550.936,22.000,3.605,0.702,0.705,0.699,0.700,0.700,-0.400,0.100,0.919,0.883,-0.600,0.853,0.853,-0.100,0.895,0.853,-0.300,0.881,0.853,-0.300,0.874,0.853,-0.200,0.877,0.853
20130524_1456,52.360,151.480,642.400,ZJ.LEON.,-73.713,163.328,126.332,1544.352,1561.333,1566.428,23.000,8.619,0.640,0.656,0.687,0.678,0.665,1.100,0.800,0.776,0.742,0.800,0.503,0.503,0.600,0.502,0.503,0.000,0.515,0.503,0.400,0.506,0.503,0.500,0.503,0.503
20130524_1456,52.360,151.480,642.400,YT.WAIS.,-79.418,-111.778,142.332,1640.986,1671.855,1681.600,24.000,7.691,0.548,0.619,0.606,0.610,0.618,0.200,0.200,0.789,0.743,-0.600,0.780,0.780,0.300,0.803,0.780,-0.200,0.721,0.780,-0.100,0.718,0.780,0.200,0.770,0.780
20130524_1456,52.360,151.480,642.400,ZJ.RKST.,-74.201,159.002,126.663,1546.433,1563.658,1568.830,25.000,4.311,0.501,0.593,0.527,0.556,0.583,-0.100,3.700,0.796,-0.850,-0.100,0.801,0.801,-0.200,0.762,0.801,-0.900,0.786,0.801,-0.500,0.780,0.801,-0.300,0.770,0.801
20130524_1456,52.360,151.480,642.400,CX.PB10.,-23.513,-70.554,137.042,1609.952,1635.763,1643.770,26.000,0.601,0.169,0.217,0.226,0.235,0.228,-0.200,3.200,0.720,-0.704,-0.800,0.402,0.402,-7.900,0.362,0.402,-8.200,0.379,0.402,-8.100,0.400,0.402,-8.100,0.396,0.402
20130524_1456,52.360,151.480,642.400,ZD.FN10.,-10.946,-75.228,124.161,1530.598,1546.019,1550.628,27.000,3.742,0.620,0.655,0.648,0.648,0.650,-0.300,0.000,0.711,0.697,-0.700,0.683,0.683,-0.300,0.797,0.683,-0.600,0.791,0.683,-0.500,0.789,0.683,-0.400,0.791,0.683
20130524_1456,52.360,151.480,642.400,CX.PB08.,-20.141,-69.153,135.054,1598.064,1622.086,1629.487,28.000,1.678,0.183,0.088,0.106,0.110,0.105,-3.800,-3.700,0.919,0.909,-4.900,0.777,0.777,-4.400,0.761,0.777,-4.700,0.770,0.777,-4.700,0.785,0.777,-4.700,0.781,0.777
20130524_1456,52.360,151.480,642.400,IU.SBA.00,-77.849,166.757,130.551,1570.634,1590.869,1597.002,29.000,5.694,0.725,0.766,0.755,0.768,0.770,0.800,4.500,0.860,-0.894,0.100,0.888,0.888,-0.100,0.810,0.888,-0.600,0.832,0.888,-0.300,0.829,0.888,-0.100,0.817,0.888
20130524_1456,52.360,151.480,642.400,YT.UPTW.,-77.578,-109.037,142.652,1642.837,1674.027,1683.883,30.000,4.181,0.576,0.516,0.512,0.519,0.518,-0.200,4.100,0.911,-0.591,-1.100,0.655,0.655,0.200,0.600,0.655,-0.500,0.525,0.655,-0.400,0.526,0.655,0.000,0.568,0.655
20130524_1456,52.360,151.480,642.400,YT.DNTW.,-76.451,-107.777,142.797,1643.670,1675.005,1684.912,31.000,0.344,0.024,0.008,0.010,0.011,0.010,0.600,4.500,0.777,0.906,5.800,0.118,0.118,6.300,0.118,0.118,5.700,0.136,0.118,5.900,0.132,0.118,6.200,0.122,0.118
20130524_1456,52.360,151.480,642.400,ZD.FM05.,-13.359,-74.857,126.384,1544.677,1561.695,1566.802,32.000,3.761,0.371,0.394,0.370,0.375,0.379,-1.900,-0.900,0.361,0.286,-1.400,0.752,0.752,-1.000,0.878,0.752,-1.100,0.867,0.752,-1.100,0.865,0.752,-1.100,0.867,0.752
20130524_1456,52.360,151.480,642.400,XK.B08TS.,-20.164,22.459,129.339,1563.136,1582.410,1588.230,33.000,0.359,0.016,0.049,0.048,0.048,0.048,8.100,-4.300,0.756,-0.984,-1.200,0.351,0.351,-2.500,0.346,0.351,-2.300,0.371,0.351,-2.300,0.371,0.351,-2.400,0.357,0.351
20130524_1456,52.360,151.480,642.400,ZJ.CASY.,-73.296,159.632,125.781,1540.876,1557.451,1562.420,34.000,0.899,0.131,0.128,0.130,0.130,0.128,2.300,2.200,0.610,0.411,5.700,0.302,0.302,5.100,0.428,0.302,5.000,0.401,0.302,5.300,0.401,0.302,5.300,0.410,0.302
20130524_1456,52.360,151.480,642.400,CX.PSGCX.,-19.597,-70.123,134.091,1592.254,1615.437,1622.552,35.000,0.952,0.344,0.372,0.369,0.370,0.374,8.400,0.800,0.543,0.391,-0.400,0.730,0.730,0.400,0.784,0.730,0.100,0.783,0.730,0.100,0.788,0.730,0.100,0.789,0.730
20130524_1456,52.360,151.480,642.400,YT.SWEI.,-86.986,129.361,139.554,1624.802,1652.960,1661.767,36.000,3.327,0.683,0.637,0.613,0.625,0.637,0.300,1.000,0.886,0.878,0.100,0.819,0.819,-0.900,0.852,0.819,-1.200,0.834,0.819,-1.100,0.844,0.819,-1.000,0.853,0.819
20130524_1456,52.360,151.480,642.400,C.GO06.,-39.584,-71.472,148.111,1673.836,1710.735,1722.618,37.000,1.558,0.412,0.531,0.549,0.544,0.542,0.500,-2.800,0.761,-0.843,0.700,0.662,0.662,-0.100,0.723,0.662,-0.500,0.728,0.662,-0.400,0.727,0.662,-0.200,0.728,0.662
20130524_1456,52.360,151.480,642.400,C.GO07.,-43.114,-73.664,148.830,1677.855,1715.536,1727.703,38.000,10.768,0.549,0.673,0.705,0.707,0.699,1.800,2.200,0.909,0.879,1.600,0.938,0.938,1.300,0.918,0.938,0.600,0.909,0.938,0.600,0.916,0.938,0.800,0.917,0.938
20130524_1456,52.360,151.480,642.400,ZJ.RAPH.,-73.597,162.288,126.174,1543.355,1560.218,1565.277,39.000,13.779,0.715,0.723,0.655,0.688,0.717,-0.300,-0.100,0.915,0.916,-0.200,0.734,0.734,-0.500,0.705,0.734,-1.000,0.691,0.734,-0.700,0.696,0.734,-0.500,0.704,0.734
