evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20130524_1456,52.36,151.48,642.4,AI.SMAI.04,-68.13,-67.106,155.88,1716.307,1762.046,1777.217,0.0,5.5,0.592,0.594,0.582,0.572,0.588,-0.6,-0.2,0.789,0.762,-0.7,0.816,0.816,-0.8,0.8,0.816,-1.2,0.843,0.816,-1.1,0.84,0.816,-0.9,0.814,0.816,0,-1.0,145.379
20130524_1456,52.36,151.48,642.4,YT.SILY.,-77.133,-125.966,138.969,1621.362,1648.965,1657.582,1.0,2.456,0.556,0.561,0.492,0.514,0.547,-0.4,-0.2,0.765,0.83,-0.3,0.967,0.967,-0.7,0.942,0.967,-1.0,0.951,0.967,-1.0,0.95,0.967,-0.8,0.946,0.967,0,-1.0,160.309
20130524_1456,52.36,151.48,642.4,IU.TRIS.10,-37.068,-12.315,160.95,1742.983,1794.948,1812.479,2.0,1.691,0.066,0.06,0.057,0.061,0.059,-3.1,4.8,0.673,-0.5,10.3,0.382,0.382,-3.8,0.519,0.382,-3.9,0.473,0.382,-3.9,0.426,0.382,-3.8,0.504,0.382,0,-1.0,-42.587
20130524_1456,52.36,151.48,642.4,ER.ICE.,-77.552,167.283,130.285,1568.993,1589.016,1595.079,3.0,15.071,0.775,0.831,0.853,0.839,0.828,1.0,1.0,0.895,0.897,0.7,0.963,0.963,0.4,0.876,0.963,0.0,0.914,0.963,0.2,0.902,0.963,0.5,0.884,0.963,1,0.0,175.575
20130524_1456,52.36,151.48,642.4,ZD.FN08.,-11.223,-75.504,124.247,1531.152,1546.633,1551.261,4.0,2.234,0.249,0.262,0.265,0.264,0.264,2.3,1.7,0.317,0.27,1.6,0.284,0.284,1.5,0.383,0.284,1.3,0.404,0.284,1.4,0.411,0.284,1.4,0.41,0.284,0,-1.0,59.993
20130524_1456,52.36,151.48,642.4,ZD.FS02.,-14.385,-73.961,127.719,1553.049,1571.071,1576.492,5.0,1.876,0.283,0.209,0.207,0.206,0.204,-4.2,-4.0,0.618,0.639,-4.1,0.624,0.624,-4.0,0.696,0.624,-4.3,0.715,0.624,-4.2,0.719,0.624,-4.2,0.717,0.624,0,-1.0,60.551
20130524_1456,52.36,151.48,642.4,YT.FISH.,-78.928,162.565,131.455,1576.193,1597.161,1603.535,6.0,7.033,0.798,0.72,0.735,0.737,0.728,1.0,1.1,0.911,0.893,0.3,0.856,0.856,0.4,0.68,0.856,-0.3,0.73,0.856,0.0,0.719,0.856,0.2,0.692,0.856,0,-1.0,177.169
20130524_1456,52.36,151.48,642.4,YT.MECK.,-75.281,-72.185,151.417,1692.152,1732.706,1745.93,7.0,5.49,0.67,0.703,0.744,0.743,0.712,0.7,0.8,0.922,0.904,0.4,0.773,0.773,0.6,0.802,0.773,0.3,0.797,0.773,0.1,0.808,0.773,0.5,0.809,0.773,1,1.0,158.494
20130524_1456,52.36,151.48,642.4,ZD.FN13.,-12.042,-75.321,125.033,1536.143,1552.179,1556.979,8.0,0.715,0.414,0.391,0.392,0.389,0.391,7.1,0.3,0.634,0.59,-0.2,0.898,0.898,0.1,0.86,0.898,-0.1,0.866,0.898,0.0,0.868,0.898,0.0,0.868,0.898,0,-1.0,60.346
20130524_1456,52.36,151.48,642.4,YV.EURO.00,-22.344,40.34,120.315,1505.864,1518.735,1522.56,9.0,1.299,0.088,0.168,0.161,0.161,0.161,-1.1,-4.7,0.796,-0.511,2.9,0.858,0.858,2.9,0.669,0.858,2.8,0.674,0.858,2.8,0.674,0.858,2.8,0.674,0.858,0,-1.0,-87.681
