station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
AI.SMAI.04,-68.130,-67.106,155.880,1716.307,1762.046,1777.217,0.000,0.592,0.594,0.582,0.572,0.588
YT.SILY.,-77.133,-125.966,138.969,1621.362,1648.965,1657.582,1.000,0.556,0.561,0.492,0.514,0.547
IU.TRIS.10,-37.068,-12.315,160.950,1742.983,1794.948,1812.479,2.000,0.066,0.060,0.057,0.061,0.059
ER.ICE.,-77.552,167.283,130.285,1568.993,1589.016,1595.079,3.000,0.775,0.831,0.853,0.839,0.828
ZD.FN08.,-11.223,-75.504,124.247,1531.152,1546.633,1551.261,4.000,0.249,0.262,0.265,0.264,0.264
ZD.FS02.,-14.385,-73.961,127.719,1553.049,1571.071,1576.492,5.000,0.283,0.209,0.207,0.206,0.204
YT.FISH.,-78.928,162.565,131.455,1576.193,1597.161,1603.535,6.000,0.798,0.720,0.735,0.737,0.728
YT.MECK.,-75.281,-72.185,151.417,1692.152,1732.706,1745.930,7.000,0.670,0.703,0.744,0.743,0.712
ZD.FN13.,-12.042,-75.321,125.033,1536.143,1552.179,1556.979,8.000,0.414,0.391,0.392,0.389,0.391
YV.EURO.00,-22.344,40.340,120.315,1505.864,1518.735,1522.560,9.000,0.088,0.168,0.161,0.161,0.161
ZD.FS06.,-13.667,-73.312,127.461,1551.435,1569.260,1574.620,10.000,0.284,0.343,0.341,0.334,0.335
CX.PB11.,-19.761,-69.656,134.474,1594.570,1618.084,1625.312,11.000,0.260,0.234,0.214,0.212,0.212
6H.ORPN.,-24.477,31.390,127.356,1550.776,1568.521,1573.856,12.000,0.018,0.027,0.027,0.027,0.027
ZD.FM06.,-13.350,-74.463,126.586,1545.948,1563.117,1568.270,13.000,0.128,0.141,0.144,0.142,0.144
ZD.FM1A.,-14.120,-75.560,126.640,1546.288,1563.497,1568.663,14.000,0.275,0.301,0.315,0.310,0.303
YT.THUR.,-72.530,-97.561,145.177,1657.292,1691.071,1701.836,15.000,0.573,0.610,0.547,0.571,0.600
6H.ZINA.,-21.421,33.863,123.555,1526.738,1541.740,1546.220,16.000,0.162,0.065,0.057,0.059,0.060
ZD.FN12.,-11.803,-75.596,124.686,1533.941,1549.731,1554.455,17.000,0.536,0.482,0.481,0.488,0.485
6H.SUSS.,-19.422,33.292,122.369,1519.136,1533.337,1537.568,18.000,-0.029,0.180,0.190,0.190,0.191
6H.BANH.,-22.635,33.264,124.838,1534.903,1550.800,1555.557,19.000,0.056,0.046,0.123,0.121,0.120
GT.LBTB.00,-25.015,25.597,131.241,1574.878,1595.671,1601.987,20.000,0.139,0.113,0.125,0.123,0.122
YT.HOWD.,-77.529,-86.769,147.413,1669.927,1706.076,1717.686,21.000,0.662,0.676,0.666,0.674,0.674
ZD.FN01.,-11.908,-76.664,124.203,1530.867,1546.317,1550.936,22.000,0.702,0.705,0.699,0.700,0.700
ZJ.LEON.,-73.713,163.328,126.332,1544.352,1561.333,1566.428,23.000,0.640,0.656,0.687,0.678,0.665
YT.WAIS.,-79.418,-111.778,142.332,1640.986,1671.855,1681.600,24.000,0.548,0.619,0.606,0.610,0.618
ZJ.RKST.,-74.201,159.002,126.663,1546.433,1563.658,1568.830,25.000,0.501,0.593,0.527,0.556,0.583
CX.PB10.,-23.513,-70.554,137.042,1609.952,1635.763,1643.770,26.000,0.169,0.217,0.226,0.235,0.228
ZD.FN10.,-10.946,-75.228,124.161,1530.598,1546.019,1550.628,27.000,0.620,0.655,0.648,0.648,0.650
CX.PB08.,-20.141,-69.153,135.054,1598.064,1622.086,1629.487,28.000,0.183,0.088,0.106,0.110,0.105
IU.SBA.00,-77.849,166.757,130.551,1570.634,1590.869,1597.002,29.000,0.725,0.766,0.755,0.768,0.770
YT.UPTW.,-77.578,-109.037,142.652,1642.837,1674.027,1683.883,30.000,0.576,0.516,0.512,0.519,0.518
YT.DNTW.,-76.451,-107.777,142.797,1643.670,1675.005,1684.912,31.000,0.024,0.008,0.010,0.011,0.010
ZD.FM05.,-13.359,-74.857,126.384,1544.677,1561.695,1566.802,32.000,0.371,0.394,0.370,0.375,0.379
XK.B08TS.,-20.164,22.459,129.339,1563.136,1582.410,1588.230,33.000,0.016,0.049,0.048,0.048,0.048
ZJ.CASY.,-73.296,159.632,125.781,1540.876,1557.451,1562.420,34.000,0.131,0.128,0.130,0.130,0.128
CX.PSGCX.,-19.597,-70.123,134.091,1592.254,1615.437,1622.552,35.000,0.344,0.372,0.369,0.370,0.374
YT.SWEI.,-86.986,129.361,139.554,1624.802,1652.960,1661.767,36.000,0.683,0.637,0.613,0.625,0.637
C.GO06.,-39.584,-71.472,148.111,1673.836,1710.735,1722.618,37.000,0.412,0.531,0.549,0.544,0.542
C.GO07.,-43.114,-73.664,148.830,1677.855,1715.536,1727.703,38.000,0.549,0.673,0.705,0.707,0.699
ZJ.RAPH.,-73.597,162.288,126.174,1543.355,1560.218,1565.277,39.000,0.715,0.723,0.655,0.688,0.717
CX.MNMCX.,-19.131,-69.596,133.984,1591.609,1614.700,1621.785,40.000,0.146,0.216,0.189,0.188,0.184
XK.B14MH.,-18.295,21.792,128.233,1556.257,1574.673,1580.219,41.000,0.296,0.271,0.281,0.280,0.278
