station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
CR.MORI.,43.866,15.707,123.795,1535.950,1550.992,1555.481,0.000,0.598,0.578,0.603,0.592,0.590
LD.PAL.,41.006,-73.908,126.914,1555.709,1572.989,1578.174,1.000,0.380,0.343,0.355,0.366,0.358
IV.MA9.,41.770,12.659,126.791,1554.933,1572.121,1577.277,2.000,0.553,0.531,0.541,0.548,0.542
OE.KBA.,47.078,13.345,123.482,1533.953,1548.781,1553.204,3.000,0.524,0.524,0.528,0.515,0.530
ZC.PODR.,18.153,-71.271,137.927,1622.964,1649.434,1657.658,4.000,0.159,0.114,0.151,0.140,0.127
IV.IFIL.,38.564,14.575,127.118,1556.991,1574.423,1579.656,5.000,,,,,
CH.PANIX.,46.826,9.112,125.959,1549.695,1566.270,1571.235,6.000,0.633,0.587,0.607,0.603,0.611
MN.VSL.,39.496,9.378,130.114,1575.654,1595.400,1601.369,7.000,0.279,0.284,0.276,0.271,0.273
CH.MUO.,46.968,8.637,126.123,1550.732,1567.427,1572.429,8.000,0.467,0.497,0.504,0.498,0.503
CH.LIENZ.,47.294,9.492,125.465,1546.572,1562.789,1567.643,9.000,0.301,0.273,0.300,0.298,0.297
GR.AHRW.,50.541,7.076,124.568,1540.878,1556.457,1561.113,10.000,0.614,0.523,0.505,0.488,0.497
C1.MT18.,-33.463,-70.664,126.022,1550.092,1566.713,1571.692,11.000,,,,,
FR.SPIF.00,44.056,7.237,128.715,1566.972,1585.623,1591.240,12.000,0.305,0.283,0.299,0.308,0.305
C1.VA01.,-33.023,-71.648,125.625,1547.585,1563.918,1568.808,13.000,0.193,0.267,0.246,0.231,0.258
NL.ARCN.,51.501,6.194,124.313,1539.257,1554.658,1559.258,14.000,0.401,0.401,0.398,0.395,0.394
IV.MURB.,43.263,12.525,126.076,1550.430,1567.090,1572.081,15.000,0.623,0.627,0.652,0.645,0.654
C1.AC01.,-26.148,-70.599,130.262,1576.572,1596.436,1602.443,16.000,0.201,0.114,0.092,0.084,0.111
LU.ETLBK.,49.814,6.135,125.504,1546.820,1563.066,1567.928,17.000,0.493,0.451,0.442,0.433,0.435
