evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected
20100724_0535,6.23,123.56,556.4,LD.PAL.,41.006,-73.908,130.12,1582.718,1602.348,1608.276,0.0,2.22,0.611,0.634,0.633,0.621,0.619,0.2,0.3,0.942,0.932,-0.7,0.816,0.816,-0.4,0.822,0.816,-0.5,0.822,0.816,-0.7,0.817,0.816,-0.7,0.817,0.816,1
20100724_0535,6.23,123.56,556.4,NE.HNH.,43.705,-72.286,128.05,1569.84,1587.861,1593.276,1.0,1.058,0.357,0.349,0.35,0.353,0.351,0.2,0.4,0.515,0.559,-0.5,0.856,0.856,-0.2,0.848,0.856,-0.3,0.848,0.856,-0.5,0.849,0.856,-0.5,0.85,0.856,0
20100724_0535,6.23,123.56,556.4,NE.EMMW.,44.71,-67.458,128.105,1570.187,1588.252,1593.679,2.0,1.163,0.165,0.186,0.185,0.174,0.168,6.6,-4.4,0.636,-0.616,-1.8,0.496,0.496,-1.6,0.492,0.496,-1.6,0.493,0.496,-1.8,0.489,0.496,-1.8,0.489,0.496,0
20100724_0535,6.23,123.56,556.4,XH.ESP02.01,-29.456,-64.051,155.69,1730.27,1775.435,1790.369,3.0,4.76,0.593,0.645,0.661,0.687,0.686,1.3,1.4,0.954,0.955,0.7,0.885,0.885,0.9,0.952,0.885,0.8,0.947,0.885,0.5,0.934,0.885,0.5,0.935,0.885,1
20100724_0535,6.23,123.56,556.4,US.LONY.,44.62,-74.583,126.597,1560.725,1577.654,1582.726,4.0,4.443,0.498,0.545,0.541,0.53,0.531,-0.8,-0.8,0.745,0.717,-1.2,0.664,0.664,-1.0,0.671,0.664,-1.1,0.67,0.664,-1.1,0.667,0.664,-1.1,0.667,0.664,1
20100724_0535,6.23,123.56,556.4,TA.236A.,32.0,-96.531,125.976,1556.807,1573.281,1578.212,5.0,3.834,0.573,0.586,0.581,0.574,0.572,0.2,0.4,0.915,0.92,-0.4,0.871,0.871,-0.4,0.874,0.871,-0.5,0.871,0.871,-0.5,0.87,0.871,-0.5,0.869,0.871,1
20100724_0535,6.23,123.56,556.4,TA.Y39A.,33.938,-94.094,126.326,1559.019,1575.749,1580.759,6.0,2.325,0.569,0.601,0.587,0.575,0.574,-0.2,0.0,0.913,0.902,-0.8,0.663,0.663,-0.7,0.668,0.663,-0.9,0.668,0.663,-0.9,0.669,0.663,-1.0,0.669,0.663,1
20100724_0535,6.23,123.56,556.4,CX.PB11.,-19.761,-69.656,161.346,1760.055,1812.16,1829.721,7.0,2.386,0.557,0.486,0.507,0.516,0.506,1.2,1.0,0.668,0.669,1.1,0.721,0.721,0.7,0.66,0.721,0.6,0.682,0.721,0.4,0.702,0.721,0.7,0.68,0.721,1
20100724_0535,6.23,123.56,556.4,Z9.W10.,31.903,-83.894,133.752,1604.985,1627.6,1634.514,8.0,1.733,0.436,0.463,0.45,0.436,0.436,-7.0,-4.2,0.541,-0.23,-0.2,0.42,0.42,-0.4,0.42,0.42,-0.6,0.426,0.42,-0.8,0.425,0.42,-0.8,0.424,0.42,0
20100724_0535,6.23,123.56,556.4,TA.339A.,31.333,-94.556,127.707,1567.695,1585.455,1590.787,9.0,2.277,0.541,0.574,0.584,0.587,0.589,1.1,0.9,0.784,0.841,0.4,0.892,0.892,0.4,0.873,0.892,0.2,0.871,0.892,0.1,0.867,0.892,0.2,0.866,0.892,1
20100724_0535,6.23,123.56,556.4,XY.U65B.,-34.964,-71.789,147.973,1687.981,1724.404,1736.098,10.0,1.1,0.216,0.34,0.338,0.329,0.329,-3.8,4.1,0.572,-0.427,-4.1,0.499,0.499,-4.5,0.481,0.499,-4.6,0.48,0.499,-4.9,0.484,0.499,-4.9,0.482,0.499,0
20100724_0535,6.23,123.56,556.4,TA.134A.,32.573,-98.079,124.586,1547.995,1563.478,1568.101,11.0,5.776,0.747,0.667,0.672,0.674,0.677,0.7,0.8,0.79,0.824,0.3,0.865,0.865,0.1,0.855,0.865,-0.1,0.867,0.865,-0.1,0.876,0.865,-0.1,0.873,0.865,1
20100724_0535,6.23,123.56,556.4,GE.BOAB.,12.449,-85.666,145.462,1673.805,1707.561,1718.303,12.0,2.868,0.416,0.492,0.476,0.474,0.478,-0.8,-0.1,0.432,0.52,-0.6,0.671,0.671,-0.8,0.725,0.671,-1.4,0.67,0.671,-1.5,0.666,0.671,-1.4,0.672,0.671,0
20100724_0535,6.23,123.56,556.4,TA.637A.,29.439,-96.332,127.655,1567.368,1585.089,1590.409,13.0,4.111,0.578,0.543,0.532,0.523,0.526,0.5,0.7,0.821,0.812,0.1,0.954,0.954,0.0,0.984,0.954,-0.2,0.986,0.954,-0.2,0.985,0.954,-0.3,0.984,0.954,1
20100724_0535,6.23,123.56,556.4,TA.432A.,30.875,-99.794,124.382,1546.695,1562.036,1566.614,14.0,10.421,0.637,0.562,0.564,0.571,0.565,0.4,-3.5,0.687,-0.565,-0.4,0.566,0.566,-0.5,0.511,0.566,-0.6,0.507,0.566,-0.6,0.514,0.566,-0.6,0.512,0.566,1
20100724_0535,6.23,123.56,556.4,YM.V04.,-39.388,-71.941,144.019,1665.57,1697.832,1708.049,15.0,1.616,0.224,0.282,0.279,0.264,0.268,6.4,-1.8,0.686,0.647,-3.4,0.552,0.552,-3.4,0.584,0.552,-3.5,0.589,0.552,-3.9,0.597,0.552,-3.8,0.596,0.552,0
20100724_0535,6.23,123.56,556.4,IU.BBSR.10,32.371,-64.696,140.606,1645.808,1674.675,1683.713,16.0,2.11,0.248,0.267,0.271,0.285,0.286,1.1,1.6,0.883,0.877,0.7,0.731,0.731,1.0,0.743,0.731,1.0,0.751,0.731,0.7,0.78,0.731,0.6,0.776,0.731,0
20100724_0535,6.23,123.56,556.4,TA.ABTX.,32.624,-99.643,123.49,1540.999,1555.726,1560.115,17.0,7.466,0.643,0.638,0.632,0.632,0.636,-0.8,-0.5,0.903,0.926,-1.5,0.648,0.648,-1.1,0.747,0.648,-1.2,0.742,0.648,-1.2,0.734,0.648,-1.1,0.736,0.648,1
20100724_0535,6.23,123.56,556.4,TA.239A.,32.018,-94.471,127.328,1565.323,1582.798,1588.041,18.0,3.644,0.625,0.688,0.691,0.695,0.688,-0.1,-0.1,0.887,0.893,-0.5,0.76,0.76,-0.5,0.725,0.76,-0.7,0.716,0.76,-0.8,0.713,0.76,-0.8,0.714,0.76,1
20100724_0535,6.23,123.56,556.4,IU.WVT.,36.13,-87.83,128.42,1572.15,1590.455,1595.959,19.0,3.149,0.669,0.65,0.652,0.657,0.654,0.5,0.7,0.752,0.811,0.2,0.831,0.831,0.2,0.823,0.831,0.1,0.823,0.831,0.0,0.823,0.831,0.0,0.823,0.831,1
20100724_0535,6.23,123.56,556.4,Z9.W15B.,32.138,-83.898,133.568,1603.862,1626.321,1633.182,20.0,3.055,0.546,0.578,0.583,0.578,0.575,-0.6,0.0,0.581,0.54,-0.3,0.555,0.555,-0.4,0.602,0.555,-0.5,0.597,0.555,-0.8,0.573,0.555,-0.9,0.573,0.555,1
20100724_0535,6.23,123.56,556.4,LD.FOR.,40.86,-73.885,130.26,1583.587,1603.329,1609.292,21.0,2.727,0.546,0.564,0.563,0.557,0.552,-0.1,0.4,0.886,0.824,-1.2,0.629,0.629,-0.8,0.633,0.629,-0.9,0.634,0.629,-1.1,0.642,0.629,-1.2,0.644,0.629,1
20100724_0535,6.23,123.56,556.4,TA.R37A.,38.313,-94.829,122.963,1537.617,1551.987,1556.266,22.0,5.582,0.489,0.465,0.473,0.485,0.483,0.3,0.4,0.921,0.964,-0.3,0.677,0.677,0.2,0.775,0.677,0.0,0.784,0.677,0.0,0.8,0.677,0.1,0.799,0.677,1
20100724_0535,6.23,123.56,556.4,CX.PSGCX.,-19.597,-70.123,161.143,1759.006,1810.855,1828.318,23.0,3.613,0.365,0.51,0.5,0.495,0.506,1.0,0.6,0.491,0.483,0.4,0.331,0.331,-0.6,0.358,0.331,-0.6,0.377,0.331,-0.6,0.388,0.331,-0.6,0.373,0.331,0
20100724_0535,6.23,123.56,556.4,TA.V30A.,35.762,-100.689,120.957,1524.679,1537.741,1541.62,24.0,2.59,0.509,0.472,0.463,0.464,0.47,-0.6,-4.6,0.8,-0.465,-0.6,0.572,0.572,-1.2,0.557,0.572,-1.4,0.573,0.572,-1.4,0.574,0.572,-1.3,0.578,0.572,1
20100724_0535,6.23,123.56,556.4,TA.933A.,27.613,-99.275,126.559,1560.49,1577.391,1582.455,25.0,3.932,0.436,0.501,0.521,0.532,0.524,-0.5,0.1,0.516,0.499,1.6,0.571,0.571,1.6,0.529,0.571,1.3,0.529,0.571,1.4,0.529,0.571,1.4,0.527,0.571,1
20100724_0535,6.23,123.56,556.4,TA.MSTX.,33.97,-102.772,120.572,1522.179,1534.997,1538.801,26.0,4.72,0.471,0.406,0.396,0.401,0.4,-2.5,-2.6,0.461,0.305,2.7,0.624,0.624,2.8,0.555,0.624,2.7,0.558,0.624,2.9,0.538,0.624,2.8,0.548,0.624,0
20100724_0535,6.23,123.56,556.4,YZ.POPE.,10.063,-85.263,146.99,1682.45,1717.82,1729.135,27.0,5.845,0.748,0.537,0.535,0.536,0.542,0.3,0.5,0.91,0.909,-0.1,0.909,0.909,-0.2,0.849,0.909,-0.9,0.897,0.909,-0.9,0.899,0.909,-0.7,0.889,0.909,1
20100724_0535,6.23,123.56,556.4,PE.PSUB.,39.927,-75.451,130.625,1585.837,1605.869,1611.927,28.0,1.279,0.424,0.389,0.391,0.396,0.389,-1.1,-0.8,0.918,0.898,-1.8,0.57,0.57,-1.7,0.564,0.57,-1.8,0.565,0.57,-2.0,0.569,0.57,-2.0,0.569,0.57,0
20100724_0535,6.23,123.56,556.4,TA.T35A.,36.916,-96.512,122.89,1537.148,1551.47,1555.734,29.0,3.373,0.615,0.488,0.495,0.502,0.501,0.4,0.7,0.883,0.877,0.1,0.713,0.713,0.7,0.819,0.713,0.6,0.817,0.713,0.6,0.811,0.713,0.7,0.814,0.713,1
20100724_0535,6.23,123.56,556.4,TA.N34A.,40.838,-96.501,120.309,1520.473,1533.127,1536.881,30.0,4.876,0.524,0.53,0.523,0.52,0.518,-0.4,-4.5,0.824,-0.388,4.5,0.57,0.57,-0.9,0.52,0.57,-1.0,0.53,0.57,-0.9,0.53,0.57,-1.0,0.527,0.57,1
20100724_0535,6.23,123.56,556.4,NM.PBMO.,36.778,-90.43,126.527,1560.289,1577.167,1582.224,31.0,3.223,0.6,0.677,0.681,0.681,0.682,0.8,0.9,0.975,0.961,0.2,0.973,0.973,0.4,0.983,0.973,0.3,0.984,0.973,0.2,0.986,0.973,0.2,0.986,0.973,1
20100724_0535,6.23,123.56,556.4,CX.PB09.,-21.796,-69.242,160.115,1753.661,1804.216,1821.186,32.0,2.388,0.479,0.476,0.495,0.508,0.502,1.1,0.9,0.889,0.91,0.7,0.913,0.913,0.7,0.899,0.913,0.5,0.9,0.913,0.2,0.901,0.913,0.5,0.904,0.913,1
20100724_0535,6.23,123.56,556.4,US.TZTN.00,36.544,-83.549,130.263,1583.604,1603.348,1609.312,33.0,3.75,0.592,0.611,0.611,0.616,0.612,0.5,0.6,0.847,0.861,-0.4,0.953,0.953,-0.1,0.942,0.953,-0.1,0.942,0.953,-0.3,0.941,0.953,-0.3,0.941,0.953,1
20100724_0535,6.23,123.56,556.4,NE.BRYW.,41.917,-71.538,129.918,1581.467,1600.937,1606.813,34.0,2.45,0.519,0.534,0.532,0.522,0.526,0.7,-3.2,0.648,-0.594,-0.4,0.849,0.849,-0.2,0.855,0.849,-0.3,0.857,0.849,-0.5,0.86,0.849,-0.4,0.861,0.849,1
20100724_0535,6.23,123.56,556.4,TA.W38A.,35.07,-94.518,125.317,1552.637,1568.636,1573.419,35.0,5.521,0.508,0.445,0.456,0.462,0.459,1.3,1.7,0.69,0.748,1.3,0.815,0.815,1.3,0.795,0.815,1.2,0.784,0.815,1.1,0.781,0.815,1.1,0.782,0.815,1
20100724_0535,6.23,123.56,556.4,TA.Z38A.,33.26,-94.985,126.201,1558.231,1574.87,1579.852,36.0,1.542,0.308,0.332,0.321,0.31,0.311,5.0,5.1,0.66,0.656,4.6,0.713,0.713,4.6,0.727,0.713,4.5,0.73,0.713,4.4,0.732,0.713,4.4,0.732,0.713,0
20100724_0535,6.23,123.56,556.4,YZ.MANS.,10.099,-85.381,146.871,1681.781,1717.024,1728.295,37.0,8.92,0.715,0.418,0.458,0.463,0.448,1.7,1.9,0.806,0.789,1.2,0.898,0.898,1.2,0.784,0.898,0.5,0.819,0.898,0.5,0.825,0.898,0.6,0.814,0.898,1
20100724_0535,6.23,123.56,556.4,TA.U29A.,36.452,-101.27,120.172,1519.583,1532.152,1535.88,38.0,4.425,0.383,0.45,0.445,0.457,0.452,-0.2,3.0,0.584,-0.527,-0.9,0.533,0.533,-0.8,0.546,0.533,-0.9,0.579,0.533,-0.8,0.584,0.533,-0.8,0.58,0.533,1
20100724_0535,6.23,123.56,556.4,US.NATX.,31.76,-94.661,127.368,1565.57,1583.074,1588.326,39.0,0.346,0.031,0.026,0.028,0.031,0.03,9.6,-3.8,0.546,-0.99,-8.8,0.506,0.506,-8.8,0.489,0.506,-9.0,0.483,0.506,-9.0,0.479,0.506,-9.1,0.481,0.506,0
20100724_0535,6.23,123.56,556.4,NE.WES.,42.385,-71.322,129.531,1579.065,1598.23,1604.009,40.0,2.046,0.466,0.458,0.458,0.456,0.456,0.6,1.1,0.915,0.933,0.1,0.604,0.604,0.3,0.6,0.604,0.2,0.599,0.604,0.1,0.592,0.604,0.0,0.594,0.604,1
20100724_0535,6.23,123.56,556.4,LD.NPNY.,41.755,-74.144,129.361,1578.015,1597.048,1602.784,41.0,3.241,0.629,0.629,0.63,0.624,0.625,-0.3,0.7,0.822,0.678,-0.5,0.711,0.711,-0.2,0.721,0.711,-0.3,0.72,0.711,-0.5,0.708,0.711,-0.5,0.71,0.711,1
20100724_0535,6.23,123.56,556.4,TA.Y38A.,33.928,-94.731,125.932,1556.532,1572.974,1577.895,42.0,2.442,0.273,0.264,0.265,0.264,0.262,0.8,0.7,0.898,0.893,0.1,0.677,0.677,0.2,0.707,0.677,0.1,0.702,0.677,0.0,0.702,0.677,0.0,0.7,0.677,0
20100724_0535,6.23,123.56,556.4,XE.GS06.,-0.68,-91.204,144.874,1670.455,1703.598,1714.124,43.0,1.176,0.375,0.343,0.343,0.368,0.348,1.2,-4.3,0.677,0.481,-5.1,0.685,0.685,-5.0,0.7,0.685,0.0,0.663,0.685,0.4,0.66,0.685,-5.2,0.69,0.685,0
20100724_0535,6.23,123.56,556.4,TA.539A.,30.108,-94.724,128.36,1571.777,1590.036,1595.525,44.0,1.671,0.479,0.473,0.484,0.496,0.487,0.9,0.8,0.836,0.879,0.1,0.951,0.951,0.0,0.962,0.951,-0.2,0.967,0.951,-0.2,0.968,0.951,-0.2,0.967,0.951,0
20100724_0535,6.23,123.56,556.4,TA.530A.,30.149,-101.338,123.671,1542.153,1557.004,1561.43,45.0,7.709,0.673,0.64,0.631,0.631,0.63,-0.3,-0.5,0.888,0.846,-0.9,0.759,0.759,-0.7,0.764,0.759,-0.9,0.775,0.759,-0.8,0.781,0.759,-0.8,0.777,0.759,1
20100724_0535,6.23,123.56,556.4,TA.T30A.,37.053,-100.527,120.296,1520.39,1533.036,1536.787,46.0,3.847,0.612,0.59,0.584,0.584,0.587,0.0,0.1,0.859,0.874,-0.3,0.704,0.704,-0.3,0.763,0.704,-0.4,0.777,0.704,-0.3,0.785,0.704,-0.3,0.789,0.704,1
20100724_0535,6.23,123.56,556.4,CN.LMQ.,47.549,-70.326,124.841,1549.616,1565.278,1569.956,47.0,2.274,0.2,0.168,0.173,0.184,0.187,2.8,-4.3,0.614,0.719,-4.8,0.757,0.757,-4.6,0.772,0.757,-4.6,0.769,0.757,-4.6,0.762,0.757,-4.7,0.764,0.757,0
