station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
LD.PAL.,41.006,-73.908,130.120,1582.718,1602.348,1608.276,0.000,0.611,0.634,0.633,0.621,0.619
NE.HNH.,43.705,-72.286,128.050,1569.840,1587.861,1593.276,1.000,0.357,0.349,0.350,0.353,0.351
NE.EMMW.,44.710,-67.458,128.105,1570.187,1588.252,1593.679,2.000,0.165,0.186,0.185,0.174,0.168
XH.ESP02.01,-29.456,-64.051,155.690,1730.270,1775.435,1790.369,3.000,0.593,0.645,0.661,0.687,0.686
US.LONY.,44.620,-74.583,126.597,1560.725,1577.654,1582.726,4.000,0.498,0.545,0.541,0.530,0.531
TA.236A.,32.000,-96.531,125.976,1556.807,1573.281,1578.212,5.000,0.573,0.586,0.581,0.574,0.572
TA.Y39A.,33.938,-94.094,126.326,1559.019,1575.749,1580.759,6.000,0.569,0.601,0.587,0.575,0.574
CX.PB11.,-19.761,-69.656,161.346,1760.055,1812.160,1829.721,7.000,0.557,0.486,0.507,0.516,0.506
Z9.W10.,31.903,-83.894,133.752,1604.985,1627.600,1634.514,8.000,0.436,0.463,0.450,0.436,0.436
TA.339A.,31.333,-94.556,127.707,1567.695,1585.455,1590.787,9.000,0.541,0.574,0.584,0.587,0.589
XY.U65B.,-34.964,-71.789,147.973,1687.981,1724.404,1736.098,10.000,0.216,0.340,0.338,0.329,0.329
TA.134A.,32.573,-98.079,124.586,1547.995,1563.478,1568.101,11.000,0.747,0.667,0.672,0.674,0.677
GE.BOAB.,12.449,-85.666,145.462,1673.805,1707.561,1718.303,12.000,0.416,0.492,0.476,0.474,0.478
TA.637A.,29.439,-96.332,127.655,1567.368,1585.089,1590.409,13.000,0.578,0.543,0.532,0.523,0.526
TA.432A.,30.875,-99.794,124.382,1546.695,1562.036,1566.614,14.000,0.637,0.562,0.564,0.571,0.565
YM.V04.,-39.388,-71.941,144.019,1665.570,1697.832,1708.049,15.000,0.224,0.282,0.279,0.264,0.268
IU.BBSR.10,32.371,-64.696,140.606,1645.808,1674.675,1683.713,16.000,0.248,0.267,0.271,0.285,0.286
TA.ABTX.,32.624,-99.643,123.490,1540.999,1555.726,1560.115,17.000,0.643,0.638,0.632,0.632,0.636
TA.239A.,32.018,-94.471,127.328,1565.323,1582.798,1588.041,18.000,0.625,0.688,0.691,0.695,0.688
IU.WVT.,36.130,-87.830,128.420,1572.150,1590.455,1595.959,19.000,0.669,0.650,0.652,0.657,0.654
Z9.W15B.,32.138,-83.898,133.568,1603.862,1626.321,1633.182,20.000,0.546,0.578,0.583,0.578,0.575
LD.FOR.,40.860,-73.885,130.260,1583.587,1603.329,1609.292,21.000,0.546,0.564,0.563,0.557,0.552
TA.R37A.,38.313,-94.829,122.963,1537.617,1551.987,1556.266,22.000,0.489,0.465,0.473,0.485,0.483
CX.PSGCX.,-19.597,-70.123,161.143,1759.006,1810.855,1828.318,23.000,0.365,0.510,0.500,0.495,0.506
TA.V30A.,35.762,-100.689,120.957,1524.679,1537.741,1541.620,24.000,0.509,0.472,0.463,0.464,0.470
TA.933A.,27.613,-99.275,126.559,1560.490,1577.391,1582.455,25.000,0.436,0.501,0.521,0.532,0.524
TA.MSTX.,33.970,-102.772,120.572,1522.179,1534.997,1538.801,26.000,0.471,0.406,0.396,0.401,0.400
YZ.POPE.,10.063,-85.263,146.990,1682.450,1717.820,1729.135,27.000,0.748,0.537,0.535,0.536,0.542
PE.PSUB.,39.927,-75.451,130.625,1585.837,1605.869,1611.927,28.000,0.424,0.389,0.391,0.396,0.389
TA.T35A.,36.916,-96.512,122.890,1537.148,1551.470,1555.734,29.000,0.615,0.488,0.495,0.502,0.501
TA.N34A.,40.838,-96.501,120.309,1520.473,1533.127,1536.881,30.000,0.524,0.530,0.523,0.520,0.518
NM.PBMO.,36.778,-90.430,126.527,1560.289,1577.167,1582.224,31.000,0.600,0.677,0.681,0.681,0.682
CX.PB09.,-21.796,-69.242,160.115,1753.661,1804.216,1821.186,32.000,0.479,0.476,0.495,0.508,0.502
US.TZTN.00,36.544,-83.549,130.263,1583.604,1603.348,1609.312,33.000,0.592,0.611,0.611,0.616,0.612
NE.BRYW.,41.917,-71.538,129.918,1581.467,1600.937,1606.813,34.000,0.519,0.534,0.532,0.522,0.526
TA.W38A.,35.070,-94.518,125.317,1552.637,1568.636,1573.419,35.000,0.508,0.445,0.456,0.462,0.459
TA.Z38A.,33.260,-94.985,126.201,1558.231,1574.870,1579.852,36.000,0.308,0.332,0.321,0.310,0.311
YZ.MANS.,10.099,-85.381,146.871,1681.781,1717.024,1728.295,37.000,0.715,0.418,0.458,0.463,0.448
TA.U29A.,36.452,-101.270,120.172,1519.583,1532.152,1535.880,38.000,0.383,0.450,0.445,0.457,0.452
US.NATX.,31.760,-94.661,127.368,1565.570,1583.074,1588.326,39.000,0.031,0.026,0.028,0.031,0.030
NE.WES.,42.385,-71.322,129.531,1579.065,1598.230,1604.009,40.000,0.466,0.458,0.458,0.456,0.456
