evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20100724_0535,6.230,123.560,556.400,LD.PAL.,41.006,-73.908,130.120,1582.718,1602.348,1608.276,0.000,2.220,0.611,0.634,0.633,0.621,0.619,0.200,0.300,0.942,0.932,-0.700,0.816,0.816,-0.400,0.822,0.816,-0.500,0.822,0.816,-0.700,0.817,0.816,-0.700,0.817,0.816
20100724_0535,6.230,123.560,556.400,NE.HNH.,43.705,-72.286,128.050,1569.840,1587.861,1593.276,1.000,1.058,0.357,0.349,0.350,0.353,0.351,0.200,0.400,0.515,0.559,-0.500,0.856,0.856,-0.200,0.848,0.856,-0.300,0.848,0.856,-0.500,0.849,0.856,-0.500,0.850,0.856
20100724_0535,6.230,123.560,556.400,NE.EMMW.,44.710,-67.458,128.105,1570.187,1588.252,1593.679,2.000,1.163,0.165,0.186,0.185,0.174,0.168,6.600,-4.400,0.636,-0.616,-1.800,0.496,0.496,-1.600,0.492,0.496,-1.600,0.493,0.496,-1.800,0.489,0.496,-1.800,0.489,0.496
20100724_0535,6.230,123.560,556.400,XH.ESP02.01,-29.456,-64.051,155.690,1730.270,1775.435,1790.369,3.000,4.760,0.593,0.645,0.661,0.687,0.686,1.300,1.400,0.954,0.955,0.700,0.885,0.885,0.900,0.952,0.885,0.800,0.947,0.885,0.500,0.934,0.885,0.500,0.935,0.885
20100724_0535,6.230,123.560,556.400,US.LONY.,44.620,-74.583,126.597,1560.725,1577.654,1582.726,4.000,4.443,0.498,0.545,0.541,0.530,0.531,-0.800,-0.800,0.745,0.717,-1.200,0.664,0.664,-1.000,0.671,0.664,-1.100,0.670,0.664,-1.100,0.667,0.664,-1.100,0.667,0.664
20100724_0535,6.230,123.560,556.400,TA.236A.,32.000,-96.531,125.976,1556.807,1573.281,1578.212,5.000,3.834,0.573,0.586,0.581,0.574,0.572,0.200,0.400,0.915,0.920,-0.400,0.871,0.871,-0.400,0.874,0.871,-0.500,0.871,0.871,-0.500,0.870,0.871,-0.500,0.869,0.871
20100724_0535,6.230,123.560,556.400,TA.Y39A.,33.938,-94.094,126.326,1559.019,1575.749,1580.759,6.000,2.325,0.569,0.601,0.587,0.575,0.574,-0.200,0.000,0.913,0.902,-0.800,0.663,0.663,-0.700,0.668,0.663,-0.900,0.668,0.663,-0.900,0.669,0.663,-1.000,0.669,0.663
20100724_0535,6.230,123.560,556.400,CX.PB11.,-19.761,-69.656,161.346,1760.055,1812.160,1829.721,7.000,2.386,0.557,0.486,0.507,0.516,0.506,1.200,1.000,0.668,0.669,1.100,0.721,0.721,0.700,0.660,0.721,0.600,0.682,0.721,0.400,0.702,0.721,0.700,0.680,0.721
20100724_0535,6.230,123.560,556.400,Z9.W10.,31.903,-83.894,133.752,1604.985,1627.600,1634.514,8.000,1.733,0.436,0.463,0.450,0.436,0.436,-7.000,-4.200,0.541,-0.230,-0.200,0.420,0.420,-0.400,0.420,0.420,-0.600,0.426,0.420,-0.800,0.425,0.420,-0.800,0.424,0.420
20100724_0535,6.230,123.560,556.400,TA.339A.,31.333,-94.556,127.707,1567.695,1585.455,1590.787,9.000,2.277,0.541,0.574,0.584,0.587,0.589,1.100,0.900,0.784,0.841,0.400,0.892,0.892,0.400,0.873,0.892,0.200,0.871,0.892,0.100,0.867,0.892,0.200,0.866,0.892
20100724_0535,6.230,123.560,556.400,XY.U65B.,-34.964,-71.789,147.973,1687.981,1724.404,1736.098,10.000,1.100,0.216,0.340,0.338,0.329,0.329,-3.800,4.100,0.572,-0.427,-4.100,0.499,0.499,-4.500,0.481,0.499,-4.600,0.480,0.499,-4.900,0.484,0.499,-4.900,0.482,0.499
20100724_0535,6.230,123.560,556.400,TA.134A.,32.573,-98.079,124.586,1547.995,1563.478,1568.101,11.000,5.776,0.747,0.667,0.672,0.674,0.677,0.700,0.800,0.790,0.824,0.300,0.865,0.865,0.100,0.855,0.865,-0.100,0.867,0.865,-0.100,0.876,0.865,-0.100,0.873,0.865
20100724_0535,6.230,123.560,556.400,GE.BOAB.,12.449,-85.666,145.462,1673.805,1707.561,1718.303,12.000,2.868,0.416,0.492,0.476,0.474,0.478,-0.800,-0.100,0.432,0.520,-0.600,0.671,0.671,-0.800,0.725,0.671,-1.400,0.670,0.671,-1.500,0.666,0.671,-1.400,0.672,0.671
20100724_0535,6.230,123.560,556.400,TA.637A.,29.439,-96.332,127.655,1567.368,1585.089,1590.409,13.000,4.111,0.578,0.543,0.532,0.523,0.526,0.500,0.700,0.821,0.812,0.100,0.954,0.954,0.000,0.984,0.954,-0.200,0.986,0.954,-0.200,0.985,0.954,-0.300,0.984,0.954
20100724_0535,6.230,123.560,556.400,TA.432A.,30.875,-99.794,124.382,1546.695,1562.036,1566.614,14.000,10.421,0.637,0.562,0.564,0.571,0.565,0.400,-3.500,0.687,-0.565,-0.400,0.566,0.566,-0.500,0.511,0.566,-0.600,0.507,0.566,-0.600,0.514,0.566,-0.600,0.512,0.566
20100724_0535,6.230,123.560,556.400,YM.V04.,-39.388,-71.941,144.019,1665.570,1697.832,1708.049,15.000,1.616,0.224,0.282,0.279,0.264,0.268,6.400,-1.800,0.686,0.647,-3.400,0.552,0.552,-3.400,0.584,0.552,-3.500,0.589,0.552,-3.900,0.597,0.552,-3.800,0.596,0.552
20100724_0535,6.230,123.560,556.400,IU.BBSR.10,32.371,-64.696,140.606,1645.808,1674.675,1683.713,16.000,2.110,0.248,0.267,0.271,0.285,0.286,1.100,1.600,0.883,0.877,0.700,0.731,0.731,1.000,0.743,0.731,1.000,0.751,0.731,0.700,0.780,0.731,0.600,0.776,0.731
20100724_0535,6.230,123.560,556.400,TA.ABTX.,32.624,-99.643,123.490,1540.999,1555.726,1560.115,17.000,7.466,0.643,0.638,0.632,0.632,0.636,-0.800,-0.500,0.903,0.926,-1.500,0.648,0.648,-1.100,0.747,0.648,-1.200,0.742,0.648,-1.200,0.734,0.648,-1.100,0.736,0.648
20100724_0535,6.230,123.560,556.400,TA.239A.,32.018,-94.471,127.328,1565.323,1582.798,1588.041,18.000,3.644,0.625,0.688,0.691,0.695,0.688,-0.100,-0.100,0.887,0.893,-0.500,0.760,0.760,-0.500,0.725,0.760,-0.700,0.716,0.760,-0.800,0.713,0.760,-0.800,0.714,0.760
20100724_0535,6.230,123.560,556.400,IU.WVT.,36.130,-87.830,128.420,1572.150,1590.455,1595.959,19.000,3.149,0.669,0.650,0.652,0.657,0.654,0.500,0.700,0.752,0.811,0.200,0.831,0.831,0.200,0.823,0.831,0.100,0.823,0.831,0.000,0.823,0.831,0.000,0.823,0.831
20100724_0535,6.230,123.560,556.400,Z9.W15B.,32.138,-83.898,133.568,1603.862,1626.321,1633.182,20.000,3.055,0.546,0.578,0.583,0.578,0.575,-0.600,0.000,0.581,0.540,-0.300,0.555,0.555,-0.400,0.602,0.555,-0.500,0.597,0.555,-0.800,0.573,0.555,-0.900,0.573,0.555
20100724_0535,6.230,123.560,556.400,LD.FOR.,40.860,-73.885,130.260,1583.587,1603.329,1609.292,21.000,2.727,0.546,0.564,0.563,0.557,0.552,-0.100,0.400,0.886,0.824,-1.200,0.629,0.629,-0.800,0.633,0.629,-0.900,0.634,0.629,-1.100,0.642,0.629,-1.200,0.644,0.629
20100724_0535,6.230,123.560,556.400,TA.R37A.,38.313,-94.829,122.963,1537.617,1551.987,1556.266,22.000,5.582,0.489,0.465,0.473,0.485,0.483,0.300,0.400,0.921,0.964,-0.300,0.677,0.677,0.200,0.775,0.677,0.000,0.784,0.677,0.000,0.800,0.677,0.100,0.799,0.677
20100724_0535,6.230,123.560,556.400,CX.PSGCX.,-19.597,-70.123,161.143,1759.006,1810.855,1828.318,23.000,3.613,0.365,0.510,0.500,0.495,0.506,1.000,0.600,0.491,0.483,0.400,0.331,0.331,-0.600,0.358,0.331,-0.600,0.377,0.331,-0.600,0.388,0.331,-0.600,0.373,0.331
20100724_0535,6.230,123.560,556.400,TA.V30A.,35.762,-100.689,120.957,1524.679,1537.741,1541.620,24.000,2.590,0.509,0.472,0.463,0.464,0.470,-0.600,-4.600,0.800,-0.465,-0.600,0.572,0.572,-1.200,0.557,0.572,-1.400,0.573,0.572,-1.400,0.574,0.572,-1.300,0.578,0.572
20100724_0535,6.230,123.560,556.400,TA.933A.,27.613,-99.275,126.559,1560.490,1577.391,1582.455,25.000,3.932,0.436,0.501,0.521,0.532,0.524,-0.500,0.100,0.516,0.499,1.600,0.571,0.571,1.600,0.529,0.571,1.300,0.529,0.571,1.400,0.529,0.571,1.400,0.527,0.571
20100724_0535,6.230,123.560,556.400,TA.MSTX.,33.970,-102.772,120.572,1522.179,1534.997,1538.801,26.000,4.720,0.471,0.406,0.396,0.401,0.400,-2.500,-2.600,0.461,0.305,2.700,0.624,0.624,2.800,0.555,0.624,2.700,0.558,0.624,2.900,0.538,0.624,2.800,0.548,0.624
20100724_0535,6.230,123.560,556.400,YZ.POPE.,10.063,-85.263,146.990,1682.450,1717.820,1729.135,27.000,5.845,0.748,0.537,0.535,0.536,0.542,0.300,0.500,0.910,0.909,-0.100,0.909,0.909,-0.200,0.849,0.909,-0.900,0.897,0.909,-0.900,0.899,0.909,-0.700,0.889,0.909
20100724_0535,6.230,123.560,556.400,PE.PSUB.,39.927,-75.451,130.625,1585.837,1605.869,1611.927,28.000,1.279,0.424,0.389,0.391,0.396,0.389,-1.100,-0.800,0.918,0.898,-1.800,0.570,0.570,-1.700,0.564,0.570,-1.800,0.565,0.570,-2.000,0.569,0.570,-2.000,0.569,0.570
20100724_0535,6.230,123.560,556.400,TA.T35A.,36.916,-96.512,122.890,1537.148,1551.470,1555.734,29.000,3.373,0.615,0.488,0.495,0.502,0.501,0.400,0.700,0.883,0.877,0.100,0.713,0.713,0.700,0.819,0.713,0.600,0.817,0.713,0.600,0.811,0.713,0.700,0.814,0.713
20100724_0535,6.230,123.560,556.400,TA.N34A.,40.838,-96.501,120.309,1520.473,1533.127,1536.881,30.000,4.876,0.524,0.530,0.523,0.520,0.518,-0.400,-4.500,0.824,-0.388,4.500,0.570,0.570,-0.900,0.520,0.570,-1.000,0.530,0.570,-0.900,0.530,0.570,-1.000,0.527,0.570
20100724_0535,6.230,123.560,556.400,NM.PBMO.,36.778,-90.430,126.527,1560.289,1577.167,1582.224,31.000,3.223,0.600,0.677,0.681,0.681,0.682,0.800,0.900,0.975,0.961,0.200,0.973,0.973,0.400,0.983,0.973,0.300,0.984,0.973,0.200,0.986,0.973,0.200,0.986,0.973
20100724_0535,6.230,123.560,556.400,CX.PB09.,-21.796,-69.242,160.115,1753.661,1804.216,1821.186,32.000,2.388,0.479,0.476,0.495,0.508,0.502,1.100,0.900,0.889,0.910,0.700,0.913,0.913,0.700,0.899,0.913,0.500,0.900,0.913,0.200,0.901,0.913,0.500,0.904,0.913
20100724_0535,6.230,123.560,556.400,US.TZTN.00,36.544,-83.549,130.263,1583.604,1603.348,1609.312,33.000,3.750,0.592,0.611,0.611,0.616,0.612,0.500,0.600,0.847,0.861,-0.400,0.953,0.953,-0.100,0.942,0.953,-0.100,0.942,0.953,-0.300,0.941,0.953,-0.300,0.941,0.953
20100724_0535,6.230,123.560,556.400,NE.BRYW.,41.917,-71.538,129.918,1581.467,1600.937,1606.813,34.000,2.450,0.519,0.534,0.532,0.522,0.526,0.700,-3.200,0.648,-0.594,-0.400,0.849,0.849,-0.200,0.855,0.849,-0.300,0.857,0.849,-0.500,0.860,0.849,-0.400,0.861,0.849
20100724_0535,6.230,123.560,556.400,TA.W38A.,35.070,-94.518,125.317,1552.637,1568.636,1573.419,35.000,5.521,0.508,0.445,0.456,0.462,0.459,1.300,1.700,0.690,0.748,1.300,0.815,0.815,1.300,0.795,0.815,1.200,0.784,0.815,1.100,0.781,0.815,1.100,0.782,0.815
20100724_0535,6.230,123.560,556.400,TA.Z38A.,33.260,-94.985,126.201,1558.231,1574.870,1579.852,36.000,1.542,0.308,0.332,0.321,0.310,0.311,5.000,5.100,0.660,0.656,4.600,0.713,0.713,4.600,0.727,0.713,4.500,0.730,0.713,4.400,0.732,0.713,4.400,0.732,0.713
20100724_0535,6.230,123.560,556.400,YZ.MANS.,10.099,-85.381,146.871,1681.781,1717.024,1728.295,37.000,8.920,0.715,0.418,0.458,0.463,0.448,1.700,1.900,0.806,0.789,1.200,0.898,0.898,1.200,0.784,0.898,0.500,0.819,0.898,0.500,0.825,0.898,0.600,0.814,0.898
20100724_0535,6.230,123.560,556.400,TA.U29A.,36.452,-101.270,120.172,1519.583,1532.152,1535.880,38.000,4.425,0.383,0.450,0.445,0.457,0.452,-0.200,3.000,0.584,-0.527,-0.900,0.533,0.533,-0.800,0.546,0.533,-0.900,0.579,0.533,-0.800,0.584,0.533,-0.800,0.580,0.533
20100724_0535,6.230,123.560,556.400,US.NATX.,31.760,-94.661,127.368,1565.570,1583.074,1588.326,39.000,0.346,0.031,0.026,0.028,0.031,0.030,9.600,-3.800,0.546,-0.990,-8.800,0.506,0.506,-8.800,0.489,0.506,-9.000,0.483,0.506,-9.000,0.479,0.506,-9.100,0.481,0.506
