group,ntr,evla,evlo,evdp,stla,stlo,gcarc,gcarc_std,residualp,residualp_std,residualc,residualc_std,residual1,residual1_std,residual2,residual2_std,residual3,residual3_std,residual4,residual4_std,residual5,residual5_std
0.0,218.0,6.23,123.56,556.4,34.942,-94.927,124.639,3.145,0.239,1.28,0.134,0.882,0.001,1.277,-0.116,1.04,-0.24,1.124,-0.264,1.117,-0.256,1.12
1.0,7.0,6.23,123.56,556.4,-32.135,-66.456,152.401,2.457,0.614,2.319,0.957,0.85,0.257,0.981,0.457,0.789,0.343,0.821,-0.014,0.916,-0.014,0.881
2.0,11.0,6.23,123.56,556.4,-20.988,-69.561,160.495,1.817,1.309,0.997,0.864,0.958,1.055,0.751,0.873,0.74,0.664,0.762,0.436,0.73,0.673,0.725
3.0,10.0,6.23,123.56,556.4,10.042,-85.438,146.848,0.248,0.62,1.867,0.46,0.571,-0.04,0.496,-0.04,0.476,-0.69,0.503,-0.71,0.517,-0.6,0.498
