station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
PS.PATS.,6.837,158.315,135.749,1611.872,1636.319,1643.859,0.000,0.470,0.445,0.455,0.457,0.448
HB.ZSH.00,32.250,110.217,172.258,1809.402,1876.148,1899.551,1.000,0.257,-0.117,-0.105,-0.103,-0.113
YN.DOC.00,26.092,103.187,167.802,1787.569,1848.218,1869.134,2.000,0.089,0.213,0.215,0.214,0.212
GS.JFS.00,39.391,98.741,160.545,1750.669,1801.885,1819.114,3.000,-0.108,-0.076,-0.067,-0.061,-0.074
GS.MQT.00,34.020,102.060,165.530,1776.191,1833.823,1853.534,4.000,-0.081,0.008,0.006,0.003,0.000
PS.TSK.,36.211,140.110,158.194,1738.356,1786.656,1802.778,5.000,0.236,0.203,0.163,0.174,0.185
GS.TSS.00,34.342,106.021,168.206,1789.573,1850.764,1871.900,6.000,0.205,0.085,0.077,0.071,0.068
GD.LTK.00,23.662,114.647,176.124,1827.856,1900.087,1925.749,7.000,0.298,0.339,0.357,0.344,0.353
KN.CHM.,42.999,74.751,142.534,1651.840,1682.704,1692.439,8.000,0.017,-0.004,0.017,0.011,0.004
ZJ.YOK.00,28.962,120.201,176.417,1829.237,1901.891,1927.728,9.000,0.405,0.526,0.508,0.514,0.521
GE.MNAI.,-4.360,102.956,145.890,1671.039,1705.353,1716.297,10.000,-0.138,-0.068,-0.076,-0.091,-0.093
XJ.KOL.00,41.888,85.805,150.678,1697.823,1737.325,1750.148,11.000,0.324,0.477,0.485,0.489,0.482
BU.SZL.00,40.307,117.217,166.708,1782.109,1841.298,1861.628,12.000,0.239,0.184,0.182,0.167,0.176
JS.GAY.00,34.943,118.983,171.857,1807.463,1873.652,1896.827,13.000,0.093,0.221,0.217,0.220,0.225
JX.HUC.00,25.606,115.774,178.319,1838.124,1913.553,1940.543,14.000,0.018,0.036,0.076,0.081,0.063
JX.NAC.00,27.539,116.576,179.447,1843.347,1920.437,1948.124,15.000,0.489,0.579,0.586,0.585,0.580
HA.XY.00,32.133,114.012,174.346,1819.429,1889.115,1913.725,16.000,0.116,0.117,0.118,0.114,0.097
LN.FKU.00,42.508,123.347,163.615,1766.475,1821.611,1840.346,17.000,0.104,0.122,0.117,0.108,0.110
GS.CXT.00,33.731,105.761,168.369,1790.378,1851.789,1873.012,18.000,0.203,0.102,0.087,0.083,0.085
BJ.DHC.00,39.861,116.110,167.146,1784.301,1844.073,1864.636,19.000,0.318,0.358,0.352,0.340,0.348
JS.KS.00,31.390,120.950,174.319,1819.302,1888.951,1913.546,20.000,0.202,0.234,0.237,0.238,0.233
GE.FAKI.,-2.919,132.249,146.550,1674.775,1709.787,1720.979,21.000,0.518,0.458,0.467,0.477,0.476
QH.QML.00,34.171,95.830,160.639,1751.158,1802.492,1819.766,22.000,-0.216,0.199,0.234,0.231,0.213
YN.MLA.00,21.426,101.528,165.014,1773.583,1830.538,1849.982,23.000,0.146,0.137,0.131,0.133,0.133
GS.HNT.00,35.691,105.070,166.777,1782.453,1841.733,1862.099,24.000,0.065,-0.092,-0.130,-0.151,-0.115
GD.NAP.00,23.260,117.283,176.213,1828.280,1900.640,1926.356,25.000,0.231,0.274,0.274,0.274,0.276
HB.SYA.00,32.597,110.719,172.332,1809.758,1876.607,1900.053,26.000,0.258,-0.293,-0.307,-0.310,-0.303
JL.SYZT.00,43.539,125.674,161.986,1758.120,1811.162,1829.089,27.000,-0.022,0.102,0.094,0.094,0.094
KN.KBK.,42.656,74.948,142.742,1653.038,1684.111,1693.918,28.000,0.100,0.057,0.073,0.070,0.062
XJ.AHQ.00,40.934,78.459,145.647,1669.665,1703.724,1714.578,29.000,0.009,0.019,0.033,0.032,0.025
JX.XIS.00,29.040,114.563,177.182,1832.825,1906.590,1932.888,30.000,0.416,0.117,0.125,0.123,0.119
SX.LNQ.00,39.382,114.021,167.424,1785.687,1845.830,1866.542,31.000,-0.078,-0.042,-0.048,-0.048,-0.042
