evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20110101_0957,-27.020,-63.210,586.000,PS.PATS.,6.837,158.315,135.749,1611.872,1636.319,1643.859,0.000,1.631,0.470,0.445,0.455,0.457,0.448,1.600,1.600,0.756,0.750,0.900,0.673,0.673,0.700,0.701,0.673,0.100,0.691,0.673,0.200,0.703,0.673,0.600,0.701,0.673
20110101_0957,-27.020,-63.210,586.000,HB.ZSH.00,32.250,110.217,172.258,1809.402,1876.148,1899.551,1.000,4.394,0.257,-0.117,-0.105,-0.103,-0.113,-2.100,4.000,0.632,0.298,8.000,0.751,0.751,12.600,0.504,0.751,12.600,0.511,0.751,12.600,0.514,0.751,12.600,0.508,0.751
20110101_0957,-27.020,-63.210,586.000,YN.DOC.00,26.092,103.187,167.802,1787.569,1848.218,1869.134,2.000,2.749,0.089,0.213,0.215,0.214,0.212,5.500,5.000,0.752,0.771,4.700,0.689,0.689,0.900,0.678,0.689,1.200,0.719,0.689,1.200,0.708,0.689,1.000,0.688,0.689
20110101_0957,-27.020,-63.210,586.000,GS.JFS.00,39.391,98.741,160.545,1750.669,1801.885,1819.114,3.000,0.400,-0.108,-0.076,-0.067,-0.061,-0.074,-7.100,-4.400,0.234,0.796,-6.300,0.257,0.257,-12.500,0.122,0.257,-12.000,0.143,0.257,-11.800,0.156,0.257,-12.300,0.129,0.257
20110101_0957,-27.020,-63.210,586.000,GS.MQT.00,34.020,102.060,165.530,1776.191,1833.823,1853.534,4.000,2.019,-0.081,0.008,0.006,0.003,0.000,8.000,3.000,0.651,-0.493,-2.200,0.622,0.622,-1.500,0.695,0.622,-1.500,0.685,0.622,-1.500,0.684,0.622,-1.500,0.682,0.622
20110101_0957,-27.020,-63.210,586.000,PS.TSK.,36.211,140.110,158.194,1738.356,1786.656,1802.778,5.000,2.281,0.236,0.203,0.163,0.174,0.185,-1.000,2.300,0.897,-0.950,5.600,0.533,0.533,5.700,0.595,0.533,5.300,0.538,0.533,5.300,0.545,0.533,5.400,0.560,0.533
20110101_0957,-27.020,-63.210,586.000,GS.TSS.00,34.342,106.021,168.206,1789.573,1850.764,1871.900,6.000,2.977,0.205,0.085,0.077,0.071,0.068,7.500,0.300,0.393,-0.607,0.900,0.651,0.651,6.600,0.400,0.651,6.600,0.413,0.651,6.500,0.417,0.651,6.500,0.413,0.651
20110101_0957,-27.020,-63.210,586.000,GD.LTK.00,23.662,114.647,176.124,1827.856,1900.087,1925.749,7.000,5.986,0.298,0.339,0.357,0.344,0.353,-0.600,-0.600,0.713,0.657,0.600,0.702,0.702,0.400,0.828,0.702,0.300,0.810,0.702,0.400,0.772,0.702,0.400,0.779,0.702
20110101_0957,-27.020,-63.210,586.000,KN.CHM.,42.999,74.751,142.534,1651.840,1682.704,1692.439,8.000,2.650,0.017,-0.004,0.017,0.011,0.004,-4.600,-1.300,0.895,-0.646,3.300,0.702,0.702,4.300,0.599,0.702,4.600,0.529,0.702,4.500,0.546,0.702,4.400,0.572,0.702
20110101_0957,-27.020,-63.210,586.000,ZJ.YOK.00,28.962,120.201,176.417,1829.237,1901.891,1927.728,9.000,8.387,0.405,0.526,0.508,0.514,0.521,3.200,3.400,0.720,0.723,4.500,0.661,0.661,4.300,0.584,0.661,3.900,0.484,0.661,3.900,0.498,0.661,4.000,0.541,0.661
20110101_0957,-27.020,-63.210,586.000,GE.MNAI.,-4.360,102.956,145.890,1671.039,1705.353,1716.297,10.000,0.456,-0.138,-0.068,-0.076,-0.091,-0.093,-0.100,3.500,0.965,0.999,0.600,0.283,0.283,-0.500,0.310,0.283,-0.400,0.320,0.283,-0.300,0.347,0.283,0.400,0.332,0.283
20110101_0957,-27.020,-63.210,586.000,XJ.KOL.00,41.888,85.805,150.678,1697.823,1737.325,1750.148,11.000,0.675,0.324,0.477,0.485,0.489,0.482,-5.400,-4.500,0.592,0.591,-0.400,0.416,0.416,0.100,0.493,0.416,-0.100,0.527,0.416,-0.100,0.538,0.416,0.000,0.524,0.416
20110101_0957,-27.020,-63.210,586.000,BU.SZL.00,40.307,117.217,166.708,1782.109,1841.298,1861.628,12.000,5.016,0.239,0.184,0.182,0.167,0.176,-3.200,-3.100,0.752,0.641,-2.600,0.745,0.745,-2.600,0.655,0.745,-2.800,0.639,0.745,-3.000,0.616,0.745,-3.000,0.628,0.745
20110101_0957,-27.020,-63.210,586.000,JS.GAY.00,34.943,118.983,171.857,1807.463,1873.652,1896.827,13.000,4.281,0.093,0.221,0.217,0.220,0.225,-2.200,1.500,0.780,-0.818,6.800,0.696,0.696,-2.500,0.480,0.696,-2.500,0.478,0.696,-2.300,0.469,0.696,-2.300,0.470,0.696
20110101_0957,-27.020,-63.210,586.000,JX.HUC.00,25.606,115.774,178.319,1838.124,1913.553,1940.543,14.000,5.405,0.018,0.036,0.076,0.081,0.063,-1.200,-0.700,0.784,0.759,-3.700,0.488,0.488,-3.400,0.578,0.488,-3.500,0.579,0.488,-3.300,0.567,0.488,-3.300,0.552,0.488
20110101_0957,-27.020,-63.210,586.000,JX.NAC.00,27.539,116.576,179.447,1843.347,1920.437,1948.124,15.000,10.149,0.489,0.579,0.586,0.585,0.580,0.800,4.400,0.808,-0.853,-0.100,0.613,0.613,-0.100,0.512,0.613,-0.100,0.582,0.613,-0.200,0.595,0.613,-0.100,0.558,0.613
20110101_0957,-27.020,-63.210,586.000,HA.XY.00,32.133,114.012,174.346,1819.429,1889.115,1913.725,16.000,3.696,0.116,0.117,0.118,0.114,0.097,-4.100,2.200,0.528,0.548,0.800,0.513,0.513,-1.700,0.597,0.513,-1.400,0.556,0.513,-1.200,0.536,0.513,-1.500,0.562,0.513
20110101_0957,-27.020,-63.210,586.000,LN.FKU.00,42.508,123.347,163.615,1766.475,1821.611,1840.346,17.000,2.867,0.104,0.122,0.117,0.108,0.110,0.600,-2.600,0.760,-0.864,2.300,0.556,0.556,-11.000,0.380,0.556,-11.000,0.398,0.556,-11.000,0.409,0.556,-11.000,0.403,0.556
20110101_0957,-27.020,-63.210,586.000,GS.CXT.00,33.731,105.761,168.369,1790.378,1851.789,1873.012,18.000,3.428,0.203,0.102,0.087,0.083,0.085,4.000,0.000,0.733,-0.575,-1.100,0.646,0.646,6.300,0.734,0.646,6.400,0.727,0.646,6.400,0.727,0.646,6.300,0.735,0.646
20110101_0957,-27.020,-63.210,586.000,BJ.DHC.00,39.861,116.110,167.146,1784.301,1844.073,1864.636,19.000,3.664,0.318,0.358,0.352,0.340,0.348,0.300,-3.500,0.762,-0.754,1.000,0.584,0.584,1.000,0.609,0.584,1.000,0.580,0.584,1.000,0.543,0.584,1.000,0.558,0.584
20110101_0957,-27.020,-63.210,586.000,JS.KS.00,31.390,120.950,174.319,1819.302,1888.951,1913.546,20.000,2.402,0.202,0.234,0.237,0.238,0.233,3.200,-0.300,0.756,-0.785,-3.400,0.611,0.611,-2.600,0.649,0.611,-2.800,0.608,0.611,-2.800,0.590,0.611,-2.800,0.595,0.611
20110101_0957,-27.020,-63.210,586.000,GE.FAKI.,-2.919,132.249,146.550,1674.775,1709.787,1720.979,21.000,8.444,0.518,0.458,0.467,0.477,0.476,0.800,1.000,0.681,0.632,0.700,0.918,0.918,1.100,0.924,0.918,1.000,0.925,0.918,0.800,0.929,0.918,0.800,0.929,0.918
20110101_0957,-27.020,-63.210,586.000,QH.QML.00,34.171,95.830,160.639,1751.158,1802.492,1819.766,22.000,2.406,-0.216,0.199,0.234,0.231,0.213,2.700,-1.100,0.643,-0.442,3.900,0.445,0.445,5.300,0.499,0.445,5.800,0.424,0.445,5.700,0.430,0.445,5.500,0.469,0.445
20110101_0957,-27.020,-63.210,586.000,YN.MLA.00,21.426,101.528,165.014,1773.583,1830.538,1849.982,23.000,2.869,0.146,0.137,0.131,0.133,0.133,-1.300,-4.500,0.334,-0.852,-10.200,0.681,0.681,-9.400,0.667,0.681,-9.400,0.667,0.681,-9.400,0.667,0.681,-9.500,0.663,0.681
20110101_0957,-27.020,-63.210,586.000,GS.HNT.00,35.691,105.070,166.777,1782.453,1841.733,1862.099,24.000,2.605,0.065,-0.092,-0.130,-0.151,-0.115,5.700,5.300,0.717,0.747,6.300,0.353,0.353,1.900,0.593,0.353,2.200,0.620,0.353,2.400,0.622,0.353,2.100,0.604,0.353
20110101_0957,-27.020,-63.210,586.000,GD.NAP.00,23.260,117.283,176.213,1828.280,1900.640,1926.356,25.000,2.153,0.231,0.274,0.274,0.274,0.276,0.800,4.700,0.689,-0.520,9.900,0.444,0.444,0.400,0.642,0.444,0.200,0.635,0.444,0.100,0.624,0.444,0.100,0.631,0.444
20110101_0957,-27.020,-63.210,586.000,HB.SYA.00,32.597,110.719,172.332,1809.758,1876.607,1900.053,26.000,3.379,0.258,-0.293,-0.307,-0.310,-0.303,-3.000,3.200,0.476,0.257,7.200,0.792,0.792,4.500,0.625,0.792,4.400,0.607,0.792,4.500,0.601,0.792,4.500,0.613,0.792
20110101_0957,-27.020,-63.210,586.000,JL.SYZT.00,43.539,125.674,161.986,1758.120,1811.162,1829.089,27.000,1.234,-0.022,0.102,0.094,0.094,0.094,-2.900,-2.600,0.537,0.445,5.600,0.574,0.574,-9.600,0.363,0.574,-9.800,0.372,0.574,-9.800,0.385,0.574,-9.800,0.385,0.574
20110101_0957,-27.020,-63.210,586.000,KN.KBK.,42.656,74.948,142.742,1653.038,1684.111,1693.918,28.000,1.043,0.100,0.057,0.073,0.070,0.062,-5.500,2.100,0.798,0.609,3.000,0.664,0.664,3.700,0.681,0.664,4.000,0.597,0.664,3.900,0.608,0.664,3.700,0.653,0.664
20110101_0957,-27.020,-63.210,586.000,XJ.AHQ.00,40.934,78.459,145.647,1669.665,1703.724,1714.578,29.000,1.575,0.009,0.019,0.033,0.032,0.025,-4.400,-3.400,0.672,0.419,5.000,0.683,0.683,6.300,0.485,0.683,6.100,0.422,0.683,6.100,0.429,0.683,6.200,0.459,0.683
20110101_0957,-27.020,-63.210,586.000,JX.XIS.00,29.040,114.563,177.182,1832.825,1906.590,1932.888,30.000,4.547,0.416,0.117,0.125,0.123,0.119,4.600,4.500,0.617,0.402,-9.800,0.365,0.365,5.400,0.643,0.365,5.400,0.635,0.365,5.500,0.632,0.365,5.400,0.640,0.365
20110101_0957,-27.020,-63.210,586.000,SX.LNQ.00,39.382,114.021,167.424,1785.687,1845.830,1866.542,31.000,6.470,-0.078,-0.042,-0.048,-0.048,-0.042,-0.400,3.400,0.713,-0.800,8.000,0.588,0.588,7.500,0.648,0.588,7.500,0.643,0.588,7.500,0.636,0.588,7.400,0.639,0.588
20110101_0957,-27.020,-63.210,586.000,TM.PBKT.,16.573,100.969,162.004,1758.216,1811.282,1829.217,32.000,3.129,0.102,0.124,0.121,0.123,0.124,-1.600,-1.300,0.454,0.458,1.100,0.731,0.731,-6.300,0.652,0.731,-6.300,0.658,0.731,-6.300,0.659,0.731,-6.300,0.654,0.731
20110101_0957,-27.020,-63.210,586.000,QH.MEY.00,37.472,101.400,163.347,1765.102,1819.892,1838.491,33.000,6.645,0.070,0.113,0.123,0.133,0.121,-2.500,1.100,0.672,-0.927,-3.800,0.722,0.722,-3.300,0.766,0.722,-3.300,0.784,0.722,-3.300,0.785,0.722,-3.300,0.775,0.722
20110101_0957,-27.020,-63.210,586.000,HB.ZHX.00,31.172,112.727,174.538,1820.344,1890.303,1915.026,34.000,2.729,0.147,0.103,0.103,0.104,0.088,-0.200,0.100,0.680,0.586,4.600,0.356,0.356,5.300,0.392,0.356,5.400,0.410,0.356,5.500,0.414,0.356,5.300,0.402,0.356
20110101_0957,-27.020,-63.210,586.000,YP.NE88.,46.168,123.289,160.171,1748.722,1799.468,1816.519,35.000,1.110,0.059,0.057,0.057,0.059,0.057,-0.100,0.200,0.987,0.983,2.400,0.645,0.645,-1.300,0.626,0.645,-1.300,0.622,0.645,-1.300,0.606,0.645,-1.300,0.614,0.645
20110101_0957,-27.020,-63.210,586.000,GS.AXX.00,40.517,95.800,158.040,1737.544,1785.656,1801.707,36.000,0.333,-0.018,-0.022,-0.021,-0.021,-0.022,-5.200,-2.500,0.142,0.834,-8.200,0.349,0.349,-6.700,0.515,0.349,-6.600,0.519,0.349,-6.500,0.525,0.349,-6.600,0.518,0.349
20110101_0957,-27.020,-63.210,586.000,JL.YFT.00,41.362,126.512,163.583,1766.311,1821.406,1840.125,37.000,1.068,0.071,0.072,0.057,0.049,0.053,2.300,2.200,0.605,0.673,-2.300,0.647,0.647,-1.200,0.912,0.647,-1.100,0.924,0.647,-0.900,0.924,0.647,-1.000,0.925,0.647
20110101_0957,-27.020,-63.210,586.000,HI.QIH.00,19.222,110.476,170.282,1799.791,1863.807,1886.089,38.000,3.061,0.138,0.311,0.316,0.300,0.311,-1.100,-1.000,0.757,0.758,-10.800,0.293,0.293,-10.100,0.295,0.293,-10.000,0.301,0.293,-9.900,0.322,0.293,-10.000,0.300,0.293
20110101_0957,-27.020,-63.210,586.000,AH.SIX.00,33.558,117.859,173.398,1814.892,1883.236,1907.295,39.000,2.319,0.217,0.309,0.303,0.300,0.310,-1.100,-3.900,0.642,-0.603,-1.900,0.650,0.650,-1.300,0.684,0.650,-1.300,0.680,0.650,-1.300,0.682,0.650,-1.300,0.689,0.650
20110101_0957,-27.020,-63.210,586.000,GD.SHT.00,23.416,116.626,176.393,1829.124,1901.744,1927.567,40.000,4.643,0.246,0.236,0.229,0.230,0.226,-1.100,-2.600,0.534,0.451,5.100,0.576,0.576,5.200,0.595,0.576,5.100,0.578,0.576,5.000,0.558,0.576,5.000,0.566,0.576
20110101_0957,-27.020,-63.210,586.000,YP.NE6A.,44.806,124.540,161.162,1753.866,1805.860,1823.386,41.000,4.479,-0.072,0.147,0.145,0.147,0.147,1.000,0.900,0.878,0.843,-7.300,0.489,0.489,7.400,0.427,0.489,7.300,0.498,0.489,7.100,0.532,0.489,7.200,0.517,0.489
20110101_0957,-27.020,-63.210,586.000,IC.MDJ.10,44.618,129.593,159.625,1745.875,1795.941,1812.733,42.000,1.967,0.163,0.172,0.145,0.122,0.134,0.300,-3.100,0.774,-0.766,1.600,0.414,0.414,1.000,0.428,0.414,0.900,0.425,0.414,-7.700,0.433,0.414,-7.800,0.427,0.414
20110101_0957,-27.020,-63.210,586.000,NM.NIC.00,41.725,118.875,165.196,1774.503,1831.696,1851.233,43.000,2.225,0.266,0.226,0.225,0.220,0.220,1.600,1.300,0.760,0.750,0.800,0.711,0.711,1.600,0.637,0.711,1.500,0.628,0.711,1.600,0.618,0.711,1.600,0.622,0.711
20110101_0957,-27.020,-63.210,586.000,NM.RLT.00,43.686,111.923,162.876,1762.694,1816.878,1835.243,44.000,4.156,0.237,0.377,0.292,0.290,0.295,-4.900,-1.500,0.487,-0.468,-5.600,0.338,0.338,0.100,0.575,0.338,-5.900,0.348,0.338,-5.900,0.359,0.338,-5.900,0.355,0.338
20110101_0957,-27.020,-63.210,586.000,YP.NE57.,44.123,123.258,162.121,1758.817,1812.033,1830.026,45.000,1.467,0.033,0.011,0.016,0.019,0.019,-7.400,-4.100,0.480,-0.564,-7.800,0.447,0.447,-5.800,0.450,0.447,-5.700,0.456,0.447,-5.600,0.459,0.447,-5.700,0.451,0.447
