evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20110101_0957,-27.02,-63.21,586.0,ZN.SINA.,-8.678,151.09,131.22,1584.366,1604.966,1611.213,1143.0,2.402,0.391,0.39,0.429,0.449,0.412,2.6,3.1,0.871,0.776,2.6,0.889,0.889,2.5,0.902,0.889,2.3,0.908,0.889,2.1,0.909,0.889,2.4,0.904,0.889,1,8.0,-132.425
20110101_0957,-27.02,-63.21,586.0,SX.XAY.00,36.668,112.946,169.817,1797.517,1860.896,1882.919,1144.0,6.38,-0.138,-0.124,-0.126,-0.131,-0.126,1.7,5.4,0.711,-0.86,8.1,0.44,0.44,3.0,0.515,0.44,2.9,0.491,0.44,2.9,0.468,0.44,2.9,0.489,0.44,0,-1.0,17.111
20110101_0957,-27.02,-63.21,586.0,HI.XSA.00,16.36,112.48,168.616,1791.6,1853.344,1874.703,1145.0,1.415,0.307,0.299,0.296,0.291,0.294,9.2,1.4,0.329,-0.687,-2.4,0.605,0.605,-2.3,0.627,0.605,-2.4,0.628,0.605,-2.5,0.626,0.605,-2.5,0.624,0.605,0,-1.0,159.339
20110101_0957,-27.02,-63.21,586.0,FJ.FDQY.00,27.118,120.259,176.91,1831.551,1904.92,1931.054,1146.0,10.901,0.512,0.52,0.509,0.512,0.517,-1.2,-1.2,0.951,0.955,0.1,0.69,0.69,0.3,0.647,0.69,0.1,0.579,0.69,0.2,0.604,0.69,0.3,0.64,0.69,1,12.0,-87.195
20110101_0957,-27.02,-63.21,586.0,YP.NE8I.,45.994,133.656,156.787,1730.902,1777.495,1792.973,1147.0,0.341,0.002,0.025,0.025,0.022,0.024,-2.0,-4.1,0.37,0.971,3.3,0.579,0.579,3.3,0.604,0.579,3.2,0.596,0.579,3.2,0.589,0.579,3.2,0.591,0.579,0,-1.0,-30.505
20110101_0957,-27.02,-63.21,586.0,IC.WMQ.10,43.814,87.704,151.197,1700.682,1740.766,1753.804,1148.0,1.642,-0.226,0.138,0.181,0.181,0.158,0.6,4.0,0.387,0.277,4.4,0.785,0.785,6.3,0.7,0.785,6.5,0.669,0.785,6.5,0.667,0.785,6.4,0.685,0.785,0,-1.0,46.583
20110101_0957,-27.02,-63.21,586.0,ZJ.HAZ.00,30.267,120.114,175.636,1825.555,1897.084,1922.455,1149.0,4.18,0.246,0.285,0.285,0.286,0.285,-1.9,1.4,0.753,-0.638,-0.9,0.812,0.812,-1.4,0.84,0.812,-1.5,0.853,0.812,-1.5,0.847,0.812,-1.4,0.845,0.812,0,-1.0,-38.383
20110101_0957,-27.02,-63.21,586.0,AU.MTN.,-12.844,131.133,137.774,1623.952,1650.243,1658.405,1150.0,6.722,0.661,0.606,0.604,0.61,0.603,0.6,1.3,0.937,0.861,0.2,0.929,0.929,0.7,0.893,0.929,0.7,0.896,0.929,0.3,0.906,0.929,0.4,0.906,0.929,1,6.0,-159.088
20110101_0957,-27.02,-63.21,586.0,YP.NE49.,43.393,128.753,160.977,1752.91,1804.671,1822.107,1151.0,6.015,0.097,0.142,0.141,0.138,0.139,-0.1,-3.4,0.772,-0.843,-7.9,0.787,0.787,-8.1,0.858,0.787,-8.1,0.871,0.787,-8.1,0.874,0.787,-8.2,0.871,0.787,0,-1.0,-27.179
20110101_0957,-27.02,-63.21,586.0,SC.HYU.00,32.813,102.524,166.362,1780.375,1839.105,1859.251,1152.0,2.763,0.18,0.132,0.13,0.132,0.138,7.8,4.1,0.618,-0.4,-0.1,0.78,0.78,-0.8,0.702,0.78,-0.7,0.686,0.78,-0.7,0.688,0.78,-0.7,0.697,0.78,0,-1.0,60.926
20110101_0957,-27.02,-63.21,586.0,CB.LZH.00,36.087,103.844,165.744,1777.27,1835.184,1855.006,1153.0,4.624,0.008,-0.029,-0.025,-0.012,-0.021,-0.1,3.4,0.68,-0.914,-2.2,0.626,0.626,-1.6,0.843,0.626,-1.6,0.869,0.626,-1.5,0.874,0.626,-1.6,0.86,0.626,0,-1.0,46.694
20110101_0957,-27.02,-63.21,586.0,LN.SHS.00,40.722,120.966,165.871,1777.908,1835.988,1855.877,1154.0,0.955,0.09,0.052,0.049,0.044,0.045,7.8,-4.0,0.691,-0.814,8.4,0.559,0.559,7.8,0.533,0.559,7.8,0.528,0.559,7.9,0.522,0.559,7.9,0.519,0.559,0,-1.0,-12.771
20110101_0957,-27.02,-63.21,586.0,IU.KBL.,34.541,69.043,138.678,1629.302,1656.433,1664.881,1155.0,1.317,0.027,0.15,0.15,0.149,0.148,-2.3,-2.4,0.779,0.852,-8.6,0.278,0.278,-0.3,0.165,0.278,6.3,0.16,0.278,-0.5,0.152,0.278,-0.4,0.165,0.278,0,-1.0,67.504
