station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
4F.RODGA.,64.985,-16.886,139.298,1645.993,1673.464,1682.018,0.000,0.161,0.096,0.091,0.089,0.089
YL.ALOR.01,41.301,32.870,148.537,1699.041,1735.916,1747.765,1.000,0.447,0.478,0.538,0.523,0.501
NO.NC303.00,61.225,11.369,143.603,1671.063,1702.748,1712.758,2.000,0.257,0.292,0.330,0.325,0.328
II.KIV.10,43.955,42.686,140.866,1655.193,1684.163,1693.231,3.000,0.751,0.731,0.747,0.743,0.739
NE.HNH.,43.705,-72.286,120.057,1526.601,1538.996,1542.670,4.000,0.383,0.355,0.359,0.370,0.362
NE.EMMW.,44.710,-67.458,123.605,1549.523,1564.218,1568.594,5.000,0.561,0.487,0.474,0.475,0.480
7E.PG41.,50.751,17.333,151.547,1715.724,1755.926,1768.992,6.000,0.535,0.538,0.571,0.575,0.583
7E.PG43.,51.472,18.724,150.452,1709.687,1748.663,1761.278,7.000,0.346,0.417,0.511,0.509,0.494
CH.MUO.,46.968,8.637,157.588,1748.319,1795.592,1811.308,8.000,0.381,0.397,0.428,0.451,0.433
6C.SYRA.,37.402,24.893,155.677,1738.130,1783.112,1797.967,9.000,0.665,0.619,0.666,0.665,0.654
CH.LIENZ.,47.294,9.492,157.065,1745.542,1792.182,1807.661,10.000,0.483,0.495,0.523,0.532,0.527
NL.OPLO.,51.589,5.812,153.699,1727.471,1770.135,1784.118,11.000,0.315,0.242,0.221,0.219,0.220
7E.PB44.,51.689,15.818,151.280,1714.256,1754.157,1767.112,12.000,0.361,0.377,0.420,0.399,0.408
RO.TIM.,45.736,21.221,153.600,1726.930,1769.478,1783.418,13.000,0.396,0.397,0.379,0.395,0.394
XS.S042.01,38.047,23.864,156.177,1740.806,1786.382,1801.460,14.000,0.635,0.605,0.652,0.643,0.631
CH.MMK.,46.051,7.964,158.610,1753.721,1802.241,1818.428,15.000,0.447,0.512,0.523,0.512,0.514
OE.MOA.,47.849,14.266,155.070,1734.869,1779.134,1793.719,16.000,0.697,0.718,0.734,0.732,0.731
NS.TRO.00,69.635,18.911,134.644,1618.224,1641.472,1648.595,17.000,0.429,0.479,0.476,0.474,0.482
CZ.PVCC.,50.528,14.569,152.678,1721.918,1763.405,1776.948,18.000,0.724,0.725,0.754,0.751,0.753
IU.KMBO.00,-1.127,37.252,134.902,1619.780,1643.251,1650.450,19.000,0.434,0.433,0.453,0.450,0.446
NO.SPA0.00,78.178,16.370,126.965,1570.848,1587.932,1593.049,20.000,0.475,0.402,0.424,0.422,0.419
CH.WIMIS.,46.665,7.624,158.114,1751.103,1799.015,1814.973,21.000,0.403,0.470,0.498,0.506,0.501
1M.D36.00,52.698,-6.211,152.636,1721.686,1763.124,1776.649,22.000,0.165,0.143,0.157,0.155,0.153
G.SSB.00,45.279,4.542,160.041,1761.226,1811.516,1828.374,23.000,0.601,0.603,0.626,0.638,0.632
MD.KIS.,46.998,28.817,148.665,1699.757,1736.770,1748.670,24.000,0.371,0.429,0.454,0.456,0.436
XS.S129.01,38.089,24.362,155.801,1738.796,1783.925,1798.836,25.000,0.427,0.397,0.437,0.435,0.422
XS.S033.01,38.723,23.491,156.155,1740.689,1786.238,1801.307,26.000,0.674,0.566,0.615,0.614,0.594
RO.GZR.,45.393,22.777,152.995,1723.642,1765.492,1779.170,27.000,0.209,0.285,0.326,0.333,0.322
ZE.DIGE.,12.328,40.273,139.591,1647.720,1675.469,1684.118,28.000,0.349,0.276,0.249,0.246,0.253
IU.KBS.10,78.915,11.939,126.504,1567.946,1584.689,1589.700,29.000,0.425,0.441,0.428,0.434,0.436
YL.KUZO.01,40.904,32.861,148.673,1699.798,1736.819,1748.721,30.000,0.594,0.618,0.675,0.674,0.659
YL.INSU.01,39.842,35.366,147.147,1691.231,1726.611,1737.922,31.000,0.653,0.646,0.631,0.640,0.640
