evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20211009_1058,-21.310,174.380,532.300,CR.MORI.,43.866,15.707,151.343,1710.999,1751.044,1764.056,0.000,1.708,0.242,0.295,0.320,0.331,0.315,2.600,2.800,0.789,0.904,2.800,0.576,0.576,1.800,0.617,0.576,1.400,0.665,0.576,1.200,0.706,0.576,1.300,0.671,0.576
20211009_1058,-21.310,174.380,532.300,NO.ARD8.00,69.538,25.469,128.271,1575.475,1593.599,1599.044,1.000,0.941,0.346,0.324,0.330,0.324,0.328,0.800,1.300,0.671,0.628,0.700,0.865,0.865,0.500,0.867,0.865,0.200,0.877,0.865,0.300,0.882,0.865,0.300,0.877,0.865
20211009_1058,-21.310,174.380,532.300,NO.NC303.00,61.225,11.369,138.368,1636.915,1663.579,1671.861,2.000,2.678,0.354,0.341,0.344,0.345,0.345,0.600,1.100,0.815,0.761,0.100,0.730,0.730,-0.400,0.762,0.730,-0.600,0.783,0.730,-0.700,0.795,0.730,-0.600,0.784,0.730
20211009_1058,-21.310,174.380,532.300,IV.MA9.,41.770,12.659,154.403,1727.663,1771.221,1785.544,3.000,3.020,0.377,0.359,0.357,0.359,0.370,2.400,2.700,0.896,0.903,2.200,0.904,0.904,1.900,0.889,0.904,1.800,0.880,0.904,1.700,0.873,0.904,1.700,0.877,0.904
20211009_1058,-21.310,174.380,532.300,GB.BIGH.,58.493,-3.910,142.796,1662.822,1693.761,1703.513,4.000,1.033,0.173,0.150,0.153,0.155,0.149,3.800,-1.800,0.817,0.778,-2.200,0.646,0.646,-2.200,0.698,0.646,-2.300,0.708,0.646,-2.500,0.690,0.646,-2.400,0.696,0.646
20211009_1058,-21.310,174.380,532.300,OE.KBA.,47.078,13.345,150.011,1703.644,1742.203,1754.669,5.000,1.316,0.303,0.310,0.331,0.351,0.336,2.600,-1.600,0.641,-0.579,1.000,0.879,0.879,1.200,0.858,0.879,1.000,0.866,0.879,0.800,0.869,0.879,0.900,0.869,0.879
20211009_1058,-21.310,174.380,532.300,CZ.CKRC.,48.820,14.309,148.233,1693.736,1730.352,1742.111,6.000,2.599,0.265,0.271,0.283,0.284,0.279,-9.200,-4.400,0.615,-0.754,-9.000,0.654,0.654,-9.500,0.557,0.654,-9.800,0.535,0.654,-10.100,0.525,0.654,-10.000,0.535,0.654
20211009_1058,-21.310,174.380,532.300,IV.IFIL.,38.564,14.575,155.535,1733.756,1778.644,1793.468,7.000,4.079,0.214,0.185,0.193,0.199,0.187,8.800,4.200,0.592,-0.655,8.500,0.350,0.350,8.500,0.372,0.350,-0.600,0.373,0.350,-0.600,0.397,0.350,-0.600,0.359,0.350
20211009_1058,-21.310,174.380,532.300,GB.ELSH.,51.148,1.135,149.698,1701.907,1740.121,1752.461,8.000,1.636,0.416,0.427,0.413,0.398,0.399,0.200,1.300,0.803,0.663,-0.700,0.824,0.824,-1.100,0.831,0.824,-1.300,0.836,0.824,-1.600,0.838,0.824,-1.500,0.836,0.824
20211009_1058,-21.310,174.380,532.300,CH.PANIX.,46.826,9.112,151.825,1713.647,1754.236,1767.449,9.000,8.388,0.490,0.495,0.492,0.493,0.498,2.100,1.900,0.878,0.897,1.900,0.897,0.897,1.600,0.889,0.897,1.300,0.882,0.897,0.900,0.879,0.897,1.000,0.883,0.897
