station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
CR.MORI.,43.866,15.707,151.343,1710.999,1751.044,1764.056,0.000,0.242,0.295,0.320,0.331,0.315
NO.ARD8.00,69.538,25.469,128.271,1575.475,1593.599,1599.044,1.000,0.346,0.324,0.330,0.324,0.328
NO.NC303.00,61.225,11.369,138.368,1636.915,1663.579,1671.861,2.000,0.354,0.341,0.344,0.345,0.345
IV.MA9.,41.770,12.659,154.403,1727.663,1771.221,1785.544,3.000,0.377,0.359,0.357,0.359,0.370
GB.BIGH.,58.493,-3.910,142.796,1662.822,1693.761,1703.513,4.000,0.173,0.150,0.153,0.155,0.149
OE.KBA.,47.078,13.345,150.011,1703.644,1742.203,1754.669,5.000,0.303,0.310,0.331,0.351,0.336
CZ.CKRC.,48.820,14.309,148.233,1693.736,1730.352,1742.111,6.000,0.265,0.271,0.283,0.284,0.279
IV.IFIL.,38.564,14.575,155.535,1733.756,1778.644,1793.468,7.000,0.214,0.185,0.193,0.199,0.187
GB.ELSH.,51.148,1.135,149.698,1701.907,1740.121,1752.461,8.000,0.416,0.427,0.413,0.398,0.399
CH.PANIX.,46.826,9.112,151.825,1713.647,1754.236,1767.449,9.000,0.490,0.495,0.492,0.493,0.498
GE.KARP.,35.547,27.161,148.057,1692.747,1729.173,1740.863,10.000,0.270,0.339,0.338,0.336,0.337
IV.STAL.,46.260,12.710,150.926,1708.702,1748.278,1761.118,11.000,0.474,0.349,0.328,0.313,0.323
MN.VSL.,39.496,9.378,157.753,1745.576,1793.125,1808.950,12.000,0.082,0.133,0.145,0.154,0.143
KO.SARI.,38.407,36.418,140.172,1647.546,1675.913,1684.777,13.000,0.406,0.332,0.324,0.324,0.326
CH.LIENZ.,47.294,9.492,151.290,1710.707,1750.692,1763.682,14.000,0.483,0.476,0.495,0.490,0.496
CH.MUO.,46.968,8.637,151.862,1713.849,1754.480,1767.709,15.000,0.499,0.510,0.514,0.503,0.510
KO.SIMA.,39.083,28.983,145.523,1678.445,1712.179,1722.909,16.000,0.082,0.050,0.057,0.058,0.055
FR.SPIF.00,44.056,7.237,154.883,1730.253,1774.373,1788.908,17.000,0.469,0.478,0.492,0.504,0.497
NL.ARCN.,51.501,6.194,148.437,1694.879,1731.716,1743.555,18.000,0.170,0.212,0.208,0.212,0.211
