evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20211009_1058,-21.31,174.38,532.3,CR.MORI.,43.866,15.707,151.343,1710.999,1751.044,1764.056,0.0,1.708,0.242,0.295,0.32,0.331,0.315,2.6,2.8,0.789,0.904,2.8,0.576,0.576,1.8,0.617,0.576,1.4,0.665,0.576,1.2,0.706,0.576,1.3,0.671,0.576,0,-1.0,-32.946
20211009_1058,-21.31,174.38,532.3,NO.ARD8.00,69.538,25.469,128.271,1575.475,1593.599,1599.044,1.0,0.941,0.346,0.324,0.33,0.324,0.328,0.8,1.3,0.671,0.628,0.7,0.865,0.865,0.5,0.867,0.865,0.2,0.877,0.865,0.3,0.882,0.865,0.3,0.877,0.865,0,-1.0,-13.298
20211009_1058,-21.31,174.38,532.3,NO.NC303.00,61.225,11.369,138.368,1636.915,1663.579,1671.861,2.0,2.678,0.354,0.341,0.344,0.345,0.345,0.6,1.1,0.815,0.761,0.1,0.73,0.73,-0.4,0.762,0.73,-0.6,0.783,0.73,-0.7,0.795,0.73,-0.6,0.784,0.73,0,-1.0,-12.197
20211009_1058,-21.31,174.38,532.3,IV.MA9.,41.77,12.659,154.403,1727.663,1771.221,1785.544,3.0,3.02,0.377,0.359,0.357,0.359,0.37,2.4,2.7,0.896,0.903,2.2,0.904,0.904,1.9,0.889,0.904,1.8,0.88,0.904,1.7,0.873,0.904,1.7,0.877,0.904,0,-1.0,-32.526
20211009_1058,-21.31,174.38,532.3,GB.BIGH.,58.493,-3.91,142.796,1662.822,1693.761,1703.513,4.0,1.033,0.173,0.15,0.153,0.155,0.149,3.8,-1.8,0.817,0.778,-2.2,0.646,0.646,-2.2,0.698,0.646,-2.3,0.708,0.646,-2.5,0.69,0.646,-2.4,0.696,0.646,0,-1.0,-1.472
20211009_1058,-21.31,174.38,532.3,OE.KBA.,47.078,13.345,150.011,1703.644,1742.203,1754.669,5.0,1.316,0.303,0.31,0.331,0.351,0.336,2.6,-1.6,0.641,-0.579,1.0,0.879,0.879,1.2,0.858,0.879,1.0,0.866,0.879,0.8,0.869,0.879,0.9,0.869,0.879,0,-1.0,-26.123
20211009_1058,-21.31,174.38,532.3,CZ.CKRC.,48.82,14.309,148.233,1693.736,1730.352,1742.111,6.0,2.599,0.265,0.271,0.283,0.284,0.279,-9.2,-4.4,0.615,-0.754,-9.0,0.654,0.654,-9.5,0.557,0.654,-9.8,0.535,0.654,-10.1,0.525,0.654,-10.0,0.535,0.654,0,-1.0,-25.1
20211009_1058,-21.31,174.38,532.3,IV.IFIL.,38.564,14.575,155.535,1733.756,1778.644,1793.468,7.0,4.079,0.214,0.185,0.193,0.199,0.187,8.8,4.2,0.592,-0.655,8.5,0.35,0.35,8.5,0.372,0.35,-0.6,0.373,0.35,-0.6,0.397,0.35,-0.6,0.359,0.35,0,-1.0,-40.381
20211009_1058,-21.31,174.38,532.3,GB.ELSH.,51.148,1.135,149.698,1701.907,1740.121,1752.461,8.0,1.636,0.416,0.427,0.413,0.398,0.399,0.2,1.3,0.803,0.663,-0.7,0.824,0.824,-1.1,0.831,0.824,-1.3,0.836,0.824,-1.6,0.838,0.824,-1.5,0.836,0.824,0,-1.0,-8.351
20211009_1058,-21.31,174.38,532.3,CH.PANIX.,46.826,9.112,151.825,1713.647,1754.236,1767.449,9.0,8.388,0.49,0.495,0.492,0.493,0.498,2.1,1.9,0.878,0.897,1.9,0.897,0.897,1.6,0.889,0.897,1.3,0.882,0.897,0.9,0.879,0.897,1.0,0.883,0.897,0,-1.0,-21.462
20211009_1058,-21.31,174.38,532.3,GE.KARP.,35.547,27.161,148.057,1692.747,1729.173,1740.863,10.0,1.549,0.27,0.339,0.338,0.336,0.337,-7.0,-2.3,0.729,-0.658,-6.0,0.618,0.618,1.5,0.807,0.618,1.2,0.793,0.618,1.3,0.786,0.618,1.4,0.789,0.618,0,-1.0,-56.265
20211009_1058,-21.31,174.38,532.3,IV.STAL.,46.26,12.71,150.926,1708.702,1748.278,1761.118,11.0,2.671,0.474,0.349,0.328,0.313,0.323,0.1,-4.1,0.372,-0.523,-0.9,0.515,0.515,-1.6,0.524,0.515,-1.9,0.564,0.515,-2.1,0.603,0.515,-2.0,0.576,0.515,0,-1.0,-26.408
20211009_1058,-21.31,174.38,532.3,MN.VSL.,39.496,9.378,157.753,1745.576,1793.125,1808.95,12.0,2.339,0.082,0.133,0.145,0.154,0.143,2.0,2.2,0.691,0.758,1.5,0.786,0.786,1.2,0.868,0.786,1.1,0.839,0.786,1.0,0.813,0.786,1.1,0.838,0.786,0,-1.0,-31.5
20211009_1058,-21.31,174.38,532.3,KO.SARI.,38.407,36.418,140.172,1647.546,1675.913,1684.777,13.0,1.984,0.406,0.332,0.324,0.324,0.326,1.3,1.1,0.889,0.909,1.2,0.925,0.925,1.5,0.84,0.925,0.8,0.644,0.925,1.1,0.705,0.925,1.3,0.756,0.925,0,-1.0,-54.989
