evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20130514_0032,18.670,145.350,604.700,XB.PM21.,33.721,-5.320,120.615,1514.172,1527.137,1530.988,0.000,3.613,0.366,0.375,0.373,0.371,0.371,-1.800,-1.300,0.381,0.311,-0.700,0.547,0.547,-1.700,0.473,0.547,-1.700,0.478,0.547,-1.800,0.505,0.547,-1.700,0.496,0.547
20130514_0032,18.670,145.350,604.700,AI.SMAI.04,-68.130,-67.106,126.502,1551.810,1568.805,1573.902,1.000,0.728,0.252,0.133,0.118,0.110,0.119,-1.900,-1.300,0.802,0.743,-1.900,0.586,0.586,-2.000,0.544,0.586,-2.400,0.569,0.586,-2.300,0.571,0.586,-2.200,0.561,0.586
20130514_0032,18.670,145.350,604.700,PR.CRPR.,18.006,-67.110,131.396,1582.244,1603.045,1609.360,2.000,2.563,0.088,0.346,0.341,0.345,0.344,-4.700,-4.800,0.721,0.816,2.500,0.636,0.636,0.200,0.804,0.636,0.000,0.844,0.636,-0.100,0.874,0.636,-0.100,0.869,0.636
20130514_0032,18.670,145.350,604.700,ZD.FN08.,-11.223,-75.504,139.923,1633.411,1661.788,1670.664,3.000,2.575,0.302,0.407,0.407,0.413,0.409,0.300,0.500,0.843,0.791,0.200,0.614,0.614,-0.800,0.741,0.614,-1.100,0.719,0.614,-0.900,0.736,0.614,-0.800,0.738,0.614
20130514_0032,18.670,145.350,604.700,ZD.FS02.,-14.385,-73.961,142.143,1646.352,1676.894,1686.520,4.000,1.741,0.298,0.133,0.107,0.109,0.126,-0.800,-4.600,0.795,-0.912,-0.700,0.603,0.603,-2.500,0.724,0.603,-2.900,0.760,0.603,-2.700,0.748,0.603,-2.600,0.732,0.603
20130514_0032,18.670,145.350,604.700,YT.MECK.,-75.281,-72.185,120.033,1510.389,1522.989,1526.729,5.000,2.426,0.581,0.470,0.483,0.497,0.488,-0.300,-0.300,0.570,0.638,-0.100,0.917,0.917,-0.100,0.846,0.917,-0.300,0.842,0.917,-0.100,0.860,0.917,-0.100,0.863,0.917
20130514_0032,18.670,145.350,604.700,ZD.FN13.,-12.042,-75.321,140.312,1635.689,1664.438,1673.443,6.000,2.941,0.298,0.390,0.390,0.386,0.388,1.000,1.100,0.860,0.858,0.800,0.486,0.486,-0.100,0.637,0.486,-0.400,0.573,0.486,-0.200,0.597,0.486,-0.100,0.626,0.486
20130514_0032,18.670,145.350,604.700,ZD.FS06.,-13.667,-73.312,142.603,1649.009,1680.010,1689.795,7.000,2.618,0.423,0.306,0.280,0.304,0.296,-0.400,-4.500,0.730,-0.655,-0.400,0.767,0.767,-2.500,0.585,0.767,-2.700,0.717,0.767,-2.600,0.692,0.767,-2.600,0.607,0.767
20130514_0032,18.670,145.350,604.700,PR.EMPR.,18.477,-66.529,131.418,1582.380,1603.199,1609.520,8.000,1.364,0.055,-0.091,-0.096,-0.098,-0.097,5.700,-4.300,0.645,-0.304,-1.000,0.670,0.670,-3.500,0.687,0.670,-3.600,0.693,0.670,-3.600,0.693,0.670,-3.600,0.691,0.670
20130514_0032,18.670,145.350,604.700,YZ.HRIU.,10.516,-85.750,121.769,1521.641,1535.347,1539.424,9.000,1.854,0.389,0.404,0.411,0.421,0.419,-0.200,0.100,0.800,0.729,0.900,0.598,0.598,-0.800,0.824,0.598,-1.000,0.862,0.598,-0.800,0.861,0.598,-0.800,0.852,0.598
20130514_0032,18.670,145.350,604.700,CX.PB11.,-19.761,-69.656,146.985,1673.992,1709.537,1720.923,10.000,2.434,0.360,0.461,0.495,0.492,0.462,1.600,1.700,0.931,0.953,1.200,0.678,0.678,1.100,0.814,0.678,-0.100,0.810,0.678,0.300,0.807,0.678,1.000,0.814,0.678
20130514_0032,18.670,145.350,604.700,ZD.FM06.,-13.350,-74.463,141.442,1642.279,1672.129,1681.513,11.000,2.111,0.100,0.284,0.324,0.317,0.289,2.600,2.400,0.849,0.849,2.500,0.598,0.598,1.300,0.684,0.598,0.900,0.671,0.598,1.100,0.675,0.598,1.200,0.676,0.598
20130514_0032,18.670,145.350,604.700,ZD.FM1A.,-14.120,-75.560,140.573,1637.219,1666.221,1675.313,12.000,1.009,0.142,0.341,0.353,0.333,0.337,4.600,1.700,0.342,0.128,2.200,0.430,0.430,12.300,0.379,0.430,-0.100,0.425,0.430,0.300,0.381,0.430,12.400,0.370,0.430
20130514_0032,18.670,145.350,604.700,PR.MTP.,18.097,-65.553,132.317,1587.888,1609.447,1616.013,13.000,0.877,0.117,-0.007,-0.008,-0.007,-0.007,-3.100,-2.600,0.615,0.367,5.000,0.657,0.657,5.300,0.396,0.657,5.100,0.382,0.657,4.900,0.369,0.657,5.000,0.373,0.657
20130514_0032,18.670,145.350,604.700,ZD.FN12.,-11.803,-75.596,139.990,1633.803,1662.244,1671.142,14.000,6.298,0.314,0.443,0.482,0.467,0.440,1.000,1.300,0.966,0.955,0.700,0.761,0.761,-0.600,0.655,0.761,-0.800,0.708,0.761,-0.800,0.699,0.761,-0.700,0.662,0.761
20130514_0032,18.670,145.350,604.700,IB.M202.,32.922,-5.514,121.374,1519.091,1532.540,1536.540,15.000,5.569,0.535,0.602,0.598,0.578,0.583,3.200,3.900,0.539,0.544,4.100,0.625,0.625,1.600,0.588,0.625,1.600,0.589,0.625,1.700,0.578,0.625,1.800,0.581,0.625
20130514_0032,18.670,145.350,604.700,ZD.FN01.,-11.908,-76.664,139.007,1628.029,1655.536,1664.114,16.000,3.351,0.497,0.455,0.459,0.459,0.457,2.000,1.800,0.938,0.951,2.000,0.935,0.935,0.500,0.891,0.935,0.200,0.928,0.935,0.400,0.923,0.935,0.500,0.899,0.935
20130514_0032,18.670,145.350,604.700,GT.DBIC.00,6.670,-4.857,141.206,1640.912,1670.530,1679.835,17.000,1.317,0.078,0.095,0.084,0.075,0.082,0.500,0.300,0.745,0.647,5.300,0.694,0.694,4.900,0.656,0.694,5.300,0.664,0.694,5.400,0.679,0.694,5.300,0.673,0.694
20130514_0032,18.670,145.350,604.700,CX.PB10.,-23.513,-70.554,146.240,1669.789,1704.543,1715.647,18.000,0.863,0.263,0.291,0.308,0.309,0.290,1.300,1.500,0.655,0.644,0.700,0.832,0.832,0.000,0.744,0.832,-1.000,0.891,0.832,-0.700,0.868,0.832,0.000,0.741,0.832
20130514_0032,18.670,145.350,604.700,G.MPG.00,5.110,-52.644,150.336,1692.693,1731.886,1744.600,19.000,1.393,0.064,0.214,0.217,0.211,0.210,-2.100,-5.000,0.411,-0.522,-7.900,0.527,0.527,-6.300,0.406,0.527,-6.400,0.403,0.527,-6.300,0.388,0.527,-6.200,0.387,0.527
20130514_0032,18.670,145.350,604.700,ZD.FN10.,-10.946,-75.228,140.108,1634.496,1663.049,1671.987,20.000,1.955,0.194,0.103,0.146,0.119,0.103,2.700,-0.600,0.764,-0.885,2.700,0.399,0.399,1.900,0.714,0.399,1.600,0.602,0.399,1.800,0.648,0.399,1.900,0.699,0.399
20130514_0032,18.670,145.350,604.700,IB.M213.,32.213,-8.555,123.312,1531.553,1546.286,1550.679,21.000,2.695,0.456,0.417,0.413,0.404,0.406,0.200,0.100,0.550,0.473,-0.100,0.739,0.739,0.000,0.857,0.739,0.000,0.861,0.739,0.000,0.885,0.739,0.100,0.868,0.739
20130514_0032,18.670,145.350,604.700,MC.GERD.,16.795,-62.194,135.371,1606.394,1630.569,1638.017,22.000,0.353,0.061,0.074,0.075,0.075,0.075,5.600,-4.400,0.734,-0.858,-7.200,0.304,0.304,-7.300,0.420,0.304,-7.300,0.420,0.304,-7.300,0.420,0.304,-7.300,0.420,0.304
20130514_0032,18.670,145.350,604.700,CX.PB08.,-20.141,-69.153,147.481,1676.783,1712.858,1724.435,23.000,1.467,0.510,0.455,0.434,0.459,0.456,0.900,1.000,0.936,0.966,0.300,0.770,0.770,0.500,0.790,0.770,-0.600,0.721,0.770,-0.200,0.739,0.770,0.500,0.790,0.770
20130514_0032,18.670,145.350,604.700,XB.PM23.,33.128,-5.030,120.981,1516.547,1529.745,1533.667,24.000,3.852,0.458,0.538,0.541,0.550,0.544,0.200,-0.100,0.639,0.776,-0.100,0.624,0.624,-0.100,0.749,0.624,-0.100,0.749,0.624,-0.100,0.747,0.624,-0.100,0.748,0.624
20130514_0032,18.670,145.350,604.700,MC.OLV2.,16.750,-62.228,135.386,1606.482,1630.670,1638.122,25.000,0.340,0.039,0.064,0.064,0.062,0.062,3.600,-4.600,0.706,-0.889,-8.600,0.385,0.385,-8.700,0.489,0.385,-8.700,0.489,0.385,-8.600,0.485,0.385,-8.600,0.485,0.385
20130514_0032,18.670,145.350,604.700,ZD.FM05.,-13.359,-74.857,141.070,1640.119,1669.605,1678.864,26.000,1.734,0.266,0.150,0.104,0.126,0.147,4.600,4.700,0.731,0.800,4.700,0.766,0.766,3.200,0.780,0.766,3.000,0.822,0.766,3.100,0.813,0.766,3.100,0.787,0.766
20130514_0032,18.670,145.350,604.700,PR.OBIP.,18.043,-66.606,131.692,1584.061,1605.104,1611.499,27.000,0.920,0.038,0.032,0.034,0.034,0.033,-0.500,2.000,0.633,0.298,9.400,0.595,0.595,7.500,0.692,0.595,7.400,0.704,0.595,7.300,0.719,0.595,7.300,0.717,0.595
20130514_0032,18.670,145.350,604.700,IB.M211.,30.923,-7.245,123.850,1534.992,1550.093,1554.600,28.000,6.440,0.604,0.659,0.656,0.646,0.653,-1.400,-1.000,0.835,0.903,-1.700,0.687,0.687,-1.300,0.671,0.687,-1.300,0.668,0.687,-1.300,0.658,0.687,-1.200,0.663,0.687
20130514_0032,18.670,145.350,604.700,XK.B08TS.,-20.164,22.459,126.391,1551.106,1568.019,1573.090,29.000,0.356,0.017,0.005,0.016,0.014,0.012,9.200,-4.000,0.615,-0.999,-8.600,0.472,0.472,-8.300,0.451,0.472,-8.900,0.460,0.472,-8.400,0.455,0.472,-8.500,0.454,0.472
