station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
XB.PM21.,33.721,-5.320,120.615,1514.172,1527.137,1530.988,0.000,0.366,0.375,0.373,0.371,0.371
AI.SMAI.04,-68.130,-67.106,126.502,1551.810,1568.805,1573.902,1.000,0.252,0.133,0.118,0.110,0.119
PR.CRPR.,18.006,-67.110,131.396,1582.244,1603.045,1609.360,2.000,0.088,0.346,0.341,0.345,0.344
ZD.FN08.,-11.223,-75.504,139.923,1633.411,1661.788,1670.664,3.000,0.302,0.407,0.407,0.413,0.409
ZD.FS02.,-14.385,-73.961,142.143,1646.352,1676.894,1686.520,4.000,0.298,0.133,0.107,0.109,0.126
YT.MECK.,-75.281,-72.185,120.033,1510.389,1522.989,1526.729,5.000,0.581,0.470,0.483,0.497,0.488
ZD.FN13.,-12.042,-75.321,140.312,1635.689,1664.438,1673.443,6.000,0.298,0.390,0.390,0.386,0.388
ZD.FS06.,-13.667,-73.312,142.603,1649.009,1680.010,1689.795,7.000,0.423,0.306,0.280,0.304,0.296
PR.EMPR.,18.477,-66.529,131.418,1582.380,1603.199,1609.520,8.000,0.055,-0.091,-0.096,-0.098,-0.097
YZ.HRIU.,10.516,-85.750,121.769,1521.641,1535.347,1539.424,9.000,0.389,0.404,0.411,0.421,0.419
CX.PB11.,-19.761,-69.656,146.985,1673.992,1709.537,1720.923,10.000,0.360,0.461,0.495,0.492,0.462
ZD.FM06.,-13.350,-74.463,141.442,1642.279,1672.129,1681.513,11.000,0.100,0.284,0.324,0.317,0.289
ZD.FM1A.,-14.120,-75.560,140.573,1637.219,1666.221,1675.313,12.000,0.142,0.341,0.353,0.333,0.337
PR.MTP.,18.097,-65.553,132.317,1587.888,1609.447,1616.013,13.000,0.117,-0.007,-0.008,-0.007,-0.007
ZD.FN12.,-11.803,-75.596,139.990,1633.803,1662.244,1671.142,14.000,0.314,0.443,0.482,0.467,0.440
IB.M202.,32.922,-5.514,121.374,1519.091,1532.540,1536.540,15.000,0.535,0.602,0.598,0.578,0.583
ZD.FN01.,-11.908,-76.664,139.007,1628.029,1655.536,1664.114,16.000,0.497,0.455,0.459,0.459,0.457
GT.DBIC.00,6.670,-4.857,141.206,1640.912,1670.530,1679.835,17.000,0.078,0.095,0.084,0.075,0.082
CX.PB10.,-23.513,-70.554,146.240,1669.789,1704.543,1715.647,18.000,0.263,0.291,0.308,0.309,0.290
G.MPG.00,5.110,-52.644,150.336,1692.693,1731.886,1744.600,19.000,0.064,0.214,0.217,0.211,0.210
ZD.FN10.,-10.946,-75.228,140.108,1634.496,1663.049,1671.987,20.000,0.194,0.103,0.146,0.119,0.103
IB.M213.,32.213,-8.555,123.312,1531.553,1546.286,1550.679,21.000,0.456,0.417,0.413,0.404,0.406
MC.GERD.,16.795,-62.194,135.371,1606.394,1630.569,1638.017,22.000,0.061,0.074,0.075,0.075,0.075
CX.PB08.,-20.141,-69.153,147.481,1676.783,1712.858,1724.435,23.000,0.510,0.455,0.434,0.459,0.456
XB.PM23.,33.128,-5.030,120.981,1516.547,1529.745,1533.667,24.000,0.458,0.538,0.541,0.550,0.544
MC.OLV2.,16.750,-62.228,135.386,1606.482,1630.670,1638.122,25.000,0.039,0.064,0.064,0.062,0.062
ZD.FM05.,-13.359,-74.857,141.070,1640.119,1669.605,1678.864,26.000,0.266,0.150,0.104,0.126,0.147
PR.OBIP.,18.043,-66.606,131.692,1584.061,1605.104,1611.499,27.000,0.038,0.032,0.034,0.034,0.033
IB.M211.,30.923,-7.245,123.850,1534.992,1550.093,1554.600,28.000,0.604,0.659,0.656,0.646,0.653
XK.B08TS.,-20.164,22.459,126.391,1551.106,1568.019,1573.090,29.000,0.017,0.005,0.016,0.014,0.012
XB.PM30A.,31.823,-4.272,121.712,1521.273,1534.941,1539.007,30.000,0.557,0.547,0.542,0.541,0.545
CX.PSGCX.,-19.597,-70.123,146.534,1671.449,1706.514,1717.729,31.000,0.383,0.375,0.377,0.376,0.376
G.HDC.00,10.002,-84.111,123.422,1532.259,1547.066,1551.483,32.000,0.310,0.262,0.255,0.120,0.255
C.GO06.,-39.584,-71.472,142.042,1645.762,1676.203,1685.794,33.000,0.413,0.275,0.315,0.312,0.276
C.GO07.,-43.114,-73.664,139.125,1628.720,1656.336,1664.953,34.000,0.225,0.212,0.232,0.230,0.214
XB.PM34.,31.291,-4.107,122.071,1523.588,1537.492,1541.630,35.000,0.614,0.588,0.585,0.577,0.580
IB.M019.,31.938,-4.456,121.705,1521.229,1534.893,1538.957,36.000,0.664,0.714,0.707,0.679,0.688
XB.PM28.,32.232,-4.617,121.538,1520.145,1533.700,1537.732,37.000,0.526,0.561,0.564,0.546,0.549
CX.MNMCX.,-19.131,-69.596,146.991,1674.028,1709.580,1720.969,38.000,0.431,0.384,0.304,0.354,0.384
AF.EKNA.,4.234,9.328,131.014,1579.894,1600.385,1606.598,39.000,0.221,0.196,0.189,0.194,0.195
IB.M310.,31.239,-6.095,123.056,1529.918,1544.478,1548.818,40.000,0.574,0.579,0.579,0.578,0.579
XK.B14MH.,-18.295,21.792,126.706,1553.092,1570.239,1575.383,41.000,0.699,0.684,0.688,0.692,0.690
GT.LPAZ.00,-16.288,-68.131,148.022,1679.817,1716.474,1728.261,42.000,0.616,0.705,0.722,0.729,0.708
PR.AOPR.,18.347,-66.754,131.373,1582.100,1602.882,1609.191,43.000,0.166,0.076,0.074,0.074,0.074
G.PEL.00,-33.144,-70.675,144.742,1661.286,1694.469,1705.017,44.000,0.391,0.298,0.383,0.363,0.310
CX.PB09.,-21.796,-69.242,147.459,1676.659,1712.711,1724.279,45.000,0.145,0.307,0.415,0.372,0.308
G.TAM.00,22.791,5.528,122.909,1528.975,1543.435,1547.745,46.000,0.356,0.362,0.361,0.363,0.363
C.GO01.,-19.669,-69.194,147.411,1676.394,1712.395,1723.945,47.000,0.365,0.365,0.432,0.404,0.378
XK.B1665.,-22.825,27.229,122.395,1525.670,1539.787,1543.991,48.000,0.613,0.702,0.623,0.669,0.671
PM.ROSA.,38.721,-28.247,122.296,1525.035,1539.087,1543.270,49.000,-0.043,-0.055,-0.056,-0.015,-0.027
PR.AUA1.,12.506,-70.011,133.233,1593.469,1615.795,1622.618,50.000,0.287,0.273,0.280,0.280,0.280
CX.PB16.,-18.335,-69.508,146.996,1674.053,1709.610,1721.000,51.000,0.271,0.257,0.253,0.250,0.258
CX.PB06.,-22.706,-69.572,147.156,1674.956,1710.684,1722.136,52.000,0.069,0.222,0.358,0.294,0.222
ZD.FS12.,-12.830,-71.364,144.249,1658.472,1691.145,1701.515,53.000,0.239,0.089,0.115,0.114,0.091
C.GO05.,-35.010,-71.930,143.232,1652.637,1684.272,1694.278,54.000,0.318,0.242,0.262,0.266,0.244
PR.ICMP.,17.886,-66.527,131.859,1585.083,1606.263,1612.703,55.000,0.240,0.203,0.198,0.180,0.181
PM.PMOZ.,32.823,-17.197,125.871,1547.828,1564.360,1569.313,56.000,0.024,0.112,0.119,0.145,0.140
PR.ABVI.,18.730,-64.333,132.585,1589.525,1611.307,1617.948,57.000,0.028,0.153,0.151,0.150,0.151
XK.B13NX.,-18.579,21.994,126.566,1552.210,1569.253,1574.365,58.000,0.671,0.600,0.593,0.602,0.600
IB.M204.,30.865,-9.047,124.690,1540.347,1556.034,1560.724,59.000,0.412,0.500,0.503,0.516,0.514
YZ.MANS.,10.099,-85.381,122.292,1525.008,1539.057,1543.240,60.000,0.232,0.253,0.250,0.252,0.255
ZD.FM01.,-13.073,-76.334,139.605,1631.545,1659.618,1668.390,61.000,0.232,0.328,0.362,0.343,0.332
ZD.FM07.,-13.170,-74.228,141.622,1643.328,1673.355,1682.801,62.000,0.389,0.453,0.434,0.442,0.458
YZ.INDI.,9.865,-85.502,122.304,1525.086,1539.143,1543.328,63.000,0.156,0.340,0.345,0.358,0.356
PR.AGPR.,18.467,-67.111,131.055,1580.149,1600.673,1606.897,64.000,0.110,0.050,0.048,0.044,0.044
YZ.SARO.,10.843,-85.616,121.720,1521.324,1534.998,1539.066,65.000,0.097,0.305,0.287,0.284,0.290
YZ.JUDI.,10.166,-85.539,122.124,1523.926,1537.863,1542.012,66.000,0.253,0.376,0.369,0.370,0.372
PR.CUPR.,18.307,-65.283,132.327,1587.946,1609.513,1616.081,67.000,0.134,0.095,0.094,0.094,0.094
CX.PB03.,-22.048,-69.753,146.988,1674.009,1709.557,1720.944,68.000,0.273,0.374,0.447,0.428,0.373
XB.PM33A.,31.414,-4.290,122.059,1523.507,1537.401,1541.537,69.000,0.592,0.568,0.565,0.553,0.556
ZD.FS05.,-13.879,-72.878,143.061,1651.651,1683.113,1693.058,70.000,0.395,0.393,0.344,0.375,0.388
XK.B04KH.,-20.474,24.514,124.535,1539.359,1554.936,1559.592,71.000,0.731,0.700,0.669,0.706,0.706
IB.M212.,33.364,-6.668,121.513,1519.987,1533.527,1537.553,72.000,0.484,0.496,0.496,0.503,0.502
CX.PB05.,-22.853,-70.202,146.573,1671.673,1706.780,1718.010,73.000,0.499,0.319,0.370,0.347,0.319
PR.CDVI.,17.752,-64.765,133.069,1592.472,1614.660,1621.436,74.000,-0.061,0.134,0.131,0.129,0.130
IB.RBA.,34.007,-6.839,121.037,1516.908,1530.141,1534.074,75.000,0.662,0.733,0.730,0.718,0.724
XK.B07DX.,-20.549,22.749,126.179,1549.775,1566.533,1571.555,76.000,0.737,0.568,0.614,0.595,0.592
AF.SWZ.,-27.182,25.332,124.600,1539.771,1555.395,1560.064,77.000,0.507,0.523,0.511,0.522,0.523
C.GO04.,-30.173,-70.799,145.310,1664.515,1698.289,1709.046,78.000,0.013,0.170,0.151,0.152,0.169
AI.ESPZ.04,-63.398,-56.996,132.734,1590.432,1612.338,1619.020,79.000,0.166,0.192,0.222,0.232,0.218
ZD.FS09.,-12.974,-71.425,144.227,1658.345,1690.996,1701.358,80.000,-0.033,-0.011,-0.012,-0.012,-0.011
MC.TRNT.,16.764,-62.163,135.413,1606.649,1630.861,1638.322,81.000,0.045,0.027,0.028,0.028,0.028
PR.IGPR.,17.965,-66.107,132.067,1586.359,1607.711,1614.208,82.000,0.106,0.044,0.046,0.051,0.050
ZD.FS04.,-14.205,-73.345,142.690,1649.511,1680.599,1690.414,83.000,0.442,0.152,0.086,0.115,0.147
XB.PM24.,32.995,-4.898,121.032,1516.874,1530.104,1534.036,84.000,0.438,0.465,0.466,0.467,0.468
XK.B02LT.,-21.393,25.581,123.692,1533.988,1548.980,1553.454,85.000,0.655,0.747,0.702,0.736,0.734
G.FDF.00,14.735,-61.146,137.609,1619.757,1645.959,1654.094,86.000,0.251,0.308,0.307,0.306,0.306
IU.LCO.,-29.011,-70.700,145.598,1666.154,1700.232,1711.096,87.000,0.447,0.499,0.550,0.529,0.503
IB.M208.,29.578,-10.032,126.229,1550.089,1566.884,1571.918,88.000,0.527,0.605,0.606,0.601,0.605
NU.MASN.,11.989,-86.158,120.684,1514.620,1527.628,1531.492,89.000,0.078,-0.033,0.024,0.027,0.024
XB.PM32.,31.568,-4.191,121.884,1522.382,1536.163,1540.264,90.000,0.549,0.561,0.560,0.557,0.562
XB.PM22B.,33.308,-5.102,120.864,1515.784,1528.907,1532.806,91.000,0.566,0.517,0.515,0.515,0.513
CX.PB07.,-21.727,-69.886,146.859,1673.285,1708.696,1720.035,92.000,0.546,0.510,0.558,0.544,0.511
IB.M206.,32.801,-6.578,121.953,1522.827,1536.652,1540.767,93.000,0.601,0.580,0.575,0.544,0.556
ZD.FM04.,-13.604,-75.354,140.655,1637.695,1666.776,1675.895,94.000,0.273,0.649,0.660,0.661,0.649
GT.CPUP.00,-26.331,-57.331,157.731,1732.655,1780.467,1796.409,95.000,0.676,0.744,0.796,0.790,0.750
AI.ORCD.04,-60.738,-44.736,137.323,1618.060,1643.999,1652.044,96.000,0.325,0.339,0.345,0.345,0.345
AW.VNA1.,-70.690,-8.276,125.646,1546.408,1562.777,1567.679,97.000,0.080,0.074,0.075,0.074,0.074
C.GO09.,-51.271,-72.338,135.953,1609.888,1634.581,1642.205,98.000,0.098,0.240,0.240,0.238,0.242
AF.CVNA.,-31.482,19.762,129.595,1571.125,1590.484,1596.328,99.000,0.637,0.622,0.548,0.584,0.595
IB.M205.,32.377,-6.319,122.198,1524.405,1538.391,1542.555,100.000,0.595,0.586,0.582,0.578,0.582
CX.PB01.,-21.043,-69.487,147.211,1675.268,1711.055,1722.528,101.000,0.356,0.568,0.667,0.620,0.568
GT.PLCA.00,-40.733,-70.551,142.223,1646.812,1677.433,1687.086,102.000,0.226,0.326,0.344,0.356,0.328
NU.MATN.,12.930,-85.925,120.398,1512.764,1525.592,1529.402,103.000,-0.032,0.145,0.151,0.154,0.154
C.GO02.,-25.163,-69.590,147.037,1674.288,1709.889,1721.296,104.000,0.378,0.223,0.108,0.156,0.223
YZ.ARDO.,10.214,-85.596,122.051,1523.455,1537.345,1541.479,105.000,0.342,0.400,0.378,0.383,0.388
NU.BLUN.,11.994,-83.772,122.681,1527.507,1541.814,1546.076,106.000,0.124,0.130,0.289,0.289,0.291
PR.PCDR.,18.514,-68.381,130.200,1574.875,1594.713,1600.712,107.000,0.099,0.215,0.219,0.225,0.224
IB.M301.,32.473,-7.856,122.791,1528.214,1542.595,1546.880,108.000,0.055,0.064,0.063,0.057,0.060
ZD.FM03.,-13.723,-75.890,140.174,1634.885,1663.502,1672.461,109.000,0.268,0.419,0.386,0.386,0.403
YZ.SAJU.,10.067,-85.711,122.026,1523.295,1537.168,1541.297,110.000,0.194,0.485,0.478,0.486,0.488
G.SPB.00,-23.593,-47.427,167.113,1780.865,1840.673,1861.257,111.000,0.635,0.630,0.692,0.674,0.638
ZD.FS6A.,-13.493,-72.933,142.923,1650.854,1682.176,1692.073,112.000,0.509,0.307,0.335,0.334,0.308
CX.PB14.,-24.626,-70.404,146.335,1670.326,1705.181,1716.321,113.000,0.173,0.160,0.157,0.170,0.160
NU.MGAN.,12.149,-86.248,120.526,1513.598,1526.507,1530.341,114.000,0.007,0.035,0.034,0.034,0.035
XB.PM26.,32.525,-4.566,121.270,1518.417,1531.799,1535.778,115.000,0.468,0.472,0.473,0.484,0.477
C.GO08.,-48.465,-72.557,137.330,1618.100,1644.045,1652.092,116.000,0.312,0.264,0.276,0.289,0.267
XB.PM31A.,32.719,-4.739,121.189,1517.894,1531.224,1535.187,117.000,0.481,0.473,0.467,0.454,0.458
NU.ESPN.,12.195,-84.300,122.135,1523.999,1537.944,1542.096,118.000,0.330,0.434,0.416,0.418,0.423
XK.B10PP.,-18.913,22.543,126.111,1549.344,1566.052,1571.059,119.000,0.738,0.639,0.641,0.648,0.646
XK.B15MW.,-19.631,23.827,125.036,1542.540,1558.472,1563.237,120.000,0.712,0.685,0.696,0.702,0.698
AI.JUBA.04,-62.237,-58.663,133.344,1594.143,1616.563,1623.417,121.000,0.270,0.234,0.249,0.251,0.245
G.COYC.10,-45.573,-72.081,139.044,1628.246,1655.787,1664.378,122.000,0.249,0.269,0.276,0.276,0.278
AF.YNDE.,3.870,11.456,129.327,1569.462,1588.611,1594.388,123.000,0.016,0.011,0.011,0.011,0.011
XK.B05MO.,-20.218,24.132,124.848,1541.348,1557.146,1561.870,124.000,0.750,0.694,0.704,0.712,0.709
ZD.FS11.,-13.056,-71.544,144.134,1657.814,1690.369,1700.697,125.000,0.148,0.103,0.272,0.206,0.120
ZD.FM02.,-13.499,-76.060,139.963,1633.648,1662.063,1670.952,126.000,0.259,0.330,0.309,0.311,0.327
IB.M218.,31.547,-5.551,122.546,1526.642,1540.859,1545.094,127.000,0.543,0.588,0.592,0.602,0.600
PR.STVI.,18.352,-64.956,132.494,1588.968,1610.674,1617.289,128.000,0.217,0.102,0.103,0.113,0.113
AW.VNA3.,-71.242,-9.666,125.398,1544.839,1561.030,1565.876,129.000,0.544,0.568,0.577,0.570,0.569
ZD.FS1A.,-14.645,-75.061,141.155,1640.615,1670.184,1679.471,130.000,0.384,0.415,0.408,0.408,0.403
