evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected
20130514_0032,18.67,145.35,604.7,XB.PM21.,33.721,-5.32,120.615,1514.172,1527.137,1530.988,0.0,3.613,0.366,0.375,0.373,0.371,0.371,-1.8,-1.3,0.381,0.311,-0.7,0.547,0.547,-1.7,0.473,0.547,-1.7,0.478,0.547,-1.8,0.505,0.547,-1.7,0.496,0.547,0
20130514_0032,18.67,145.35,604.7,AI.SMAI.04,-68.13,-67.106,126.502,1551.81,1568.805,1573.902,1.0,0.728,0.252,0.133,0.118,0.11,0.119,-1.9,-1.3,0.802,0.743,-1.9,0.586,0.586,-2.0,0.544,0.586,-2.4,0.569,0.586,-2.3,0.571,0.586,-2.2,0.561,0.586,0
20130514_0032,18.67,145.35,604.7,PR.CRPR.,18.006,-67.11,131.396,1582.244,1603.045,1609.36,2.0,2.563,0.088,0.346,0.341,0.345,0.344,-4.7,-4.8,0.721,0.816,2.5,0.636,0.636,0.2,0.804,0.636,0.0,0.844,0.636,-0.1,0.874,0.636,-0.1,0.869,0.636,0
20130514_0032,18.67,145.35,604.7,ZD.FN08.,-11.223,-75.504,139.923,1633.411,1661.788,1670.664,3.0,2.575,0.302,0.407,0.407,0.413,0.409,0.3,0.5,0.843,0.791,0.2,0.614,0.614,-0.8,0.741,0.614,-1.1,0.719,0.614,-0.9,0.736,0.614,-0.8,0.738,0.614,0
20130514_0032,18.67,145.35,604.7,ZD.FS02.,-14.385,-73.961,142.143,1646.352,1676.894,1686.52,4.0,1.741,0.298,0.133,0.107,0.109,0.126,-0.8,-4.6,0.795,-0.912,-0.7,0.603,0.603,-2.5,0.724,0.603,-2.9,0.76,0.603,-2.7,0.748,0.603,-2.6,0.732,0.603,0
20130514_0032,18.67,145.35,604.7,YT.MECK.,-75.281,-72.185,120.033,1510.389,1522.989,1526.729,5.0,2.426,0.581,0.47,0.483,0.497,0.488,-0.3,-0.3,0.57,0.638,-0.1,0.917,0.917,-0.1,0.846,0.917,-0.3,0.842,0.917,-0.1,0.86,0.917,-0.1,0.863,0.917,0
20130514_0032,18.67,145.35,604.7,ZD.FN13.,-12.042,-75.321,140.312,1635.689,1664.438,1673.443,6.0,2.941,0.298,0.39,0.39,0.386,0.388,1.0,1.1,0.86,0.858,0.8,0.486,0.486,-0.1,0.637,0.486,-0.4,0.573,0.486,-0.2,0.597,0.486,-0.1,0.626,0.486,0
20130514_0032,18.67,145.35,604.7,ZD.FS06.,-13.667,-73.312,142.603,1649.009,1680.01,1689.795,7.0,2.618,0.423,0.306,0.28,0.304,0.296,-0.4,-4.5,0.73,-0.655,-0.4,0.767,0.767,-2.5,0.585,0.767,-2.7,0.717,0.767,-2.6,0.692,0.767,-2.6,0.607,0.767,0
20130514_0032,18.67,145.35,604.7,PR.EMPR.,18.477,-66.529,131.418,1582.38,1603.199,1609.52,8.0,1.364,0.055,-0.091,-0.096,-0.098,-0.097,5.7,-4.3,0.645,-0.304,-1.0,0.67,0.67,-3.5,0.687,0.67,-3.6,0.693,0.67,-3.6,0.693,0.67,-3.6,0.691,0.67,0
20130514_0032,18.67,145.35,604.7,YZ.HRIU.,10.516,-85.75,121.769,1521.641,1535.347,1539.424,9.0,1.854,0.389,0.404,0.411,0.421,0.419,-0.2,0.1,0.8,0.729,0.9,0.598,0.598,-0.8,0.824,0.598,-1.0,0.862,0.598,-0.8,0.861,0.598,-0.8,0.852,0.598,0
