evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected
20140504_0915,-24.67,179.12,529.6,Y6.HOLY.,46.526,-66.464,124.148,1549.924,1565.034,1569.539,0.0,1.344,0.157,0.151,0.167,0.155,0.153,0.9,1.5,0.756,0.68,1.1,0.75,0.75,0.7,0.7,0.75,0.1,0.704,0.75,0.5,0.707,0.75,0.5,0.702,0.75,0
20140504_0915,-24.67,179.12,529.6,YB.AT41.,38.468,33.245,148.064,1693.273,1729.697,1741.386,1.0,1.208,0.115,0.227,0.234,0.232,0.231,-0.1,0.1,0.649,0.616,-0.3,0.431,0.431,4.8,0.5,0.431,5.0,0.432,0.431,0.0,0.439,0.431,4.9,0.45,0.431,0
20140504_0915,-24.67,179.12,529.6,NO.NC303.00,61.225,11.369,142.497,1661.578,1692.21,1701.855,2.0,2.062,0.147,0.047,0.044,0.043,0.045,-5.8,2.1,0.439,-0.829,-6.2,0.493,0.493,-2.2,0.447,0.493,-2.4,0.463,0.493,-2.4,0.465,0.493,-2.3,0.464,0.493,0
20140504_0915,-24.67,179.12,529.6,IV.SGRT.,41.755,15.744,158.054,1747.659,1795.564,1811.524,3.0,1.555,0.23,0.099,0.091,0.085,0.091,2.6,-2.5,0.571,-0.815,-1.0,0.478,0.478,-1.6,0.688,0.478,-1.8,0.662,0.478,-1.9,0.635,0.478,-1.8,0.663,0.478,0
20140504_0915,-24.67,179.12,529.6,IV.MA9.,41.77,12.659,159.547,1755.51,1805.251,1821.905,4.0,1.31,-0.125,-0.014,-0.006,0.002,-0.008,-5.5,-2.0,0.385,-0.706,-4.3,0.683,0.683,-4.5,0.735,0.683,-4.7,0.729,0.683,-4.8,0.726,0.683,-4.7,0.731,0.683,0
20140504_0915,-24.67,179.12,529.6,GB.BIGH.,58.493,-3.91,146.109,1682.252,1716.592,1727.536,5.0,0.712,0.241,0.097,0.108,0.112,0.107,-2.0,3.7,0.572,-0.738,0.3,0.728,0.728,2.8,0.607,0.728,2.5,0.566,0.728,2.3,0.576,0.728,2.5,0.597,0.728,0
20140504_0915,-24.67,179.12,529.6,OE.KBA.,47.078,13.345,154.893,1730.792,1774.914,1789.449,6.0,0.873,0.147,0.116,0.112,0.117,0.118,-7.6,-0.7,0.231,-0.978,7.2,0.562,0.562,6.7,0.596,0.562,6.8,0.582,0.562,6.8,0.567,0.562,6.7,0.583,0.562,0
20140504_0915,-24.67,179.12,529.6,YB.AT20.,39.364,34.157,147.137,1688.066,1723.497,1734.83,7.0,0.342,0.041,0.045,0.045,0.045,0.045,-0.1,3.6,0.901,0.995,-0.1,0.146,0.146,-1.4,0.385,0.146,-0.9,0.46,0.146,-1.1,0.448,0.146,-1.3,0.42,0.146,0
20140504_0915,-24.67,179.12,529.6,IV.IFIL.,38.564,14.575,160.917,1762.653,1814.11,1831.416,8.0,0.687,0.136,0.06,0.051,0.046,0.053,-5.5,1.9,0.651,0.399,-0.2,0.408,0.408,-8.1,0.223,0.408,-8.6,0.235,0.408,-8.5,0.25,0.408,-8.3,0.237,0.408,0
20140504_0915,-24.67,179.12,529.6,GB.ELSH.,51.148,1.135,153.477,1723.139,1765.609,1779.523,9.0,0.694,0.073,-0.079,-0.081,-0.083,-0.081,-3.7,-3.2,0.336,0.56,0.1,0.496,0.496,8.9,0.372,0.496,8.8,0.381,0.496,8.7,0.386,0.496,8.7,0.383,0.496,0
20140504_0915,-24.67,179.12,529.6,CH.PANIX.,46.826,9.112,156.453,1739.155,1785.125,1800.356,10.0,1.893,0.222,-0.017,-0.006,0.001,-0.01,-0.7,-4.3,0.41,-0.574,-1.4,0.68,0.68,-3.9,0.665,0.68,-3.9,0.659,0.68,-3.9,0.637,0.68,-3.9,0.654,0.68,0
20140504_0915,-24.67,179.12,529.6,GE.KARP.,35.547,27.161,153.539,1723.479,1766.022,1779.962,11.0,1.511,0.157,0.13,0.137,0.137,0.134,4.4,0.8,0.446,-0.266,-3.8,0.523,0.523,-3.0,0.501,0.523,-3.0,0.452,0.523,-3.1,0.475,0.523,-3.0,0.486,0.523,0
