station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
LD.PAL.,41.006,-73.908,129.724,1570.345,1589.835,1595.722,0.000,0.483,0.530,0.533,0.505,0.503
NE.HNH.,43.705,-72.286,127.641,1557.376,1575.254,1580.627,1.000,0.222,0.208,0.213,0.242,0.240
NE.EMMW.,44.710,-67.458,127.678,1557.603,1575.508,1580.891,2.000,0.346,0.338,0.345,0.365,0.363
X4.GC09.,29.213,-97.293,126.892,1552.682,1569.994,1575.191,3.000,0.422,0.451,0.464,0.475,0.466
XH.ESP02.01,-29.456,-64.051,156.174,1722.774,1768.746,1783.997,4.000,0.516,0.409,0.419,0.433,0.433
US.LONY.,44.620,-74.583,126.195,1548.295,1565.091,1570.126,5.000,0.400,0.390,0.394,0.400,0.398
TA.236A.,32.000,-96.531,125.736,1545.394,1561.854,1566.785,6.000,0.564,0.522,0.536,0.540,0.533
TA.Y39A.,33.938,-94.094,126.061,1547.449,1564.147,1569.151,7.000,0.399,0.342,0.331,0.320,0.323
CX.PB11.,-19.761,-69.656,161.785,1752.212,1805.117,1822.999,8.000,0.641,0.499,0.530,0.548,0.520
Z9.W10.,31.903,-83.894,133.445,1593.173,1615.710,1622.604,9.000,0.301,0.443,0.441,0.438,0.438
TA.339A.,31.333,-94.556,127.462,1556.253,1573.995,1579.326,10.000,0.033,0.016,0.016,0.016,0.016
XY.U65B.,-34.964,-71.789,148.454,1680.634,1717.795,1729.767,11.000,0.501,0.516,0.527,0.538,0.541
TA.134A.,32.573,-98.079,124.349,1536.600,1552.073,1556.697,12.000,0.628,0.616,0.639,0.642,0.639
GE.BOAB.,12.449,-85.666,145.336,1663.066,1696.903,1707.683,13.000,0.035,0.049,0.041,0.041,0.041
TA.637A.,29.439,-96.332,127.432,1556.069,1573.788,1579.112,14.000,0.429,0.418,0.430,0.436,0.435
TA.432A.,30.875,-99.794,124.165,1535.428,1550.773,1555.357,15.000,0.691,0.699,0.705,0.705,0.702
YM.V04.,-39.388,-71.941,144.503,1658.319,1691.288,1701.763,16.000,0.003,0.109,0.101,0.088,0.089
IU.BBSR.10,32.371,-64.696,140.183,1633.340,1661.999,1670.974,17.000,0.252,0.307,0.321,0.368,0.360
TA.ABTX.,32.624,-99.643,123.260,1529.645,1544.368,1548.759,18.000,0.628,0.621,0.628,0.632,0.627
TA.239A.,32.018,-94.471,127.078,1553.848,1571.300,1576.541,19.000,0.518,0.434,0.432,0.424,0.424
X4.GC20.,30.310,-98.404,125.469,1543.705,1559.973,1564.844,20.000,0.320,0.319,0.316,0.315,0.315
Z9.W15B.,32.138,-83.898,133.259,1592.043,1614.421,1621.263,21.000,0.380,0.400,0.392,0.387,0.384
LD.FOR.,40.860,-73.885,129.865,1571.217,1590.817,1596.740,22.000,0.393,0.441,0.441,0.413,0.418
TA.R37A.,38.313,-94.829,122.674,1525.887,1540.215,1544.484,23.000,0.518,0.449,0.459,0.466,0.470
CX.PSGCX.,-19.597,-70.123,161.578,1751.143,1803.784,1821.564,24.000,0.350,0.357,0.368,0.378,0.361
TA.V30A.,35.762,-100.689,120.709,1513.210,1526.258,1530.135,25.000,0.433,0.434,0.440,0.438,0.439
TA.933A.,27.613,-99.275,126.366,1549.368,1566.290,1571.365,26.000,0.386,0.486,0.486,0.487,0.488
TA.MSTX.,33.970,-102.772,120.345,1510.845,1523.662,1527.469,27.000,0.391,0.392,0.398,0.405,0.405
YZ.POPE.,10.063,-85.263,146.891,1671.862,1707.343,1718.708,28.000,0.471,0.407,0.407,0.412,0.409
PE.PSUB.,39.927,-75.451,130.239,1573.527,1593.425,1599.444,29.000,0.407,0.423,0.427,0.414,0.408
TA.T35A.,36.916,-96.512,122.617,1525.520,1539.809,1544.066,30.000,0.406,0.443,0.469,0.480,0.480
TA.N34A.,40.838,-96.501,120.013,1508.687,1521.297,1525.041,31.000,0.382,0.323,0.326,0.328,0.327
NM.PBMO.,36.778,-90.430,126.228,1548.499,1565.319,1570.362,32.000,0.514,0.456,0.452,0.445,0.444
CX.PB09.,-21.796,-69.242,160.571,1745.927,1797.293,1814.587,33.000,0.277,0.294,0.325,0.347,0.330
