evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20100729_0732,6.690,123.410,614.000,LD.PAL.,41.006,-73.908,129.724,1570.345,1589.835,1595.722,0.000,3.788,0.483,0.530,0.533,0.505,0.503,0.400,0.700,0.901,0.908,-1.400,0.838,0.838,-0.800,0.822,0.838,-0.800,0.828,0.838,-1.200,0.799,0.838,-1.200,0.799,0.838
20100729_0732,6.690,123.410,614.000,NE.HNH.,43.705,-72.286,127.641,1557.376,1575.254,1580.627,1.000,1.916,0.222,0.208,0.213,0.242,0.240,0.600,0.600,0.657,0.521,6.700,0.414,0.414,7.000,0.444,0.414,6.900,0.447,0.414,7.100,0.447,0.414,7.100,0.447,0.414
20100729_0732,6.690,123.410,614.000,NE.EMMW.,44.710,-67.458,127.678,1557.603,1575.508,1580.891,2.000,1.702,0.346,0.338,0.345,0.365,0.363,-4.200,2.000,0.543,0.384,1.600,0.657,0.657,1.700,0.646,0.657,1.700,0.649,0.657,1.400,0.684,0.657,1.400,0.676,0.657
20100729_0732,6.690,123.410,614.000,X4.GC09.,29.213,-97.293,126.892,1552.682,1569.994,1575.191,3.000,3.064,0.422,0.451,0.464,0.475,0.466,1.000,1.100,0.656,0.646,0.500,0.652,0.652,0.500,0.657,0.652,0.200,0.654,0.652,0.200,0.655,0.652,0.200,0.656,0.652
20100729_0732,6.690,123.410,614.000,XH.ESP02.01,-29.456,-64.051,156.174,1722.774,1768.746,1783.997,4.000,2.492,0.516,0.409,0.419,0.433,0.433,1.400,1.300,0.818,0.826,1.000,0.917,0.917,1.300,0.753,0.917,1.200,0.757,0.917,0.800,0.784,0.917,0.800,0.780,0.917
20100729_0732,6.690,123.410,614.000,US.LONY.,44.620,-74.583,126.195,1548.295,1565.091,1570.126,5.000,2.766,0.400,0.390,0.394,0.400,0.398,0.000,0.000,0.836,0.785,-0.100,0.673,0.673,0.200,0.728,0.673,0.100,0.725,0.673,0.000,0.706,0.673,-0.100,0.710,0.673
20100729_0732,6.690,123.410,614.000,TA.236A.,32.000,-96.531,125.736,1545.394,1561.854,1566.785,6.000,3.763,0.564,0.522,0.536,0.540,0.533,1.100,4.300,0.770,-0.863,0.600,0.818,0.818,0.600,0.804,0.818,0.400,0.805,0.818,0.300,0.808,0.818,0.400,0.807,0.818
20100729_0732,6.690,123.410,614.000,TA.Y39A.,33.938,-94.094,126.061,1547.449,1564.147,1569.151,7.000,3.986,0.399,0.342,0.331,0.320,0.323,-0.100,-0.300,0.552,0.620,-0.400,0.407,0.407,-0.500,0.312,0.407,-0.600,0.307,0.407,-0.600,0.312,0.407,-0.600,0.314,0.407
20100729_0732,6.690,123.410,614.000,CX.PB11.,-19.761,-69.656,161.785,1752.212,1805.117,1822.999,8.000,4.744,0.641,0.499,0.530,0.548,0.520,0.700,0.700,0.740,0.737,1.100,0.897,0.897,0.100,0.905,0.897,0.000,0.911,0.897,0.000,0.916,0.897,0.000,0.910,0.897
20100729_0732,6.690,123.410,614.000,Z9.W10.,31.903,-83.894,133.445,1593.173,1615.710,1622.604,9.000,2.258,0.301,0.443,0.441,0.438,0.438,2.800,2.800,0.763,0.838,1.400,0.593,0.593,1.500,0.713,0.593,1.200,0.703,0.593,0.900,0.705,0.593,0.900,0.702,0.593
20100729_0732,6.690,123.410,614.000,TA.339A.,31.333,-94.556,127.462,1556.253,1573.995,1579.326,10.000,2.234,0.033,0.016,0.016,0.016,0.016,8.700,-2.500,0.532,-0.721,8.300,0.325,0.325,8.300,0.296,0.325,8.100,0.291,0.325,7.900,0.295,0.325,8.000,0.295,0.325
20100729_0732,6.690,123.410,614.000,XY.U65B.,-34.964,-71.789,148.454,1680.634,1717.795,1729.767,11.000,1.866,0.501,0.516,0.527,0.538,0.541,0.400,0.900,0.629,0.628,-0.600,0.691,0.691,0.700,0.823,0.691,0.500,0.819,0.691,0.100,0.801,0.691,0.000,0.806,0.691
20100729_0732,6.690,123.410,614.000,TA.134A.,32.573,-98.079,124.349,1536.600,1552.073,1556.697,12.000,8.661,0.628,0.616,0.639,0.642,0.639,1.200,1.200,0.923,0.969,0.600,0.948,0.948,0.600,0.943,0.948,0.500,0.948,0.948,0.500,0.951,0.948,0.400,0.951,0.948
20100729_0732,6.690,123.410,614.000,GE.BOAB.,12.449,-85.666,145.336,1663.066,1696.903,1707.683,13.000,4.864,0.035,0.049,0.041,0.041,0.041,-5.500,-4.400,0.647,0.810,-5.700,0.548,0.548,-5.500,0.479,0.548,-6.100,0.510,0.548,-6.300,0.518,0.548,-6.200,0.520,0.548
20100729_0732,6.690,123.410,614.000,TA.637A.,29.439,-96.332,127.432,1556.069,1573.788,1579.112,14.000,2.013,0.429,0.418,0.430,0.436,0.435,1.000,1.100,0.951,0.942,0.600,0.941,0.941,0.500,0.932,0.941,0.300,0.930,0.941,0.300,0.932,0.941,0.200,0.933,0.941
20100729_0732,6.690,123.410,614.000,TA.432A.,30.875,-99.794,124.165,1535.428,1550.773,1555.357,15.000,5.539,0.691,0.699,0.705,0.705,0.702,0.700,0.600,0.682,0.764,0.200,0.866,0.866,0.300,0.823,0.866,0.100,0.826,0.866,0.100,0.832,0.866,0.200,0.833,0.866
20100729_0732,6.690,123.410,614.000,YM.V04.,-39.388,-71.941,144.503,1658.319,1691.288,1701.763,16.000,0.823,0.003,0.109,0.101,0.088,0.089,5.800,-2.500,0.614,0.687,-3.700,0.710,0.710,-3.700,0.648,0.710,-3.900,0.671,0.710,-4.200,0.702,0.710,-4.200,0.696,0.710
20100729_0732,6.690,123.410,614.000,IU.BBSR.10,32.371,-64.696,140.183,1633.340,1661.999,1670.974,17.000,2.666,0.252,0.307,0.321,0.368,0.360,-5.500,-4.700,0.745,0.619,-4.800,0.510,0.510,-4.200,0.464,0.510,-4.100,0.442,0.510,-0.100,0.550,0.510,-0.100,0.532,0.510
20100729_0732,6.690,123.410,614.000,TA.ABTX.,32.624,-99.643,123.260,1529.645,1544.368,1548.759,18.000,4.927,0.628,0.621,0.628,0.632,0.627,0.300,0.500,0.620,0.595,0.400,0.587,0.587,0.400,0.637,0.587,0.300,0.628,0.587,0.300,0.632,0.587,0.300,0.631,0.587
20100729_0732,6.690,123.410,614.000,TA.239A.,32.018,-94.471,127.078,1553.848,1571.300,1576.541,19.000,2.699,0.518,0.434,0.432,0.424,0.424,3.600,-4.000,0.537,-0.706,1.700,0.402,0.402,-8.400,0.375,0.402,-8.500,0.373,0.402,-8.600,0.370,0.402,-8.600,0.369,0.402
20100729_0732,6.690,123.410,614.000,X4.GC20.,30.310,-98.404,125.469,1543.705,1559.973,1564.844,20.000,1.123,0.320,0.319,0.316,0.315,0.315,7.100,-2.400,0.682,-0.699,6.700,0.490,0.490,6.800,0.451,0.490,6.600,0.447,0.490,6.600,0.447,0.490,6.600,0.448,0.490
20100729_0732,6.690,123.410,614.000,Z9.W15B.,32.138,-83.898,133.259,1592.043,1614.421,1621.263,21.000,3.165,0.380,0.400,0.392,0.387,0.384,1.600,1.400,0.774,0.706,1.500,0.650,0.650,1.100,0.610,0.650,0.800,0.569,0.650,0.400,0.564,0.650,0.300,0.562,0.650
20100729_0732,6.690,123.410,614.000,LD.FOR.,40.860,-73.885,129.865,1571.217,1590.817,1596.740,22.000,2.888,0.393,0.441,0.441,0.413,0.418,-0.100,0.700,0.854,0.747,-1.600,0.651,0.651,-0.900,0.628,0.651,-1.000,0.630,0.651,-1.400,0.588,0.651,-1.300,0.595,0.651
20100729_0732,6.690,123.410,614.000,TA.R37A.,38.313,-94.829,122.674,1525.887,1540.215,1544.484,23.000,6.572,0.518,0.449,0.459,0.466,0.470,1.200,1.200,0.890,0.895,0.900,0.818,0.818,1.200,0.864,0.818,1.200,0.867,0.818,1.200,0.869,0.818,1.100,0.866,0.818
20100729_0732,6.690,123.410,614.000,CX.PSGCX.,-19.597,-70.123,161.578,1751.143,1803.784,1821.564,24.000,5.016,0.350,0.357,0.368,0.378,0.361,2.100,2.100,0.873,0.885,2.400,0.822,0.822,1.700,0.861,0.822,1.600,0.864,0.822,1.500,0.865,0.822,1.700,0.863,0.822
