station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
LD.PAL.,41.006,-73.908,129.395,1574.169,1593.296,1599.064,0.000,0.618,0.649,0.650,0.652,0.647
US.OXF.,34.512,-89.409,128.023,1565.624,1583.692,1589.123,1.000,0.632,0.646,0.644,0.634,0.637
US.WCI.,38.229,-86.294,126.874,1558.422,1575.621,1580.780,2.000,0.587,0.484,0.483,0.489,0.490
US.CBN.,38.205,-77.373,130.761,1582.623,1602.833,1608.952,3.000,0.733,0.727,0.729,0.724,0.726
IM.TX32.,29.334,-103.668,121.712,1525.532,1539.136,1543.181,4.000,0.489,0.460,0.472,0.471,0.478
IU.OTAV.00,0.238,-78.451,156.635,1731.199,1777.585,1792.983,5.000,0.474,0.555,0.633,0.610,0.580
NM.UTMT.,36.350,-88.864,126.981,1559.095,1576.375,1581.558,6.000,0.517,0.585,0.578,0.573,0.577
US.JFWS.,42.914,-90.248,121.350,1523.196,1536.566,1540.540,7.000,0.669,0.633,0.634,0.633,0.634
BL.CAUB.10,-8.177,-36.010,159.996,1748.914,1799.415,1816.371,8.000,0.382,0.431,0.415,0.423,0.426
II.JTS.10,10.291,-84.952,146.562,1675.940,1710.941,1722.129,9.000,0.597,0.428,0.417,0.412,0.426
GT.DBIC.00,6.670,-4.857,127.060,1559.591,1576.929,1582.131,10.000,0.118,0.064,0.085,0.055,0.063
BL.ITPB.00,-15.989,-39.628,161.449,1756.460,1808.792,1826.445,11.000,,,,,
YW.MAIO.,15.231,-23.177,140.537,1641.325,1670.204,1679.250,12.000,0.055,-0.019,-0.018,-0.017,-0.017
IU.CCM.00,38.056,-91.245,124.440,1543.025,1558.467,1563.079,13.000,0.589,0.695,0.695,0.692,0.692
II.SACV.10,14.970,-23.608,141.029,1644.192,1673.548,1682.759,14.000,0.072,-0.061,-0.063,-0.062,-0.060
IU.WVT.,36.130,-87.830,127.700,1563.602,1581.424,1586.777,15.000,0.641,0.668,0.665,0.657,0.655
GE.LVC.00,-22.613,-68.911,160.051,1749.201,1799.771,1816.753,16.000,0.315,0.339,0.381,0.407,0.379
LD.FOR.,40.860,-73.885,129.535,1575.040,1594.278,1600.081,17.000,0.631,0.673,0.672,0.664,0.666
IU.LVC.10,-22.613,-68.911,160.051,1749.201,1799.771,1816.753,18.000,0.319,0.340,0.381,0.407,0.380
NR.NE83.,24.731,-107.739,120.661,1518.732,1531.664,1535.504,19.000,0.231,0.212,0.220,0.214,0.215
US.LTX.,29.334,-103.667,121.712,1525.536,1539.140,1543.186,20.000,0.655,0.591,0.602,0.614,0.610
SP.AGBLF.00,33.395,-81.758,132.946,1596.017,1618.023,1624.735,21.000,0.687,0.781,0.778,0.767,0.763
GT.LPAZ.00,-16.288,-68.131,164.983,1774.536,1831.424,1850.839,22.000,0.569,0.634,0.665,0.675,0.641
BL.TRMB.00,-18.092,-44.929,164.353,1771.340,1827.406,1846.500,23.000,0.477,0.490,0.469,0.460,0.479
BL.NOVB.00,-28.611,-49.558,157.414,1735.337,1782.662,1798.414,24.000,0.494,0.522,0.516,0.499,0.510
NM.PVMO.,36.414,-89.700,126.478,1555.932,1572.839,1577.906,25.000,0.556,0.605,0.599,0.596,0.592
LD.BRNJ.,40.683,-74.566,129.492,1574.773,1593.976,1599.769,26.000,0.680,0.721,0.719,0.701,0.705
BL.IT1.00,-27.308,-52.341,159.274,1745.141,1794.745,1811.359,27.000,0.467,0.490,0.499,0.519,0.521
NM.SLM.,38.636,-90.236,124.557,1543.771,1559.296,1563.933,28.000,0.662,0.736,0.732,0.724,0.730
G.UNM.,19.330,-99.178,130.169,1578.970,1598.708,1604.673,29.000,0.413,0.443,0.410,0.412,0.416
LD.CONY.,42.666,-74.469,127.704,1563.628,1581.453,1586.807,30.000,0.400,0.440,0.436,0.432,0.432
LD.SDMD.,39.410,-76.840,129.888,1577.226,1596.741,1602.633,31.000,0.644,0.653,0.654,0.654,0.650
IM.TX31.,29.334,-103.668,121.712,1525.531,1539.135,1543.180,32.000,0.495,0.462,0.475,0.474,0.481
