evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected
20030526_2313,6.9,123.85,579.7,LD.PAL.,41.006,-73.908,129.395,1574.169,1593.296,1599.064,0.0,4.654,0.618,0.649,0.65,0.652,0.647,0.1,0.1,0.92,0.903,-0.4,0.82,0.82,-0.3,0.828,0.82,-0.4,0.829,0.82,-0.6,0.834,0.82,-0.6,0.833,0.82,1
20030526_2313,6.9,123.85,579.7,US.OXF.,34.512,-89.409,128.023,1565.624,1583.692,1589.123,1.0,5.507,0.632,0.646,0.644,0.634,0.637,0.3,0.3,0.894,0.917,-0.2,0.913,0.913,-0.4,0.881,0.913,-0.5,0.881,0.913,-0.7,0.885,0.913,-0.6,0.884,0.913,1
20030526_2313,6.9,123.85,579.7,US.WCI.,38.229,-86.294,126.874,1558.422,1575.621,1580.78,2.0,3.6,0.587,0.484,0.483,0.489,0.49,0.1,0.4,0.896,0.884,-0.3,0.846,0.846,-0.1,0.847,0.846,-0.2,0.849,0.846,-0.3,0.85,0.846,-0.2,0.85,0.846,0
20030526_2313,6.9,123.85,579.7,US.CBN.,38.205,-77.373,130.761,1582.623,1602.833,1608.952,3.0,6.43,0.733,0.727,0.729,0.724,0.726,0.1,0.4,0.954,0.944,-0.7,0.922,0.922,-0.3,0.933,0.922,-0.4,0.933,0.922,-0.7,0.927,0.922,-0.6,0.928,0.922,1
20030526_2313,6.9,123.85,579.7,IM.TX32.,29.334,-103.668,121.712,1525.532,1539.136,1543.181,4.0,3.062,0.489,0.46,0.472,0.471,0.478,0.1,3.2,0.741,-0.841,-1.6,0.234,0.234,-0.5,0.484,0.234,-0.5,0.47,0.234,-0.5,0.454,0.234,-0.5,0.459,0.234,0
20030526_2313,6.9,123.85,579.7,IU.OTAV.00,0.238,-78.451,156.635,1731.199,1777.585,1792.983,5.0,11.759,0.474,0.555,0.633,0.61,0.58,2.6,2.8,0.89,0.865,2.5,0.774,0.774,2.0,0.757,0.774,0.9,0.77,0.774,1.1,0.769,0.774,1.6,0.742,0.774,0
20030526_2313,6.9,123.85,579.7,NM.UTMT.,36.35,-88.864,126.981,1559.095,1576.375,1581.558,6.0,9.137,0.517,0.585,0.578,0.573,0.577,0.5,4.2,0.814,-0.749,-0.2,0.847,0.847,-0.2,0.829,0.847,-0.3,0.835,0.847,-0.4,0.845,0.847,-0.3,0.843,0.847,0
20030526_2313,6.9,123.85,579.7,US.JFWS.,42.914,-90.248,121.35,1523.196,1536.566,1540.54,7.0,7.413,0.669,0.633,0.634,0.633,0.634,0.5,0.7,0.891,0.904,0.7,0.489,0.489,0.6,0.768,0.489,0.6,0.775,0.489,0.7,0.775,0.489,0.7,0.781,0.489,0
20030526_2313,6.9,123.85,579.7,BL.CAUB.10,-8.177,-36.01,159.996,1748.914,1799.415,1816.371,8.0,8.045,0.382,0.431,0.415,0.423,0.426,-0.4,-4.6,0.738,-0.615,-2.7,0.696,0.696,-2.0,0.752,0.696,-2.0,0.764,0.696,-2.0,0.761,0.696,-2.0,0.757,0.696,0
20030526_2313,6.9,123.85,579.7,II.JTS.10,10.291,-84.952,146.562,1675.94,1710.941,1722.129,9.0,3.927,0.597,0.428,0.417,0.412,0.426,-5.1,-4.7,0.754,0.803,-5.6,0.694,0.694,-0.4,0.608,0.694,-0.6,0.569,0.694,-0.7,0.558,0.694,-0.7,0.57,0.694,0
20030526_2313,6.9,123.85,579.7,GT.DBIC.00,6.67,-4.857,127.06,1559.591,1576.929,1582.131,10.0,1.615,0.118,0.064,0.085,0.055,0.063,-4.3,-3.9,0.585,0.43,-0.2,0.529,0.529,-0.1,0.919,0.529,-0.2,0.631,0.529,-0.6,0.884,0.529,-0.3,0.91,0.529,0
20030526_2313,6.9,123.85,579.7,BL.ITPB.00,-15.989,-39.628,161.449,1756.46,1808.792,1826.445,11.0,0.0,,,,,,-16.0,-8.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,0
20030526_2313,6.9,123.85,579.7,YW.MAIO.,15.231,-23.177,140.537,1641.325,1670.204,1679.25,12.0,0.709,0.055,-0.019,-0.018,-0.017,-0.017,-0.8,3.6,0.346,0.118,9.1,0.507,0.507,6.3,0.338,0.507,6.4,0.36,0.507,6.3,0.366,0.507,6.3,0.361,0.507,0
20030526_2313,6.9,123.85,579.7,IU.CCM.00,38.056,-91.245,124.44,1543.025,1558.467,1563.079,13.0,6.696,0.589,0.695,0.695,0.692,0.692,0.1,0.3,0.913,0.907,-0.5,0.795,0.795,0.0,0.89,0.795,-0.1,0.886,0.795,-0.1,0.873,0.795,-0.1,0.874,0.795,1
20030526_2313,6.9,123.85,579.7,II.SACV.10,14.97,-23.608,141.029,1644.192,1673.548,1682.759,14.0,1.495,0.072,-0.061,-0.063,-0.062,-0.06,8.1,3.5,0.706,-0.877,7.5,0.68,0.68,6.7,0.804,0.68,6.6,0.769,0.68,6.6,0.779,0.68,6.6,0.784,0.68,0
20030526_2313,6.9,123.85,579.7,IU.WVT.,36.13,-87.83,127.7,1563.602,1581.424,1586.777,15.0,14.83,0.641,0.668,0.665,0.657,0.655,0.8,0.9,0.913,0.932,0.3,0.923,0.923,0.1,0.914,0.923,0.0,0.918,0.923,-0.1,0.924,0.923,-0.1,0.923,0.923,1
20030526_2313,6.9,123.85,579.7,GE.LVC.00,-22.613,-68.911,160.051,1749.201,1799.771,1816.753,16.0,2.082,0.315,0.339,0.381,0.407,0.379,1.4,1.7,0.76,0.761,1.1,0.871,0.871,0.0,0.802,0.871,-0.1,0.84,0.871,-0.2,0.856,0.871,0.0,0.849,0.871,0
20030526_2313,6.9,123.85,579.7,LD.FOR.,40.86,-73.885,129.535,1575.04,1594.278,1600.081,17.0,6.271,0.631,0.673,0.672,0.664,0.666,0.4,0.6,0.915,0.896,-0.3,0.893,0.893,-0.2,0.894,0.893,-0.3,0.896,0.893,-0.5,0.901,0.893,-0.4,0.9,0.893,1
20030526_2313,6.9,123.85,579.7,IU.LVC.10,-22.613,-68.911,160.051,1749.201,1799.771,1816.753,18.0,2.087,0.319,0.34,0.381,0.407,0.38,1.4,1.7,0.767,0.766,1.1,0.865,0.865,0.0,0.798,0.865,-0.1,0.835,0.865,-0.2,0.85,0.865,-0.1,0.844,0.865,0
20030526_2313,6.9,123.85,579.7,NR.NE83.,24.731,-107.739,120.661,1518.732,1531.664,1535.504,19.0,2.308,0.231,0.212,0.22,0.214,0.215,2.0,-1.2,0.804,-0.573,1.9,0.454,0.454,1.7,0.452,0.454,1.6,0.489,0.454,1.7,0.492,0.454,1.7,0.487,0.454,0
20030526_2313,6.9,123.85,579.7,US.LTX.,29.334,-103.667,121.712,1525.536,1539.14,1543.186,20.0,3.199,0.655,0.591,0.602,0.614,0.61,-0.1,0.3,0.749,0.766,0.0,0.636,0.636,-0.1,0.798,0.636,-0.1,0.799,0.636,-0.1,0.806,0.636,-0.1,0.802,0.636,0
20030526_2313,6.9,123.85,579.7,SP.AGBLF.00,33.395,-81.758,132.946,1596.017,1618.023,1624.735,21.0,7.245,0.687,0.781,0.778,0.767,0.763,0.5,0.4,0.864,0.839,-0.4,0.942,0.942,-0.2,0.942,0.942,-0.3,0.942,0.942,-0.5,0.94,0.942,-0.5,0.938,0.942,1
20030526_2313,6.9,123.85,579.7,GT.LPAZ.00,-16.288,-68.131,164.983,1774.536,1831.424,1850.839,22.0,15.171,0.569,0.634,0.665,0.675,0.641,0.9,1.1,0.801,0.778,1.0,0.804,0.804,0.8,0.888,0.804,0.6,0.895,0.804,0.5,0.892,0.804,0.8,0.889,0.804,1
20030526_2313,6.9,123.85,579.7,BL.TRMB.00,-18.092,-44.929,164.353,1771.34,1827.406,1846.5,23.0,7.394,0.477,0.49,0.469,0.46,0.479,0.0,0.3,0.969,0.955,-0.3,0.688,0.688,0.1,0.709,0.688,0.0,0.703,0.688,0.0,0.698,0.688,0.1,0.707,0.688,0
20030526_2313,6.9,123.85,579.7,BL.NOVB.00,-28.611,-49.558,157.414,1735.337,1782.662,1798.414,24.0,7.08,0.494,0.522,0.516,0.499,0.51,0.4,0.5,0.883,0.929,-0.1,0.972,0.972,0.0,0.977,0.972,0.0,0.975,0.972,-0.1,0.966,0.972,-0.2,0.969,0.972,0
