evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20030526_2313,6.900,123.850,579.700,LD.PAL.,41.006,-73.908,129.395,1574.169,1593.296,1599.064,0.000,4.654,0.618,0.649,0.650,0.652,0.647,0.100,0.100,0.920,0.903,-0.400,0.820,0.820,-0.300,0.828,0.820,-0.400,0.829,0.820,-0.600,0.834,0.820,-0.600,0.833,0.820
20030526_2313,6.900,123.850,579.700,US.OXF.,34.512,-89.409,128.023,1565.624,1583.692,1589.123,1.000,5.507,0.632,0.646,0.644,0.634,0.637,0.300,0.300,0.894,0.917,-0.200,0.913,0.913,-0.400,0.881,0.913,-0.500,0.881,0.913,-0.700,0.885,0.913,-0.600,0.884,0.913
20030526_2313,6.900,123.850,579.700,US.WCI.,38.229,-86.294,126.874,1558.422,1575.621,1580.780,2.000,3.600,0.587,0.484,0.483,0.489,0.490,0.100,0.400,0.896,0.884,-0.300,0.846,0.846,-0.100,0.847,0.846,-0.200,0.849,0.846,-0.300,0.850,0.846,-0.200,0.850,0.846
20030526_2313,6.900,123.850,579.700,US.CBN.,38.205,-77.373,130.761,1582.623,1602.833,1608.952,3.000,6.430,0.733,0.727,0.729,0.724,0.726,0.100,0.400,0.954,0.944,-0.700,0.922,0.922,-0.300,0.933,0.922,-0.400,0.933,0.922,-0.700,0.927,0.922,-0.600,0.928,0.922
20030526_2313,6.900,123.850,579.700,IM.TX32.,29.334,-103.668,121.712,1525.532,1539.136,1543.181,4.000,3.062,0.489,0.460,0.472,0.471,0.478,0.100,3.200,0.741,-0.841,-1.600,0.234,0.234,-0.500,0.484,0.234,-0.500,0.470,0.234,-0.500,0.454,0.234,-0.500,0.459,0.234
20030526_2313,6.900,123.850,579.700,IU.OTAV.00,0.238,-78.451,156.635,1731.199,1777.585,1792.983,5.000,11.759,0.474,0.555,0.633,0.610,0.580,2.600,2.800,0.890,0.865,2.500,0.774,0.774,2.000,0.757,0.774,0.900,0.770,0.774,1.100,0.769,0.774,1.600,0.742,0.774
20030526_2313,6.900,123.850,579.700,NM.UTMT.,36.350,-88.864,126.981,1559.095,1576.375,1581.558,6.000,9.137,0.517,0.585,0.578,0.573,0.577,0.500,4.200,0.814,-0.749,-0.200,0.847,0.847,-0.200,0.829,0.847,-0.300,0.835,0.847,-0.400,0.845,0.847,-0.300,0.843,0.847
20030526_2313,6.900,123.850,579.700,US.JFWS.,42.914,-90.248,121.350,1523.196,1536.566,1540.540,7.000,7.413,0.669,0.633,0.634,0.633,0.634,0.500,0.700,0.891,0.904,0.700,0.489,0.489,0.600,0.768,0.489,0.600,0.775,0.489,0.700,0.775,0.489,0.700,0.781,0.489
20030526_2313,6.900,123.850,579.700,BL.CAUB.10,-8.177,-36.010,159.996,1748.914,1799.415,1816.371,8.000,8.045,0.382,0.431,0.415,0.423,0.426,-0.400,-4.600,0.738,-0.615,-2.700,0.696,0.696,-2.000,0.752,0.696,-2.000,0.764,0.696,-2.000,0.761,0.696,-2.000,0.757,0.696
20030526_2313,6.900,123.850,579.700,II.JTS.10,10.291,-84.952,146.562,1675.940,1710.941,1722.129,9.000,3.927,0.597,0.428,0.417,0.412,0.426,-5.100,-4.700,0.754,0.803,-5.600,0.694,0.694,-0.400,0.608,0.694,-0.600,0.569,0.694,-0.700,0.558,0.694,-0.700,0.570,0.694
