station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
PS.PATS.,6.837,158.315,136.136,1616.569,1641.318,1648.957,0.000,0.342,0.431,0.406,0.409,0.431
N.KZSF.,34.206,139.148,158.237,1740.991,1789.288,1805.406,1.000,0.499,0.417,0.398,0.405,0.410
N.KSNF.,38.976,141.530,154.615,1721.676,1765.636,1780.119,2.000,0.458,0.448,0.485,0.476,0.474
PS.TSK.,36.211,140.110,156.785,1733.301,1779.838,1795.291,3.000,0.445,0.365,0.372,0.372,0.374
N.SBRF.,33.505,130.253,165.212,1777.001,1834.157,1853.676,4.000,0.432,0.452,0.456,0.464,0.459
N.KZKF.,37.298,138.514,157.488,1737.033,1784.418,1800.191,5.000,0.550,0.566,0.569,0.566,0.569
KN.CHM.,42.999,74.751,141.467,1648.033,1677.791,1687.140,6.000,0.570,0.558,0.519,0.538,0.545
KZ.ZRNK.,52.951,69.004,134.859,1608.897,1632.516,1639.771,7.000,0.683,0.780,0.775,0.784,0.779
XF.H1630.01,34.065,84.227,150.617,1699.883,1739.264,1752.040,8.000,0.623,0.522,0.504,0.506,0.517
N.NSKF.,34.340,132.002,163.538,1768.497,1823.476,1842.146,9.000,0.497,0.544,0.574,0.569,0.557
N.MMAF.,41.162,140.411,154.301,1719.985,1763.578,1777.923,10.000,0.399,0.449,0.522,0.515,0.516
N.SBTF.,37.968,139.450,156.523,1731.901,1778.122,1793.456,11.000,0.287,0.369,0.355,0.369,0.364
N.NKGF.,44.802,142.085,151.264,1703.449,1743.555,1756.599,12.000,0.428,0.475,0.541,0.545,0.537
7I.TL09.,-25.682,134.765,126.432,1556.923,1573.775,1578.824,13.000,0.026,0.034,0.036,0.039,0.038
TW.MATB.,26.152,119.946,176.607,1832.562,1905.432,1931.354,14.000,,,,,
XG.BAKOU.02,40.465,115.402,164.390,1772.834,1828.917,1848.016,15.000,0.205,0.287,0.270,0.260,0.265
TW.YHNB.,24.670,121.376,175.532,1827.491,1898.811,1924.091,16.000,0.333,0.534,0.514,0.519,0.526
N.ABUF.,34.863,135.571,160.706,1753.914,1805.276,1822.557,17.000,0.615,0.581,0.622,0.622,0.613
IU.MIDW.00,28.215,-177.370,121.459,1525.169,1538.591,1542.580,18.000,0.325,0.421,0.420,0.425,0.422
XF.H1430.01,32.382,84.131,150.772,1700.739,1740.294,1753.133,19.000,0.430,0.507,0.521,0.522,0.512
TW.TWGB.,22.818,121.080,175.299,1826.386,1897.371,1922.512,20.000,-0.047,-0.033,-0.019,-0.015,-0.030
IU.DAV.00,7.070,125.579,160.169,1751.120,1801.808,1818.832,21.000,0.007,0.024,0.025,0.024,0.025
XF.H0810.01,29.467,85.232,151.928,1707.092,1747.948,1761.270,22.000,0.379,0.511,0.493,0.506,0.515
KN.KBK.,42.656,74.948,141.690,1649.333,1679.312,1688.737,23.000,0.629,0.619,0.588,0.595,0.608
N.AMMF.,28.157,129.300,168.060,1791.267,1852.203,1873.231,24.000,0.592,0.511,0.561,0.552,0.531
