station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
XF.H1190.01,30.649,85.138,151.786,1706.311,1747.006,1760.267,25.000,0.003,0.012,0.012,0.012,0.012
N.INNF.,33.470,131.306,164.476,1773.272,1829.468,1848.610,26.000,0.096,0.371,0.409,0.409,0.401
XF.H1580.01,33.533,84.291,150.754,1700.637,1740.171,1753.003,27.000,0.654,0.616,0.581,0.598,0.611
XF.H1400.01,32.119,84.694,151.275,1703.508,1743.627,1756.675,28.000,0.391,0.467,0.444,0.455,0.451
IC.ENH.00,30.276,109.495,171.804,1809.629,1875.684,1898.799,29.000,0.482,0.285,0.255,0.261,0.262
II.TLY.00,51.681,103.644,151.470,1704.578,1744.916,1758.045,30.000,0.646,0.602,0.592,0.584,0.595
KZ.CHKZ.,53.676,70.615,135.504,1612.782,1636.968,1644.416,31.000,0.642,0.719,0.711,0.715,0.711
7I.GA07.,-31.518,136.513,120.433,1518.526,1531.295,1535.086,32.000,0.453,0.445,0.434,0.459,0.470
IC.BJT.00,40.019,116.172,164.859,1775.214,1831.909,1851.246,33.000,0.464,0.492,0.482,0.465,0.473
N.NRWF.,34.768,133.533,162.233,1761.806,1815.108,1833.130,34.000,0.426,0.307,0.314,0.314,0.313
XF.H0800.01,29.412,85.231,151.929,1707.096,1747.954,1761.276,35.000,0.390,0.515,0.495,0.505,0.512
IC.MDJ.10,44.618,129.593,157.572,1737.476,1784.963,1800.775,36.000,0.294,0.315,0.333,0.342,0.341
TW.TPUB.,23.301,120.630,175.879,1829.132,1900.951,1926.437,37.000,0.298,0.216,0.206,0.212,0.212
XF.H1120.01,30.138,85.415,152.057,1707.793,1748.796,1762.171,38.000,0.417,0.485,0.491,0.492,0.488
XF.H1150.01,30.358,85.313,151.956,1707.243,1748.131,1761.464,39.000,0.270,0.394,0.424,0.417,0.402
XF.H1230.01,30.932,85.099,151.732,1706.014,1746.648,1759.887,40.000,0.335,0.508,0.502,0.499,0.510
N.KGMF.,26.757,128.215,169.257,1797.186,1859.743,1881.426,41.000,0.432,0.356,0.284,0.325,0.354
AU.CTA.,-20.088,146.250,126.507,1557.391,1574.298,1579.365,42.000,0.516,0.553,0.552,0.542,0.537
N.TMRF.,41.102,141.383,153.705,1716.764,1759.663,1773.746,43.000,0.528,0.353,0.354,0.354,0.353
IC.SSE.00,31.095,121.189,172.515,1813.069,1880.116,1903.637,44.000,0.351,0.440,0.461,0.473,0.473
MY.KUM.,5.290,100.649,155.222,1724.945,1769.619,1784.372,45.000,0.141,0.186,0.179,0.179,0.183
IU.MAJO.00,36.546,138.204,158.046,1739.986,1788.051,1804.080,46.000,0.306,0.399,0.404,0.394,0.395
N.WJMF.,37.402,137.026,158.479,1742.269,1790.863,1807.093,47.000,0.403,0.401,0.407,0.402,0.405
G.HYB.,17.417,78.553,143.988,1662.594,1694.880,1705.109,48.000,0.467,0.460,0.458,0.460,0.460
IC.LSA.00,29.703,91.128,157.027,1734.584,1781.411,1796.974,49.000,0.576,0.594,0.592,0.595,0.594
II.WRAB.00,-19.934,134.360,131.922,1591.044,1612.176,1618.597,50.000,0.518,0.521,0.522,0.519,0.520
XF.H1040.01,29.561,85.740,152.366,1709.486,1750.841,1764.348,51.000,0.423,0.476,0.411,0.425,0.460
XF.H1160.01,30.434,85.289,151.930,1707.101,1747.960,1761.282,52.000,0.337,0.461,0.496,0.487,0.471
XF.H1020.01,29.413,85.737,152.369,1709.503,1750.862,1764.370,53.000,0.429,0.515,0.443,0.472,0.507
N.NAAF.,35.224,137.362,159.224,1746.185,1795.697,1812.275,54.000,0.499,0.599,0.576,0.575,0.582
N.FUKF.,32.718,128.757,166.692,1784.446,1843.555,1863.849,55.000,0.411,0.359,0.393,0.394,0.398
N.ADMF.,37.905,138.430,157.263,1735.840,1782.953,1798.623,56.000,0.540,0.556,0.545,0.539,0.542
7I.TL14.,-29.820,141.925,120.092,1516.307,1528.863,1532.589,57.000,0.505,0.466,0.462,0.460,0.459
XG.YFANG.02,40.754,115.319,164.097,1771.344,1827.048,1845.998,58.000,0.205,0.231,0.225,0.220,0.223
N.TGWF.,33.973,132.932,163.049,1765.995,1820.344,1838.770,59.000,0.319,0.301,0.311,0.291,0.299
XF.H1050.01,29.639,85.725,152.350,1709.395,1750.732,1764.232,60.000,0.389,0.464,0.383,0.412,0.455
TW.TWKB.,21.941,120.812,175.042,1825.166,1895.784,1920.774,61.000,0.220,0.212,0.204,0.204,0.203
XF.H1280.01,31.302,85.130,151.727,1705.987,1746.615,1759.851,62.000,0.420,0.560,0.539,0.549,0.563
N.IMGF.,42.393,140.141,153.797,1717.261,1760.266,1774.389,63.000,0.264,0.256,0.281,0.276,0.277
XF.H1560.01,33.307,84.246,150.750,1700.615,1740.145,1752.975,64.000,0.606,0.582,0.554,0.567,0.579
N.WTRF.,34.374,136.575,160.158,1751.065,1801.738,1818.758,65.000,0.689,0.635,0.684,0.676,0.670
XF.H1360.01,31.862,84.954,151.522,1704.863,1745.259,1758.410,66.000,0.423,0.573,0.573,0.589,0.581
N.NOPF.,44.322,142.938,151.033,1702.175,1742.022,1754.969,67.000,0.501,0.408,0.465,0.466,0.465
IC.KMI.10,25.148,102.747,167.576,1788.862,1849.149,1869.916,68.000,0.243,0.078,0.118,0.112,0.078
PS.PSI.,2.694,98.924,152.110,1708.085,1749.148,1762.546,69.000,0.004,0.048,0.061,0.080,0.064
IU.YSS.00,46.959,142.760,149.607,1694.290,1732.551,1744.916,70.000,0.488,0.514,0.540,0.561,0.552
IU.GUMO.00,13.589,144.868,150.981,1701.890,1741.678,1754.604,71.000,0.414,0.342,0.388,0.392,0.346
XF.H1422.01,32.064,83.899,150.611,1699.851,1739.226,1751.999,72.000,0.527,0.599,0.580,0.590,0.596
N.KYKF.,30.378,130.410,166.487,1783.420,1842.257,1862.442,73.000,0.479,0.598,0.593,0.592,0.599
7I.TL12.,-27.634,135.597,124.343,1543.686,1559.042,1563.626,74.000,0.384,0.510,0.509,0.505,0.506
XF.H1460.01,32.598,84.224,150.824,1701.026,1740.639,1753.500,75.000,0.399,0.443,0.446,0.446,0.444
N.YNGF.,24.455,123.007,174.036,1820.375,1889.561,1913.961,76.000,0.397,0.502,0.505,0.512,0.500
KN.ULHL.,42.246,76.242,142.717,1655.282,1686.280,1696.059,77.000,0.627,0.659,0.609,0.621,0.641
TW.KMNB.,24.464,118.388,178.199,1840.000,1915.193,1942.079,78.000,0.313,0.195,0.225,0.223,0.198
N.KNPF.,43.763,143.708,150.865,1701.252,1740.911,1753.789,79.000,0.449,0.409,0.461,0.451,0.453
II.WRAB.10,-19.934,134.360,131.922,1591.044,1612.176,1618.597,80.000,0.523,0.539,0.540,0.538,0.539
XF.H1470.01,32.667,84.216,150.809,1700.944,1740.540,1753.395,81.000,0.392,0.435,0.411,0.423,0.432
IU.MA2.00,59.576,150.770,137.924,1627.218,1653.601,1661.792,82.000,0.401,0.286,0.291,0.294,0.290
IU.ULN.00,47.865,107.053,155.842,1728.268,1773.676,1788.705,83.000,0.715,0.681,0.678,0.677,0.678
MY.KSM.,1.473,110.308,155.851,1728.316,1773.735,1788.768,84.000,0.099,0.072,0.076,0.092,0.081
IU.YAK.00,62.031,129.680,141.792,1649.924,1680.003,1689.463,85.000,0.132,0.156,0.140,0.132,0.129
TW.PHUB.,23.511,119.580,176.842,1833.665,1906.876,1932.939,86.000,0.160,0.269,0.277,0.271,0.266
XF.H1590.01,33.628,84.171,150.640,1700.010,1739.417,1752.202,87.000,0.595,0.551,0.516,0.528,0.544
N.KMUF.,42.239,142.962,152.113,1708.103,1749.170,1762.570,88.000,0.543,0.436,0.470,0.470,0.465
XF.H1240.01,31.020,85.134,151.755,1706.140,1746.800,1760.048,89.000,0.326,0.478,0.485,0.484,0.481
IC.SSE.10,31.095,121.189,172.515,1813.069,1880.116,1903.637,90.000,0.359,0.446,0.464,0.475,0.476
TW.LYUB.,22.037,121.558,174.528,1822.723,1892.608,1917.296,91.000,0.162,0.042,0.049,0.047,0.039
N.SRNF.,36.202,136.630,159.333,1746.752,1796.397,1813.026,92.000,0.468,0.678,0.717,0.707,0.702
N.ISIF.,34.061,134.455,161.883,1760.006,1812.861,1830.711,93.000,0.541,0.459,0.494,0.494,0.488
XF.H1500.01,32.895,84.286,150.839,1701.109,1740.739,1753.606,94.000,0.546,0.548,0.533,0.539,0.545
IC.QIZ.01,19.029,109.844,171.525,1808.274,1873.943,1896.900,95.000,0.265,0.221,0.205,0.198,0.208
7I.TL01.,-18.001,141.635,130.603,1582.930,1602.991,1609.060,96.000,0.480,0.626,0.628,0.642,0.636
IU.WAKE.20,19.283,166.652,133.405,1600.096,1622.465,1629.299,97.000,0.631,0.575,0.592,0.590,0.572
XF.H1510.01,32.949,84.305,150.848,1701.154,1740.793,1753.663,98.000,0.598,0.591,0.554,0.565,0.582
XF.H1520.01,33.027,84.315,150.846,1701.143,1740.779,1753.649,99.000,0.579,0.618,0.583,0.601,0.613
IC.LSA.10,29.703,91.128,157.027,1734.584,1781.411,1796.974,100.000,0.592,0.609,0.611,0.613,0.610
N.TGAF.,35.185,136.338,160.000,1750.241,1800.717,1817.661,101.000,0.672,0.727,0.736,0.734,0.735
N.TYMF.,34.974,139.845,157.437,1736.763,1784.087,1799.837,102.000,0.309,0.485,0.502,0.495,0.493
XG.XJYAO.02,40.268,115.213,164.577,1773.783,1830.109,1849.303,103.000,0.014,0.087,0.077,0.070,0.071
TW.SSLB.,23.788,120.954,175.762,1828.580,1900.231,1925.647,104.000,0.187,0.301,0.298,0.295,0.287
N.NMRF.,43.367,145.738,149.786,1695.283,1733.741,1746.178,105.000,0.461,0.545,0.590,0.601,0.597
GE.PMG.00,-9.405,147.160,134.493,1606.688,1629.989,1637.137,106.000,0.203,0.181,0.187,0.202,0.186
TW.HGSD.,23.492,121.424,175.264,1826.223,1897.159,1922.280,107.000,0.279,0.216,0.209,0.209,0.206
IU.PMG.10,-9.405,147.160,134.493,1606.688,1629.989,1637.137,108.000,0.212,0.188,0.194,0.209,0.193
XF.H0790.01,29.380,85.227,151.927,1707.082,1747.936,1761.257,109.000,0.419,0.536,0.517,0.528,0.535
N.KNMF.,35.717,137.178,159.153,1745.811,1795.235,1811.780,110.000,0.485,0.569,0.559,0.553,0.558
IC.ENH.10,30.276,109.495,171.804,1809.629,1875.684,1898.799,111.000,0.472,0.276,0.246,0.252,0.253
IC.HIA.00,49.270,119.741,155.476,1726.304,1771.277,1786.142,112.000,0.535,0.512,0.501,0.492,0.495
N.TKDF.,32.818,131.387,164.729,1774.553,1831.078,1850.349,113.000,0.174,0.351,0.377,0.375,0.367
XF.H1300.01,31.445,85.160,151.739,1706.054,1746.696,1759.937,114.000,0.426,0.649,0.611,0.634,0.649
N.SHRF.,44.056,144.994,149.919,1696.023,1734.629,1747.120,115.000,0.633,0.554,0.611,0.617,0.614
IU.BILL.00,68.065,166.453,127.454,1563.343,1580.957,1586.244,116.000,0.379,0.415,0.431,0.434,0.430
N.GJMF.,39.956,140.111,155.118,1724.382,1768.932,1783.638,117.000,0.431,0.370,0.374,0.371,0.371
XF.H1340.01,31.732,85.140,151.694,1705.804,1746.395,1759.618,118.000,0.298,0.472,0.484,0.482,0.483
XF.H1370.01,31.945,84.893,151.462,1704.532,1744.861,1757.986,119.000,0.479,0.608,0.608,0.607,0.613
XF.H1310.01,31.515,85.183,151.751,1706.122,1746.778,1760.025,120.000,0.342,0.579,0.558,0.584,0.585
IC.WMQ.00,43.814,87.704,149.902,1695.925,1734.512,1746.996,121.000,0.576,0.578,0.543,0.545,0.567
N.YMZF.,36.927,140.245,156.403,1731.265,1777.342,1792.623,122.000,0.244,0.306,0.280,0.281,0.288
AU.FORT.,-30.779,128.059,123.244,1536.659,1551.260,1555.610,123.000,0.432,0.654,0.656,0.661,0.661
XF.H1330.01,31.656,85.170,151.727,1705.987,1746.615,1759.852,124.000,0.360,0.570,0.582,0.575,0.576
N.OSWF.,27.098,142.196,156.801,1733.382,1779.936,1795.397,125.000,0.455,0.457,0.464,0.459,0.458
N.IGKF.,24.412,124.179,172.970,1815.260,1882.943,1906.725,126.000,0.497,0.443,0.465,0.461,0.451
XF.H1080.01,29.850,85.783,152.390,1709.617,1751.000,1764.517,127.000,0.408,0.492,0.439,0.466,0.490
KZ.PDG.,43.328,79.485,144.676,1666.530,1699.526,1710.002,128.000,0.568,0.581,0.543,0.554,0.566
KN.USP.,43.267,74.500,141.222,1646.610,1676.129,1685.395,129.000,0.602,0.529,0.482,0.489,0.510
IU.CTAO.00,-20.088,146.255,126.504,1557.373,1574.278,1579.344,130.000,0.510,0.550,0.549,0.537,0.541
N.ASIF.,36.634,139.421,157.125,1735.106,1782.052,1797.659,131.000,0.488,0.423,0.416,0.413,0.415
N.ONSF.,36.156,138.982,157.643,1737.854,1785.427,1801.271,132.000,0.475,0.609,0.583,0.590,0.590
PS.MCSJ.,24.290,153.978,145.988,1673.984,1708.351,1719.311,133.000,0.023,0.051,0.051,0.052,0.051
AK.ATKA.,52.202,-174.197,121.910,1528.085,1541.800,1545.878,134.000,0.259,0.253,0.262,0.263,0.263
N.KSKF.,38.258,140.583,155.596,1726.947,1772.062,1786.981,135.000,0.290,0.354,0.367,0.358,0.362
G.INU.,35.350,137.029,159.419,1747.207,1796.960,1813.630,136.000,0.510,0.576,0.543,0.542,0.552
IU.HNR.10,-9.439,159.947,125.471,1550.846,1566.999,1571.831,137.000,0.099,0.127,0.115,0.118,0.127
AT.SMY.,52.731,174.103,128.963,1572.767,1591.537,1597.190,138.000,0.297,0.380,0.424,0.398,0.400
XF.H0641.01,28.856,85.294,151.996,1707.462,1748.396,1761.746,139.000,0.451,0.526,0.517,0.528,0.532
IU.TATO.10,24.973,121.497,175.431,1827.015,1898.190,1923.411,140.000,0.109,0.378,0.304,0.333,0.368
TW.ANPB.,25.183,121.529,175.397,1826.853,1897.979,1923.179,141.000,0.087,0.275,0.258,0.254,0.272
N.HROF.,37.225,140.878,155.821,1728.153,1773.535,1788.554,142.000,0.339,0.306,0.319,0.315,0.316
XG.MJPU.02,40.667,115.684,164.200,1771.868,1827.705,1846.707,143.000,0.277,0.300,0.277,0.259,0.265
MY.KKM.,6.044,116.215,161.163,1756.284,1808.223,1825.724,144.000,0.421,0.424,0.424,0.421,0.421
IU.PET.00,53.023,158.650,137.766,1626.281,1652.517,1660.659,145.000,0.518,0.403,0.425,0.419,0.418
II.KWAJ.10,8.802,167.613,128.807,1571.798,1590.447,1596.062,146.000,0.344,0.312,0.339,0.319,0.309
XG.LJIA.02,40.618,123.169,163.295,1767.254,1821.920,1840.469,147.000,0.006,-0.023,-0.022,-0.023,-0.023
N.YTYF.,34.284,131.036,164.246,1772.101,1827.997,1847.023,148.000,0.201,0.442,0.478,0.474,0.473
XF.H1440.01,32.454,84.240,150.855,1701.195,1740.841,1753.715,149.000,0.461,0.538,0.518,0.528,0.535
AK.GAMB.,63.776,-171.704,120.158,1516.732,1529.330,1533.068,150.000,0.293,0.302,0.307,0.304,0.302
KZ.MKAR.,46.794,82.290,145.138,1669.163,1702.638,1713.283,151.000,0.554,0.458,0.475,0.471,0.464
N.KSRF.,42.982,144.485,150.772,1700.738,1740.292,1753.131,152.000,0.656,0.576,0.611,0.618,0.615
N.TSAF.,33.178,132.820,163.493,1768.267,1823.189,1841.836,153.000,0.353,0.387,0.433,0.422,0.417
IU.INCN.10,37.478,126.624,164.715,1774.485,1830.993,1850.257,154.000,0.128,0.083,0.092,0.092,0.095
IU.INCN.00,37.478,126.624,164.715,1774.485,1830.993,1850.257,155.000,0.088,0.046,0.053,0.052,0.055
KN.AML.,42.131,73.694,140.909,1644.784,1673.998,1683.158,156.000,0.420,0.536,0.546,0.553,0.543
KN.EKS2.,42.661,73.777,140.852,1644.453,1673.612,1682.753,157.000,0.546,0.604,0.581,0.594,0.594
GE.PMG.10,-9.405,147.160,134.493,1606.688,1629.989,1637.137,158.000,0.212,0.188,0.194,0.209,0.193
II.ARU.00,56.430,58.562,128.107,1567.429,1585.541,1590.984,159.000,0.371,0.354,0.361,0.361,0.352
XF.H1250.01,31.084,84.998,151.633,1705.473,1745.996,1759.193,160.000,0.522,0.613,0.622,0.625,0.622
KN.AAK.,42.633,74.494,141.372,1647.483,1677.149,1686.465,161.000,0.675,0.656,0.618,0.628,0.644
XF.H1220.01,30.860,85.069,151.712,1705.903,1746.514,1759.744,162.000,0.001,0.008,0.008,0.008,0.008
IU.TIXI.00,71.634,128.867,132.723,1595.942,1617.737,1624.379,163.000,0.386,0.328,0.337,0.336,0.338
XF.H1550.01,33.264,84.246,150.755,1700.645,1740.181,1753.013,164.000,0.652,0.622,0.576,0.596,0.614
II.NIL.10,33.651,73.269,141.601,1648.817,1678.708,1688.103,165.000,0.470,0.465,0.470,0.475,0.470
N.TMCF.,32.606,130.915,165.179,1776.833,1833.946,1853.448,166.000,0.166,0.199,0.217,0.218,0.217
IM.ATTU.,52.882,173.164,129.495,1576.071,1595.255,1601.041,167.000,0.213,0.202,0.230,0.213,0.213
GE.UGM.,-7.912,110.523,146.701,1678.019,1713.141,1724.370,168.000,0.266,0.274,0.285,0.308,0.300
IC.KMI.00,25.148,102.747,167.576,1788.862,1849.149,1869.916,169.000,0.229,0.062,0.095,0.088,0.058
TW.TDCB.,24.253,121.158,175.681,1828.198,1899.732,1925.101,170.000,0.029,0.190,0.193,0.193,0.181
XF.H1130.01,30.206,85.328,151.978,1707.365,1748.278,1761.620,171.000,0.416,0.496,0.488,0.491,0.497
N.IYGF.,40.122,141.583,154.053,1718.644,1761.947,1776.183,172.000,0.494,0.507,0.520,0.526,0.520
N.KNYF.,34.874,138.063,158.836,1744.143,1793.175,1809.571,173.000,0.445,0.482,0.464,0.460,0.466
IC.QIZ.00,19.029,109.844,171.525,1808.274,1873.943,1896.900,174.000,0.266,0.221,0.206,0.198,0.208
N.ZMMF.,26.233,127.304,170.127,1801.457,1865.202,1887.369,175.000,0.463,0.311,0.273,0.292,0.303
KZ.VOS.,52.723,70.980,136.057,1616.095,1640.773,1648.389,176.000,0.657,0.730,0.719,0.725,0.720
KN.UCH.,42.228,74.513,141.480,1648.110,1677.881,1687.235,177.000,0.433,0.515,0.503,0.513,0.515
N.HSSF.,42.967,141.229,152.813,1711.919,1753.786,1767.483,178.000,0.350,0.370,0.347,0.348,0.347
7I.GA05.,-31.669,137.014,120.137,1516.599,1529.184,1532.918,179.000,0.317,0.321,0.324,0.334,0.335
N.UMJF.,33.579,134.037,162.404,1762.683,1816.203,1834.310,180.000,0.336,0.205,0.278,0.268,0.251
XF.H1600.01,33.750,84.270,150.702,1700.354,1739.831,1752.641,181.000,0.535,0.410,0.364,0.382,0.401
XF.H1060.01,29.707,85.708,152.333,1709.302,1750.619,1764.111,182.000,0.427,0.516,0.469,0.483,0.511
N.TYSF.,39.377,141.593,154.391,1720.472,1764.170,1778.555,183.000,0.501,0.410,0.466,0.462,0.452
N.IZHF.,34.136,129.207,165.575,1778.833,1836.466,1856.173,184.000,0.343,0.328,0.358,0.361,0.357
AU.NWAO.,-32.927,117.233,122.189,1529.880,1543.777,1547.911,185.000,0.325,0.272,0.273,0.273,0.274
XF.H1490.01,32.822,84.267,150.833,1701.072,1740.694,1753.558,186.000,0.560,0.602,0.600,0.600,0.603
N.JIZF.,34.917,138.994,158.110,1740.324,1788.466,1804.525,187.000,0.312,0.230,0.262,0.253,0.249
XF.H1090.01,29.922,85.733,152.344,1709.361,1750.691,1764.188,188.000,0.374,0.439,0.431,0.422,0.429
II.COCO.20,-12.190,96.835,138.278,1629.322,1656.034,1664.337,189.000,0.174,0.253,0.263,0.255,0.258
IU.PMG.00,-9.405,147.160,134.493,1606.688,1629.989,1637.137,190.000,0.203,0.181,0.187,0.202,0.186
N.TKOF.,31.893,131.232,165.253,1777.209,1834.419,1853.960,191.000,0.263,0.292,0.364,0.344,0.322
KZ.KURK.,50.715,78.620,141.194,1646.444,1675.936,1685.192,192.000,0.466,0.512,0.491,0.494,0.503
AU.FITZ.,-18.102,125.639,136.098,1616.342,1641.057,1648.685,193.000,0.296,0.497,0.494,0.478,0.483
N.TTOF.,35.836,138.121,158.410,1741.902,1790.411,1806.609,194.000,0.483,0.484,0.473,0.465,0.469
N.STMF.,32.887,129.724,165.914,1780.539,1838.617,1858.501,195.000,0.323,0.392,0.396,0.394,0.390
KZ.AKTK.,50.435,58.017,128.810,1571.814,1590.465,1596.080,196.000,0.623,0.587,0.541,0.556,0.573
TW.WFSB.,25.072,121.782,175.173,1825.788,1896.593,1921.659,197.000,0.050,0.167,0.142,0.149,0.160
XF.H1540.01,33.194,84.228,150.750,1700.619,1740.149,1752.979,198.000,0.694,0.647,0.584,0.603,0.633
N.URHF.,42.930,143.671,151.315,1703.729,1743.893,1756.957,199.000,0.470,0.343,0.405,0.390,0.394
N.FUJF.,35.231,138.418,158.430,1742.011,1790.545,1806.752,200.000,0.584,0.602,0.568,0.573,0.584
N.NOKF.,34.166,135.348,161.170,1756.320,1808.267,1825.771,201.000,0.500,0.448,0.497,0.487,0.481
N.KISF.,33.865,135.891,160.878,1754.810,1806.389,1823.753,202.000,0.518,0.443,0.476,0.471,0.461
N.KMTF.,33.678,135.490,161.258,1756.777,1808.836,1826.383,203.000,0.491,0.640,0.639,0.636,0.636
XG.FFANG.02,40.529,123.075,163.404,1767.810,1822.617,1841.219,204.000,0.078,0.243,0.247,0.251,0.255
XF.H1270.01,31.225,85.072,151.684,1705.754,1746.335,1759.553,205.000,0.465,0.671,0.646,0.670,0.676
XF.H0780.01,29.341,85.237,151.937,1707.136,1748.002,1761.327,206.000,0.002,0.010,0.009,0.009,0.009
TW.YULB.,23.392,121.297,175.342,1826.592,1897.640,1922.808,207.000,0.006,0.040,0.062,0.052,0.050
II.KWAJ.00,8.802,167.613,128.807,1571.798,1590.447,1596.062,208.000,0.339,0.309,0.339,0.317,0.307
XF.H1320.01,31.584,85.189,151.750,1706.115,1746.770,1760.017,209.000,0.372,0.609,0.608,0.625,0.619
XF.H1200.01,30.715,85.141,151.784,1706.301,1746.994,1760.255,210.000,0.391,0.534,0.512,0.523,0.536
TW.NACB.,24.174,121.595,175.276,1826.278,1897.230,1922.358,211.000,0.199,0.257,0.240,0.247,0.254
XF.H1530.01,33.119,84.221,150.755,1700.644,1740.180,1753.012,212.000,0.621,0.555,0.528,0.538,0.549
KN.KZA.,42.078,75.250,142.045,1651.394,1681.724,1691.270,213.000,0.587,0.655,0.640,0.646,0.652
XF.H1421.01,32.009,83.871,150.593,1699.751,1739.105,1751.871,214.000,0.482,0.560,0.548,0.552,0.557
II.DGAR.10,-7.412,72.452,126.354,1556.428,1573.222,1578.253,215.000,0.186,0.117,0.087,0.081,0.114
XF.H1405.01,32.181,84.513,151.116,1702.631,1742.571,1755.552,216.000,0.427,0.528,0.502,0.516,0.511
II.KURK.00,50.715,78.620,141.194,1646.444,1675.936,1685.192,217.000,0.466,0.512,0.491,0.494,0.503
7I.TL08.,-25.198,142.638,123.887,1540.772,1555.811,1560.297,218.000,0.046,0.023,0.025,0.031,0.030
IU.GUMO.10,13.589,144.868,150.981,1701.890,1741.678,1754.604,219.000,0.402,0.341,0.390,0.394,0.346
XF.H1071.01,29.770,85.775,152.388,1709.602,1750.981,1764.497,220.000,0.403,0.478,0.422,0.436,0.464
KN.TKM2.,42.921,75.597,142.085,1651.622,1681.991,1691.551,221.000,0.541,0.526,0.498,0.509,0.514
N.HIDF.,42.821,142.415,152.161,1708.364,1749.485,1762.905,222.000,0.480,0.322,0.338,0.340,0.340
IC.WMQ.10,43.814,87.704,149.902,1695.925,1734.512,1746.996,223.000,0.589,0.592,0.561,0.562,0.583
II.AAK.00,42.638,74.494,141.371,1647.476,1677.141,1686.457,224.000,0.645,0.630,0.593,0.603,0.619
N.SIBF.,31.970,130.349,165.896,1780.450,1838.505,1858.380,225.000,0.313,0.226,0.235,0.231,0.234
N.YSIF.,35.194,132.886,162.474,1763.046,1816.657,1834.798,226.000,0.350,0.173,0.200,0.205,0.201
XF.H1110.01,30.066,85.553,152.180,1708.467,1749.610,1763.037,227.000,0.378,0.457,0.393,0.412,0.445
N.SAGF.,36.255,133.305,161.617,1758.630,1811.145,1828.866,228.000,0.436,0.339,0.395,0.401,0.390
II.DGAR.00,-7.412,72.452,126.354,1556.428,1573.222,1578.253,229.000,0.186,0.104,0.074,0.067,0.101
N.TASF.,31.195,130.909,165.786,1779.898,1837.809,1857.626,230.000,0.330,0.374,0.392,0.392,0.388
PS.OGS.,27.057,142.203,156.794,1733.348,1779.895,1795.352,231.000,0.479,0.453,0.471,0.468,0.456
