evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20050321_1223,-24.880,-63.540,572.300,PS.PATS.,6.837,158.315,136.136,1616.569,1641.318,1648.957,0.000,3.218,0.342,0.431,0.406,0.409,0.431,4.900,-0.400,0.522,0.488,4.900,0.351,0.351,4.300,0.429,0.351,3.800,0.442,0.351,3.800,0.442,0.351,4.200,0.432,0.351
20050321_1223,-24.880,-63.540,572.300,N.KZSF.,34.206,139.148,158.237,1740.991,1789.288,1805.406,1.000,1.460,0.499,0.417,0.398,0.405,0.410,0.300,1.000,0.866,0.825,0.500,0.773,0.773,0.000,0.843,0.773,-0.200,0.845,0.773,-0.200,0.838,0.773,-0.100,0.836,0.773
20050321_1223,-24.880,-63.540,572.300,N.KSNF.,38.976,141.530,154.615,1721.676,1765.636,1780.119,2.000,4.523,0.458,0.448,0.485,0.476,0.474,1.100,1.100,0.890,0.806,0.900,0.889,0.889,0.900,0.926,0.889,0.500,0.944,0.889,0.500,0.944,0.889,0.500,0.945,0.889
20050321_1223,-24.880,-63.540,572.300,PS.TSK.,36.211,140.110,156.785,1733.301,1779.838,1795.291,3.000,2.642,0.445,0.365,0.372,0.372,0.374,0.700,-2.600,0.325,-0.008,-10.000,0.317,0.317,-0.100,0.332,0.317,-0.100,0.352,0.317,-0.100,0.348,0.317,-0.100,0.346,0.317
20050321_1223,-24.880,-63.540,572.300,N.SBRF.,33.505,130.253,165.212,1777.001,1834.157,1853.676,4.000,4.612,0.432,0.452,0.456,0.464,0.459,0.700,-4.400,0.437,-0.787,-8.900,0.623,0.623,-0.400,0.863,0.623,-0.500,0.850,0.623,-0.400,0.846,0.623,-0.500,0.844,0.623
20050321_1223,-24.880,-63.540,572.300,N.KZKF.,37.298,138.514,157.488,1737.033,1784.418,1800.191,5.000,12.501,0.550,0.566,0.569,0.566,0.569,6.900,3.000,0.548,-0.851,-6.200,0.372,0.372,6.600,0.615,0.372,6.400,0.585,0.372,6.300,0.580,0.372,6.400,0.584,0.372
20050321_1223,-24.880,-63.540,572.300,KN.CHM.,42.999,74.751,141.467,1648.033,1677.791,1687.140,6.000,6.720,0.570,0.558,0.519,0.538,0.545,-1.000,-0.800,0.875,0.900,-1.500,0.734,0.734,-1.200,0.878,0.734,-1.900,0.896,0.734,-1.700,0.891,0.734,-1.500,0.885,0.734
20050321_1223,-24.880,-63.540,572.300,KZ.ZRNK.,52.951,69.004,134.859,1608.897,1632.516,1639.771,7.000,5.212,0.683,0.780,0.775,0.784,0.779,-1.100,-1.400,0.875,0.857,-0.600,0.819,0.819,-0.500,0.850,0.819,-1.000,0.873,0.819,-0.800,0.868,0.819,-0.700,0.857,0.819
20050321_1223,-24.880,-63.540,572.300,XF.H1630.01,34.065,84.227,150.617,1699.883,1739.264,1752.040,8.000,5.956,0.623,0.522,0.504,0.506,0.517,0.500,0.900,0.593,0.559,0.000,0.722,0.722,0.600,0.591,0.722,0.200,0.539,0.722,0.300,0.560,0.722,0.500,0.581,0.722
20050321_1223,-24.880,-63.540,572.300,N.NSKF.,34.340,132.002,163.538,1768.497,1823.476,1842.146,9.000,4.703,0.497,0.544,0.574,0.569,0.557,1.800,1.800,0.954,0.932,2.200,0.858,0.858,1.900,0.947,0.858,1.700,0.938,0.858,1.600,0.935,0.858,1.700,0.941,0.858
