evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20050321_1223,-24.88,-63.54,572.3,PS.PATS.,6.837,158.315,136.136,1616.569,1641.318,1648.957,0.0,3.218,0.342,0.431,0.406,0.409,0.431,4.9,-0.4,0.522,0.488,4.9,0.351,0.351,4.3,0.429,0.351,3.8,0.442,0.351,3.8,0.442,0.351,4.2,0.432,0.351,0,-1.0,-107.28
20050321_1223,-24.88,-63.54,572.3,N.KZSF.,34.206,139.148,158.237,1740.991,1789.288,1805.406,1.0,1.46,0.499,0.417,0.398,0.405,0.41,0.3,1.0,0.866,0.825,0.5,0.773,0.773,0.0,0.843,0.773,-0.2,0.845,0.773,-0.2,0.838,0.773,-0.1,0.836,0.773,0,-1.0,-59.115
20050321_1223,-24.88,-63.54,572.3,N.KSNF.,38.976,141.53,154.615,1721.676,1765.636,1780.119,2.0,4.523,0.458,0.448,0.485,0.476,0.474,1.1,1.1,0.89,0.806,0.9,0.889,0.889,0.9,0.926,0.889,0.5,0.944,0.889,0.5,0.944,0.889,0.5,0.945,0.889,0,-1.0,-49.994
20050321_1223,-24.88,-63.54,572.3,PS.TSK.,36.211,140.11,156.785,1733.301,1779.838,1795.291,3.0,2.642,0.445,0.365,0.372,0.372,0.374,0.7,-2.6,0.325,-0.008,-10.0,0.317,0.317,-0.1,0.332,0.317,-0.1,0.352,0.317,-0.1,0.348,0.317,-0.1,0.346,0.317,0,-1.0,-54.958
20050321_1223,-24.88,-63.54,572.3,N.SBRF.,33.505,130.253,165.212,1777.001,1834.157,1853.676,4.0,4.612,0.432,0.452,0.456,0.464,0.459,0.7,-4.4,0.437,-0.787,-8.9,0.623,0.623,-0.4,0.863,0.623,-0.5,0.85,0.623,-0.4,0.846,0.623,-0.5,0.844,0.623,0,-1.0,-50.546
20050321_1223,-24.88,-63.54,572.3,N.KZKF.,37.298,138.514,157.488,1737.033,1784.418,1800.191,5.0,12.501,0.55,0.566,0.569,0.566,0.569,6.9,3.0,0.548,-0.851,-6.2,0.372,0.372,6.6,0.615,0.372,6.4,0.585,0.372,6.3,0.58,0.372,6.4,0.584,0.372,0,-1.0,-50.991
20050321_1223,-24.88,-63.54,572.3,KN.CHM.,42.999,74.751,141.467,1648.033,1677.791,1687.14,6.0,6.72,0.57,0.558,0.519,0.538,0.545,-1.0,-0.8,0.875,0.9,-1.5,0.734,0.734,-1.2,0.878,0.734,-1.9,0.896,0.734,-1.7,0.891,0.734,-1.5,0.885,0.734,0,-1.0,51.34
20050321_1223,-24.88,-63.54,572.3,KZ.ZRNK.,52.951,69.004,134.859,1608.897,1632.516,1639.771,7.0,5.212,0.683,0.78,0.775,0.784,0.779,-1.1,-1.4,0.875,0.857,-0.6,0.819,0.819,-0.5,0.85,0.819,-1.0,0.873,0.819,-0.8,0.868,0.819,-0.7,0.857,0.819,1,0.0,38.776
20050321_1223,-24.88,-63.54,572.3,XF.H1630.01,34.065,84.227,150.617,1699.883,1739.264,1752.04,8.0,5.956,0.623,0.522,0.504,0.506,0.517,0.5,0.9,0.593,0.559,0.0,0.722,0.722,0.6,0.591,0.722,0.2,0.539,0.722,0.3,0.56,0.722,0.5,0.581,0.722,0,-1.0,64.171
20050321_1223,-24.88,-63.54,572.3,N.NSKF.,34.34,132.002,163.538,1768.497,1823.476,1842.146,9.0,4.703,0.497,0.544,0.574,0.569,0.557,1.8,1.8,0.954,0.932,2.2,0.858,0.858,1.9,0.947,0.858,1.7,0.938,0.858,1.6,0.935,0.858,1.7,0.941,0.858,0,-1.0,-50.817
